run_id,experiment,started_at,duration_s,primary_metric,params_n,status
c4ca4238a0b923820dcc509a6f75849b,stage3,2024-05-01T01:02:37,1630,0.8044110569294063,9,FINISHED
c81e728d9d4c2f636f067f89cc14862c,stage3,2024-05-01T02:27:59,5017,0.7835072735026987,14,FINISHED
eccbc87e4b5ce2fe28308fd9f2a7baf3,stage1,2024-05-01T03:04:57,1183,0.8611327226364233,29,FINISHED
a87ff679a2f3e71d9181a67b7542122c,stage3,2024-05-01T04:11:45,501,0.9327470816096644,8,FAILED
e4da3b7fbbce2345d7772b0674a318d5,stage3,2024-05-01T05:04:24,1970,0.9046961547531319,29,FINISHED
1679091c5a880faf6fb5e6087eb1b2dc,stage1,2024-05-01T06:17:05,4668,0.8626298452281788,11,FINISHED
8f14e45fceea167a5a36dedd4bea2543,stage2,2024-05-01T07:21:12,3937,0.8903250565452693,22,FINISHED
c9f0f895fb98ab9159f51fd0297e236d,stage2,2024-05-01T08:06:53,2660,0.8734960670480563,8,FINISHED
45c48cce2e2d7fbdea1afc51c7c6ad26,stage1,2024-05-01T09:24:15,6575,0.7974862149935379,26,FINISHED
d3d9446802a44259755d38e6d163e820,stage3,2024-05-01T10:08:41,1317,0.8890813688195593,15,FINISHED
6512bd43d9caa6e02c990b0a82652dca,stage3,2024-05-01T11:01:06,719,0.8922678758547004,10,FAILED
c20ad4d76fe97759aa27a0c99bff6710,stage2,2024-05-01T12:14:57,5595,0.8028486400426204,13,FINISHED
c51ce410c124a10e0db5e4b97fc2af39,stage3,2024-05-01T13:09:05,6993,0.9345719359152993,20,FINISHED
aab3238922bcc25a6f606eb525ffdc56,stage1,2024-05-01T14:03:58,2314,0.893165264634017,23,FINISHED
9bf31c7ff062936a96d3c8bd1f8f2ff3,stage3,2024-05-01T15:06:35,5026,0.89440090157726,14,FINISHED
c74d97b01eae257e44aa9d5bade97baf,stage2,2024-05-01T16:04:56,3562,0.930416416402998,14,FINISHED
70efdf2ec9b086079795c442636b55fb,stage1,2024-05-01T17:24:38,577,0.873289543519466,9,FINISHED
6f4922f45568161a8cdf4ad2299f6d23,stage2,2024-05-01T18:20:25,3629,0.933380741714278,25,FINISHED
1f0e3dad99908345f7439f8ffabdffc4,stage1,2024-05-01T19:29:28,3496,0.7813202094072066,14,FINISHED
98f13708210194c475687be6106a3b84,stage2,2024-05-01T20:10:22,3511,0.8672177418090303,20,FINISHED
3c59dc048e8850243be8079a5c74d079,stage1,2024-05-01T21:18:54,1198,0.7812585945232213,16,FINISHED
b6d767d2f8ed5d21a44b0e5886680cb9,stage1,2024-05-01T22:23:23,1481,0.8878500698045702,13,FAILED
37693cfc748049e45d87b8c7d8b9aacd,stage3,2024-05-01T23:17:43,2140,0.8379874667383185,27,FINISHED
1ff1de774005f8da13f42943881c655f,stage3,2024-05-02T00:12:23,5087,0.8885844588503349,8,FINISHED
8e296a067a37563370ded05f5a3bf3ec,stage3,2024-05-02T01:03:07,6482,0.7867278311781437,24,FINISHED
4e732ced3463d06de0ca9a15b6153677,stage3,2024-05-02T02:21:24,3297,0.8886962130926559,20,FINISHED
02e74f10e0327ad868d138f2b4fdd6f0,stage2,2024-05-02T03:25:48,3056,0.8467326533783947,11,FINISHED
33e75ff09dd601bbe69f351039152189,stage2,2024-05-02T04:04:36,1233,0.8676789092892515,14,FINISHED
6ea9ab1baa0efb9e19094440c317e21b,stage1,2024-05-02T05:24:59,5436,0.8993316321185081,10,FINISHED
34173cb38f07f89ddbebc2ac9128303f,stage1,2024-05-02T06:06:20,354,0.9258956081760474,23,FINISHED
c16a5320fa475530d9583c34fd356ef5,stage1,2024-05-02T07:18:02,4332,0.8802630924109871,19,FINISHED
6364d3f0f495b6ab9dcf8d3b5c6e0b01,stage2,2024-05-02T08:02:59,3481,0.8294847005985154,17,FINISHED
182be0c5cdcd5072bb1864cdee4d3d6e,stage3,2024-05-02T09:19:48,6876,0.9119939188995814,13,FINISHED
e369853df766fa44e1ed0ff613f563bd,stage3,2024-05-02T10:09:17,4621,0.9172089391022105,9,FINISHED
1c383cd30b7c298ab50293adfecb7b18,stage2,2024-05-02T11:22:45,1755,0.8337975340028289,16,FAILED
19ca14e7ea6328a42e0eb13d585e4c22,stage2,2024-05-02T12:00:08,3753,0.8441827522013624,22,FINISHED
a5bfc9e07964f8dddeb95fc584cd965d,stage2,2024-05-02T13:12:15,4521,0.7905179802291571,21,FINISHED
a5771bce93e200c36f7cd9dfd0e5deaa,stage3,2024-05-02T14:24:10,6314,0.8883812930962929,13,FAILED
d67d8ab4f4c10bf22aa353e27879133c,stage3,2024-05-02T15:10:21,2134,0.932556486358099,10,FINISHED
d645920e395fedad7bbbed0eca3fe2e0,stage3,2024-05-02T16:28:38,496,0.8457466112087373,9,FAILED
3416a75f4cea9109507cacd8e2f2aefc,stage3,2024-05-02T17:04:40,5383,0.9398990860061012,16,FINISHED
a1d0c6e83f027327d8461063f4ac58a6,stage1,2024-05-02T18:12:12,5096,0.9030095750122424,28,FINISHED
17e62166fc8586dfa4d1bc0e1742c08b,stage3,2024-05-02T19:25:06,5801,0.8171410999954417,23,FINISHED
f7177163c833dff4b38fc8d2872f1ec6,stage2,2024-05-02T20:06:27,5954,0.7823830075478795,19,FINISHED
6c8349cc7260ae62e3b1396831a8398f,stage2,2024-05-02T21:07:38,2328,0.9362240433685045,21,FINISHED
d9d4f495e875a2e075a1a4a6e1b9770f,stage3,2024-05-02T22:22:16,1805,0.9332587042632641,29,FAILED
67c6a1e7ce56d3d6fa748ab6d9af3fd7,stage2,2024-05-02T23:21:04,6753,0.8021840199933351,28,FINISHED
642e92efb79421734881b53e1e1b18b6,stage1,2024-05-03T00:14:52,6169,0.8681819638212769,8,FINISHED
f457c545a9ded88f18ecee47145a72c0,stage3,2024-05-03T01:06:38,788,0.7800027838658729,28,FINISHED
c0c7c76d30bd3dcaefc96f40275bdc0a,stage1,2024-05-03T02:21:13,1230,0.8997744708822851,15,FINISHED
2838023a778dfaecdc212708f721b788,stage1,2024-05-03T03:09:16,3705,0.8263946596944413,21,FINISHED
9a1158154dfa42caddbd0694a4e9bdc8,stage3,2024-05-03T04:22:49,2750,0.8913661612596894,10,FINISHED
d82c8d1619ad8176d665453cfb2e55f0,stage1,2024-05-03T05:03:29,191,0.8031122370000894,9,FAILED
a684eceee76fc522773286a895bc8436,stage2,2024-05-03T06:10:32,6020,0.8726482653454433,21,FINISHED
b53b3a3d6ab90ce0268229151c9bde11,stage3,2024-05-03T07:21:43,1007,0.9177471299782815,27,FAILED
9f61408e3afb633e50cdf1b20de6f466,stage2,2024-05-03T08:02:39,144,0.936256364967621,8,FINISHED
72b32a1f754ba1c09b3695e0cb6cde7f,stage1,2024-05-03T09:23:06,6489,0.8938453120631681,28,FAILED
66f041e16a60928b05a7e228a89c3799,stage1,2024-05-03T10:19:25,3053,0.8055277954233847,11,FINISHED
093f65e080a295f8076b1c5722a46aa2,stage2,2024-05-03T11:12:14,5350,0.8047521912490664,22,FINISHED
072b030ba126b2f4b2374f342be9ed44,stage2,2024-05-03T12:17:16,1645,0.825212056312662,28,FINISHED
7f39f8317fbdb1988ef4c628eba02591,stage3,2024-05-03T13:06:33,2713,0.8879772555564885,17,FINISHED
44f683a84163b3523afe57c2e008bc8c,stage2,2024-05-03T14:01:00,140,0.9347635225537427,24,FINISHED
03afdbd66e7929b125f8597834fa83a4,stage1,2024-05-03T15:03:40,6487,0.8600884182399774,10,FINISHED
