run_id,model_version,scored_at,n_features_used,feature_drift_psi,auroc_holdout,calibration_brier,decision_threshold,flagged_count,override_count
RSC-2021-00000,v2.2.0,2021-06-09 15:17:30,57,0.0421,0.8314,0.1208,0.4955,1173,88
RSC-2021-00001,v2.1.3,2021-10-08 18:08:21,36,0.0357,0.8425,0.1436,0.532,1442,90
RSC-2021-00002,v2.3.0,2021-10-26 01:07:33,35,0.0087,0.7962,0.1502,0.4928,1323,75
RSC-2021-00003,v2.2.1,2021-02-21 22:27:46,35,0.0731,0.8087,0.1397,0.5126,1214,110
RSC-2021-00004,v2.1.3,2021-07-20 15:40:27,47,0.0307,0.823,0.1345,0.4774,877,62
RSC-2021-00005,v2.2.0,2021-04-06 04:51:12,49,0.0291,0.79,0.1169,0.4855,906,48
RSC-2021-00006,v2.1.3,2021-05-26 12:46:20,50,0.0326,0.8524,0.1451,0.5142,1101,91
RSC-2021-00007,v2.2.1,2021-06-27 04:38:31,48,0.0451,0.7826,0.1457,0.4875,976,91
RSC-2021-00008,v2.2.1,2021-09-14 22:20:16,48,0.023,0.8482,0.1472,0.5415,863,93
RSC-2021-00009,v2.3.0,2021-06-21 15:04:57,45,0.0425,0.8406,0.1291,0.4903,1393,125
RSC-2021-00010,v2.1.3,2021-03-17 23:09:55,55,0.0116,0.7886,0.1423,0.5178,858,25
RSC-2021-00011,v2.2.0,2021-05-07 18:31:45,36,0.0376,0.8097,0.145,0.4984,1467,58
RSC-2021-00012,v2.3.0,2021-04-21 07:01:08,49,0.0027,0.7772,0.1397,0.5149,1232,59
RSC-2021-00013,v2.1.4,2021-06-08 05:05:12,41,0.0284,0.7909,0.1238,0.5329,1582,82
RSC-2021-00014,v2.2.1,2021-08-21 20:32:39,46,0.0608,0.8194,0.1516,0.5068,961,43
RSC-2021-00015,v2.2.1,2021-07-07 05:06:34,37,0.0588,0.8415,0.1471,0.4858,1332,66
RSC-2021-00016,v2.3.0,2021-06-06 17:00:35,36,0.0356,0.8169,0.1517,0.4985,945,58
RSC-2021-00017,v2.2.0,2021-08-09 10:59:17,40,0.0276,0.7714,0.1654,0.5158,1265,65
RSC-2021-00018,v2.1.3,2021-01-23 03:48:46,41,0.0289,0.8027,0.1313,0.5238,1496,117
RSC-2021-00019,v2.1.4,2021-11-22 16:13:46,52,0.0613,0.8327,0.1354,0.4881,1243,51
RSC-2021-00020,v2.1.3,2021-03-08 14:47:03,53,0.0492,0.8364,0.1174,0.5037,1065,134
