run_id,model_version,scored_at,n_features_used,feature_drift_psi,auroc_holdout,calibration_brier,decision_threshold,flagged_count,override_count
RSC-2023-00000,v2.1.3,2023-08-04 09:47:22,38,0.0162,0.8314,0.1287,0.5053,1477,136
RSC-2023-00001,v2.2.0,2023-06-28 20:52:33,57,0.0135,0.7809,0.1227,0.5306,822,72
RSC-2023-00002,v2.3.0,2023-11-20 11:21:33,38,0.057,0.7999,0.1413,0.5175,1062,95
RSC-2023-00003,v2.1.4,2023-08-22 13:22:27,53,0.0552,0.7955,0.1509,0.5213,1493,71
RSC-2023-00004,v2.2.0,2023-04-29 13:29:53,37,0.0172,0.8082,0.1612,0.5017,911,43
RSC-2023-00005,v2.1.3,2023-06-05 14:03:27,34,0.1108,0.796,0.1375,0.5488,1532,118
RSC-2023-00006,v2.2.1,2023-11-03 09:54:18,48,0.0167,0.8274,0.1582,0.5013,831,87
RSC-2023-00007,v2.1.3,2023-11-30 11:52:56,47,0.0129,0.8091,0.1539,0.5095,1499,119
RSC-2023-00008,v2.3.0,2023-05-11 07:20:29,35,0.0106,0.7948,0.1237,0.4905,1579,136
RSC-2023-00009,v2.1.4,2023-07-18 07:59:43,53,0.0183,0.8217,0.1523,0.5414,1525,25
RSC-2023-00010,v2.2.0,2023-10-12 23:02:40,52,0.0345,0.7877,0.1348,0.5356,871,134
RSC-2023-00011,v2.1.4,2023-03-25 00:39:37,47,0.0573,0.8004,0.144,0.5038,854,128
RSC-2023-00012,v2.1.3,2023-02-25 21:55:59,39,0.034,0.788,0.1619,0.5168,1165,85
RSC-2023-00013,v2.2.1,2023-08-14 11:49:22,37,0.0181,0.8298,0.1257,0.5332,1460,55
RSC-2023-00014,v2.2.0,2023-05-24 05:27:41,41,0.0367,0.8384,0.1313,0.5107,1056,76
RSC-2023-00015,v2.2.1,2023-03-08 14:59:39,54,0.0365,0.7784,0.1308,0.49,1590,95
RSC-2023-00016,v2.3.0,2023-11-20 04:24:07,37,0.004,0.7977,0.1737,0.5029,1043,45
RSC-2023-00017,v2.2.0,2023-12-12 10:11:44,54,0.0525,0.8128,0.1519,0.488,905,55
RSC-2023-00018,v2.2.1,2023-09-09 23:31:31,40,0.0234,0.7822,0.141,0.5327,1239,88
RSC-2023-00019,v2.1.3,2023-05-18 16:13:17,55,0.002,0.8001,0.1435,0.5443,1522,135
RSC-2023-00020,v2.2.0,2023-03-29 07:08:41,39,0.03,0.8149,0.1329,0.4899,1311,124
RSC-2023-00021,v2.1.4,2023-01-10 07:29:37,54,0.0523,0.8056,0.14,0.5444,1051,83
RSC-2023-00022,v2.2.0,2023-06-10 17:25:55,51,0.0623,0.8306,0.138,0.5276,1563,65
RSC-2023-00023,v2.3.0,2023-07-28 14:41:57,35,0.0235,0.8403,0.1449,0.4898,1139,47
RSC-2023-00024,v2.2.1,2023-11-03 19:54:00,45,0.0118,0.7994,0.1376,0.4686,1566,74
RSC-2023-00025,v2.2.1,2023-10-29 04:50:16,53,0.0315,0.8103,0.1489,0.5476,1480,83
RSC-2023-00026,v2.2.0,2023-09-10 14:04:21,44,0.0368,0.7833,0.1306,0.5645,1379,52
RSC-2023-00027,v2.3.0,2023-07-15 11:34:58,51,0.0758,0.8076,0.1314,0.5133,1273,83
RSC-2023-00028,v2.1.4,2023-12-31 09:01:41,57,0.05,0.829,0.146,0.5265,1507,28
RSC-2023-00029,v2.2.0,2023-12-30 09:43:06,43,0.0425,0.8236,0.1467,0.5129,1197,61
RSC-2023-00030,v2.2.1,2023-04-01 18:37:29,35,0.018,0.7878,0.1453,0.5098,1120,23
RSC-2023-00031,v2.1.4,2023-09-05 02:19:45,48,0.0344,0.824,0.1445,0.5261,1011,103
RSC-2023-00032,v2.2.0,2023-02-10 07:35:58,46,0.0377,0.8201,0.1587,0.4945,882,38
RSC-2023-00033,v2.1.4,2023-06-18 13:12:42,36,0.0321,0.8085,0.1425,0.5098,1463,30
RSC-2023-00034,v2.1.3,2023-06-20 05:33:35,47,0.0252,0.7811,0.1331,0.5268,1035,38
RSC-2023-00035,v2.3.0,2023-04-23 20:44:05,47,0.046,0.8089,0.135,0.529,1233,117
RSC-2023-00036,v2.2.1,2023-09-22 12:18:24,45,0.0013,0.8006,0.1579,0.4823,1014,132
RSC-2023-00037,v2.3.0,2023-06-10 23:42:52,47,0.0218,0.8272,0.1456,0.4903,919,60
