run_id,model_version,scored_at,n_features_used,feature_drift_psi,auroc_holdout,calibration_brier,decision_threshold,flagged_count,override_count
RSC-2020-00000,v2.1.3,2020-11-03 19:53:00,35,0.0184,0.8345,0.144,0.5293,1561,99
RSC-2020-00001,v2.2.1,2020-04-07 19:31:31,36,0.0662,0.8048,0.1499,0.5099,1092,77
RSC-2020-00002,v2.3.0,2020-12-27 09:24:28,50,0.0527,0.7949,0.1401,0.5097,1420,83
RSC-2020-00003,v2.1.4,2020-10-09 10:09:20,55,0.006,0.7991,0.1308,0.5055,1149,135
RSC-2020-00004,v2.2.0,2020-03-12 07:54:36,40,0.0214,0.7885,0.1318,0.5167,1015,97
RSC-2020-00005,v2.3.0,2020-03-27 20:42:42,51,0.037,0.8007,0.1339,0.5141,983,73
RSC-2020-00006,v2.3.0,2020-01-25 20:34:54,35,0.0359,0.8072,0.1212,0.5265,1402,32
RSC-2020-00007,v2.2.0,2020-08-29 23:25:06,53,0.0778,0.8065,0.1362,0.4589,1244,39
RSC-2020-00008,v2.2.1,2020-12-07 05:13:20,49,0.0171,0.8127,0.133,0.5505,1372,77
RSC-2020-00009,v2.3.0,2020-10-29 05:07:10,49,0.0377,0.8301,0.1217,0.5217,916,124
RSC-2020-00010,v2.1.4,2020-10-30 11:32:35,41,0.0192,0.8174,0.1405,0.5001,1297,95
RSC-2020-00011,v2.2.1,2020-08-28 19:09:06,44,0.0095,0.814,0.1239,0.52,1237,79
RSC-2020-00012,v2.2.0,2020-10-01 03:02:17,46,0.0207,0.8282,0.1235,0.4884,1213,94
RSC-2020-00013,v2.1.3,2020-04-02 15:51:47,46,0.0465,0.7979,0.1507,0.5251,977,53
RSC-2020-00014,v2.1.4,2020-10-20 08:12:33,41,0.0199,0.8037,0.1488,0.5019,1581,24
RSC-2020-00015,v2.1.4,2020-09-26 17:03:43,43,0.0149,0.7993,0.1369,0.4825,960,85
RSC-2020-00016,v2.2.1,2020-06-17 02:30:35,39,0.0171,0.7634,0.1286,0.493,922,53
RSC-2020-00017,v2.2.1,2020-10-19 07:39:47,42,0.039,0.8135,0.1537,0.4855,1117,80
RSC-2020-00018,v2.2.1,2020-09-02 21:05:54,55,0.0087,0.7873,0.1395,0.5396,1191,54
