run_id,model_version,scored_at,n_features_used,feature_drift_psi,auroc_holdout,calibration_brier,decision_threshold,flagged_count,override_count
RSC-2024-00000,v2.2.0,2024-06-26 06:10:13,44,0.0471,0.8078,0.1494,0.5094,1281,25
RSC-2024-00001,v2.1.4,2024-08-17 21:13:49,49,0.0253,0.7965,0.1503,0.499,876,118
RSC-2024-00002,v2.2.0,2024-05-01 17:44:20,50,0.0032,0.8193,0.146,0.5094,1561,126
RSC-2024-00003,v2.1.3,2024-01-17 08:11:50,52,0.0732,0.8052,0.1494,0.5182,1154,97
RSC-2024-00004,v2.1.3,2024-04-02 10:27:05,49,0.0036,0.7914,0.1483,0.5148,1048,117
RSC-2024-00005,v2.2.0,2024-04-07 22:10:24,40,0.0888,0.8186,0.1579,0.5038,872,65
RSC-2024-00006,v2.2.1,2024-09-08 02:19:51,56,0.0504,0.787,0.1417,0.5114,1541,42
RSC-2024-00007,v2.2.0,2024-02-12 03:26:51,52,0.0754,0.786,0.1693,0.4935,1220,86
RSC-2024-00008,v2.1.4,2024-09-13 11:14:59,46,0.0625,0.8001,0.1438,0.5104,1590,88
RSC-2024-00009,v2.3.0,2024-07-31 11:11:44,55,0.0174,0.8218,0.1378,0.5146,1426,109
RSC-2024-00010,v2.3.0,2024-01-20 13:08:44,47,0.012,0.7779,0.1294,0.5535,946,95
RSC-2024-00011,v2.2.1,2024-05-28 00:59:55,42,0.0321,0.7921,0.1336,0.5163,1291,55
RSC-2024-00012,v2.2.0,2024-08-07 06:05:02,38,0.0637,0.8033,0.1496,0.4969,1237,126
RSC-2024-00013,v2.1.3,2024-04-14 02:57:06,45,0.0219,0.7909,0.1739,0.5087,1060,111
RSC-2024-00014,v2.2.1,2024-11-04 20:36:46,38,0.0612,0.7719,0.1573,0.5389,866,106
RSC-2024-00015,v2.3.0,2024-07-30 03:22:18,57,0.0264,0.8011,0.1605,0.4988,1137,48
RSC-2024-00016,v2.1.3,2024-07-12 21:02:38,56,0.0585,0.8239,0.1629,0.5041,949,76
RSC-2024-00017,v2.2.0,2024-06-25 21:20:51,43,0.0462,0.8152,0.1368,0.4894,1076,40
RSC-2024-00018,v2.2.1,2024-12-02 20:37:11,55,0.0235,0.812,0.1424,0.5039,1356,27
RSC-2024-00019,v2.2.0,2024-05-13 20:41:41,37,0.0329,0.7938,0.1635,0.4727,1243,114
RSC-2024-00020,v2.3.0,2024-03-03 03:50:54,39,0.066,0.8169,0.1453,0.5125,1252,36
RSC-2024-00021,v2.2.1,2024-11-22 00:34:03,41,0.0079,0.8006,0.1281,0.51,1276,67
RSC-2024-00022,v2.1.4,2024-02-05 21:43:12,40,0.0489,0.8524,0.1449,0.5092,1083,81
RSC-2024-00023,v2.1.3,2024-01-10 13:46:30,39,0.07,0.7724,0.1328,0.4818,1103,64
RSC-2024-00024,v2.2.0,2024-05-15 12:40:33,45,0.0197,0.7987,0.1647,0.5195,1476,139
RSC-2024-00025,v2.2.0,2024-02-16 05:51:52,57,0.0171,0.797,0.1403,0.5141,1462,103
RSC-2024-00026,v2.3.0,2024-04-04 05:04:15,51,0.0296,0.8103,0.1295,0.4984,1514,60
