graduate_id,institution_id,cohort_year,field_of_study,cum_gpa,first_gen,rural_origin
G2018000006,U05,2019,BUS,3.349,0,0
G2018000007,U01,2019,STEM,2.678,0,0
G2018000012,U02,2019,BUS,2.47,0,0
G2018000018,U01,2019,SOC,3.517,1,0
G2018000023,U01,2019,STEM,3.242,0,1
G2018000024,U02,2019,SOC,3.19,0,0
G2018000031,U06,2019,BUS,2.71,0,0
G2018000038,U04,2019,STEM,3.301,0,0
G2018000049,U04,2019,HLT,3.199,0,0
G2018000065,U04,2019,BUS,2.059,1,1
G2018000066,U04,2019,STEM,2.767,0,0
G2018000077,U05,2019,BUS,2.63,0,1
G2018000078,U04,2019,HLT,3.396,0,0
G2018000081,U07,2019,SOC,3.514,0,0
G2018000092,U04,2019,SOC,2.551,0,0
G2018000093,U08,2019,EDU,2.793,0,0
G2018000102,U07,2019,STEM,3.237,0,1
G2018000103,U07,2019,BUS,3.441,1,0
G2018000104,U02,2019,EDU,2.546,0,0
G2018000106,U06,2019,HUM,2.93,0,0
G2018000109,U03,2019,BUS,3.322,1,0
G2018000111,U05,2019,BUS,3.028,1,0
G2018000113,U08,2019,BUS,3.542,0,0
G2018000117,U06,2019,BUS,3.267,0,0
G2018000122,U02,2019,SOC,3.008,0,1
G2018000138,U08,2019,SOC,3.061,0,0
G2018000147,U01,2019,STEM,2.787,0,0
G2018000148,U02,2019,EDU,3.73,0,0
G2018000154,U05,2019,STEM,2.629,0,0
G2018000156,U03,2019,STEM,2.718,0,0
G2018000160,U04,2019,BUS,3.32,1,0
G2018000162,U06,2019,EDU,3.487,0,0
G2018000165,U03,2019,SOC,3.449,0,0
G2018000170,U04,2019,HLT,2.839,0,0
G2018000173,U08,2019,HUM,2.598,0,1
G2018000175,U03,2019,STEM,3.431,0,0
G2018000182,U05,2019,HUM,3.2,0,1
G2018000183,U03,2019,SOC,3.283,1,0
G2018000189,U05,2019,EDU,3.716,0,1
G2018000190,U06,2019,HUM,3.345,0,0
G2018000196,U01,2019,HLT,2.738,0,0
G2018000197,U01,2019,HUM,3.704,0,0
G2018000200,U08,2019,SOC,3.598,1,0
G2018000213,U05,2019,HLT,2.747,0,0
G2018000214,U08,2019,STEM,2.893,0,0
G2018000222,U08,2019,EDU,3.093,1,1
G2018000231,U01,2019,BUS,3.544,0,1
G2018000235,U01,2019,BUS,2.982,0,1
G2018000236,U04,2019,SOC,2.823,0,1
G2018000238,U08,2019,BUS,3.018,0,0
G2018000239,U07,2019,BUS,3.027,1,0
G2018000262,U07,2019,BUS,3.1,0,0
G2018000264,U03,2019,SOC,2.488,0,1
G2018000265,U05,2019,EDU,3.172,1,0
G2018000272,U06,2019,SOC,3.528,1,1
G2018000284,U06,2019,SOC,3.123,0,0
G2018000287,U02,2019,SOC,3.155,0,1
G2018000301,U05,2019,EDU,2.326,0,0
G2018000302,U08,2019,STEM,2.579,0,0
G2018000303,U03,2019,HLT,2.96,0,0
G2018000310,U03,2019,SOC,2.656,1,1
G2018000311,U05,2019,SOC,3.018,0,1
G2018000313,U05,2019,BUS,2.518,1,0
G2018000314,U04,2019,BUS,2.743,1,0
G2018000319,U02,2019,STEM,3.24,0,0
G2018000322,U01,2019,BUS,3.321,1,0
G2018000334,U06,2019,HUM,4.0,0,0
G2018000344,U01,2019,STEM,3.501,0,0
G2018000347,U07,2019,STEM,2.957,0,1
G2018000363,U02,2019,BUS,2.815,1,1
G2018000369,U01,2019,HLT,2.921,1,1
G2018000376,U04,2019,SOC,3.277,1,1
G2018000382,U04,2019,HUM,3.365,1,0
G2018000388,U02,2019,STEM,2.834,0,0
G2018000399,U06,2019,HUM,3.63,0,0
G2018000400,U02,2019,STEM,2.785,0,0
G2018000408,U02,2019,BUS,2.959,0,0
G2018000410,U03,2019,BUS,3.003,1,1
G2018000417,U06,2019,BUS,2.757,0,0
G2018000419,U07,2019,SOC,3.014,0,0
G2018000425,U08,2019,HUM,3.28,0,0
G2018000428,U03,2019,STEM,4.0,1,0
G2018000429,U01,2019,SOC,2.585,0,0
G2018000440,U03,2019,SOC,3.119,0,0
G2018000448,U03,2019,STEM,2.893,1,0
G2018000466,U02,2019,HUM,2.875,0,0
G2018000469,U04,2019,BUS,2.834,1,0
G2018000471,U03,2019,HLT,2.888,1,0
G2018000475,U03,2019,SOC,3.444,0,0
G2018000476,U05,2019,BUS,2.584,0,0
G2018000477,U03,2019,HLT,3.235,0,1
G2018000487,U08,2019,SOC,3.163,1,0
G2018000499,U04,2019,EDU,2.95,0,0
G2018000504,U05,2019,HUM,2.8,0,0
G2018000505,U03,2019,HLT,3.092,0,0
G2018000517,U01,2019,HLT,3.347,0,0
G2018000520,U07,2019,HUM,3.416,0,0
G2018000525,U03,2019,STEM,3.069,1,0
G2018000530,U08,2019,HUM,3.549,0,1
G2018000540,U08,2019,HLT,3.284,0,0
