graduate_id,institution_id,cohort_year,field_of_study,cum_gpa,first_gen,rural_origin
G2018000003,U03,2018,HLT,3.014,1,0
G2018000005,U05,2018,HUM,3.495,0,1
G2018000019,U03,2018,STEM,3.809,0,0
G2018000027,U02,2018,STEM,3.544,1,0
G2018000029,U06,2018,SOC,4.0,0,0
G2018000032,U03,2018,STEM,2.794,1,0
G2018000037,U07,2018,STEM,2.233,0,1
G2018000041,U08,2018,STEM,3.313,0,0
G2018000047,U06,2018,EDU,2.996,0,0
G2018000048,U04,2018,BUS,2.41,0,0
G2018000050,U08,2018,BUS,3.396,0,0
G2018000051,U02,2018,HUM,3.184,1,0
G2018000059,U05,2018,STEM,2.265,0,1
G2018000067,U03,2018,EDU,2.99,0,0
G2018000068,U04,2018,STEM,3.491,0,0
G2018000079,U07,2018,SOC,2.784,1,0
G2018000083,U06,2018,STEM,3.553,0,0
G2018000086,U06,2018,SOC,3.686,0,0
G2018000110,U07,2018,BUS,3.226,0,0
G2018000116,U06,2018,BUS,3.05,0,0
G2018000120,U01,2018,HUM,2.696,0,0
G2018000124,U01,2018,BUS,2.902,0,0
G2018000125,U04,2018,STEM,2.906,0,1
G2018000128,U06,2018,STEM,2.96,0,0
G2018000131,U02,2018,SOC,3.211,1,0
G2018000136,U03,2018,HLT,3.89,1,1
G2018000150,U02,2018,EDU,2.274,0,0
G2018000157,U06,2018,STEM,3.491,1,1
G2018000159,U06,2018,BUS,3.071,1,1
G2018000161,U04,2018,HUM,3.1,1,0
G2018000164,U05,2018,STEM,2.992,0,1
G2018000176,U06,2018,HUM,3.031,0,0
G2018000177,U04,2018,STEM,3.591,1,0
G2018000199,U05,2018,STEM,3.331,0,0
G2018000204,U06,2018,STEM,2.861,0,0
G2018000212,U01,2018,BUS,2.855,0,0
G2018000217,U03,2018,STEM,2.683,1,1
G2018000219,U03,2018,SOC,3.121,1,0
G2018000226,U01,2018,EDU,2.289,0,0
G2018000232,U02,2018,SOC,2.941,0,1
G2018000233,U07,2018,SOC,3.021,1,0
G2018000237,U06,2018,SOC,2.829,0,0
G2018000240,U02,2018,SOC,2.449,0,0
G2018000252,U02,2018,STEM,3.601,0,0
G2018000254,U02,2018,BUS,2.917,0,0
G2018000273,U07,2018,SOC,2.569,0,0
G2018000277,U04,2018,STEM,3.288,0,1
G2018000282,U07,2018,BUS,2.918,0,0
G2018000283,U04,2018,BUS,3.38,0,0
G2018000285,U07,2018,HLT,3.29,0,1
G2018000291,U02,2018,BUS,2.864,0,0
G2018000297,U03,2018,SOC,3.201,0,0
G2018000304,U02,2018,BUS,3.271,1,0
G2018000309,U06,2018,HUM,2.595,0,1
G2018000312,U07,2018,STEM,3.253,0,0
G2018000323,U01,2018,EDU,2.715,0,0
G2018000329,U04,2018,HLT,2.297,1,0
G2018000330,U04,2018,STEM,3.683,1,0
G2018000335,U07,2018,BUS,3.632,0,0
G2018000336,U01,2018,BUS,3.203,0,1
G2018000338,U05,2018,SOC,4.0,1,0
G2018000345,U08,2018,SOC,2.882,1,1
G2018000346,U03,2018,SOC,3.741,1,0
G2018000350,U05,2018,BUS,3.582,1,0
G2018000352,U08,2018,SOC,3.397,1,0
G2018000354,U05,2018,HLT,2.093,0,0
G2018000358,U01,2018,BUS,3.413,1,1
G2018000361,U02,2018,SOC,2.648,0,0
G2018000364,U02,2018,SOC,3.089,0,0
G2018000372,U08,2018,SOC,3.337,0,0
G2018000377,U07,2018,BUS,2.952,1,1
G2018000381,U04,2018,BUS,2.966,0,0
G2018000383,U02,2018,EDU,3.46,0,0
G2018000384,U06,2018,HLT,3.118,1,0
G2018000393,U08,2018,STEM,2.849,0,0
G2018000394,U06,2018,HUM,2.539,1,1
G2018000397,U06,2018,BUS,2.771,0,0
