graduate_id	risk_score	eligible_z	enrolled_d
G2018000003	12.514	0	0
G2018000005	43.331	0	0
G2018000019	10.715	0	0
G2018000027	49.906	0	1
G2018000029	12.036	0	0
G2018000032	40.007	0	1
G2018000037	22.013	0	0
G2018000041	10.168	0	0
G2018000047	16.472	0	0
G2018000048	16.918	0	0
G2018000050	10.86	0	0
G2018000051	10.792	0	0
G2018000059	10.851	0	0
G2018000067	28.064	0	1
G2018000068	18.426	0	0
G2018000079	19.884	0	0
G2018000083	13.56	0	0
G2018000086	34.673	0	0
G2018000110	20.72	0	0
G2018000116	8.643	0	0
G2018000120	25.031	0	1
G2018000124	41.212	0	0
G2018000125	12.77	0	1
G2018000128	17.059	0	0
G2018000131	21.631	0	1
G2018000136	45.239	0	0
G2018000150	24.862	0	1
G2018000157	26.891	0	0
G2018000159	11.757	0	0
G2018000161	50.685	0	0
G2018000164	30.354	0	1
G2018000176	61.649	0	0
G2018000177	20.28	0	0
G2018000199	30.46	0	0
G2018000204	34.208	0	0
G2018000212	20.939	0	1
G2018000217	14.005	0	1
G2018000219	23.858	0	0
G2018000226	38.439	0	0
G2018000232	63.994	0	0
G2018000233	3.586	0	1
G2018000237	8.039	0	0
G2018000240	44.908	0	0
G2018000252	27.716	0	1
G2018000254	16.67	0	0
G2018000273	36.377	0	1
G2018000277	15.214	0	0
G2018000282	17.754	0	0
G2018000283	23.392	0	0
G2018000285	18.555	0	0
G2018000291	21.605	0	0
G2018000297	14.432	0	0
G2018000304	15.276	0	1
G2018000309	33.35	0	1
G2018000312	27.38	0	1
G2018000323	15.558	0	0
G2018000329	21.35	0	1
G2018000330	48.516	0	0
G2018000335	14.025	0	0
G2018000336	54.831	0	0
G2018000338	38.367	0	0
G2018000345	24.613	0	0
G2018000346	30.427	0	1
G2018000350	19.648	0	0
G2018000352	33.035	0	0
G2018000354	22.886	0	0
G2018000358	28.028	0	0
G2018000361	16.388	0	0
G2018000364	62.897	0	1
G2018000372	34.5	0	0
G2018000377	76.783	1	1
G2018000381	11.449	0	1
G2018000383	18.04	0	0
G2018000384	31.156	0	0
G2018000393	56.741	0	0
G2018000394	68.087	0	1
G2018000397	8.483	0	0
G2018000398	49.151	0	1
G2018000404	10.137	0	0
G2018000405	26.111	0	0
G2018000407	53.293	0	0
G2018000426	6.231	0	0
G2018000431	30.634	0	1
G2018000432	54.57	0	0
G2018000433	16.622	0	0
G2018000434	18.812	0	0
G2018000442	14.101	0	0
G2018000447	19.909	0	1
G2018000453	7.31	0	0
G2018000455	36.846	0	0
G2018000458	12.135	0	1
G2018000461	40.698	0	1
G2018000467	8.942	0	0
G2018000481	20.559	0	0
G2018000488	26.094	0	1
G2018000490	21.11	0	1
G2018000491	24.677	0	0
G2018000493	29.22	0	0
G2018000497	43.683	0	1
G2018000508	37.942	0	1
G2018000514	12.845	0	0
G2018000515	26.538	0	1
G2018000526	55.582	0	0
G2018000531	25.558	0	0
G2018000534	6.628	0	0
G2018000536	11.196	0	0
G2018000538	20.885	0	1
G2018000539	35.638	0	1
G2018000549	39.165	0	1
G2018000551	24.24	0	0
G2018000555	39.054	0	0
G2018000566	10.267	0	1
G2018000567	37.707	0	0
G2018000568	23.83	0	1
G2018000583	25.984	0	0
G2018000584	2.105	0	0
G2018000592	2.165	0	0
G2018000599	50.837	0	1
G2018000600	34.938	0	0
G2018000605	27.094	0	0
G2018000614	63.728	0	1
G2018000619	58.449	0	0
G2018000621	28.703	0	0
G2018000627	19.417	0	0
G2018000635	33.589	0	0
G2018000638	32.341	0	0
G2018000641	24.825	0	0
G2018000644	31.527	0	0
G2018000651	28.994	0	0
G2018000653	18.866	0	0
G2018000654	23.311	0	0
G2018000670	69.463	0	0
G2018000673	38.889	0	0
G2018000681	14.616	0	0
G2018000686	56.848	0	0
G2018000687	13.935	0	0
G2018000691	6.999	0	1
G2018000693	23.325	0	0
G2018000694	31.813	0	0
G2018000697	12.313	0	0
G2018000699	11.197	0	0
G2018000701	10.93	0	1
G2018000707	32.729	0	0
G2018000711	17.446	0	1
G2018000717	14.217	0	0
G2018000718	11.258	0	0
G2018000721	22.363	0	0
G2018000722	15.13	0	1
G2018000729	26.553	0	1
G2018000744	8.605	0	0
G2018000746	15.507	0	0
G2018000749	10.592	0	0
G2018000766	13.617	0	0
G2018000767	55.299	0	0
G2018000774	40.628	0	0
G2018000783	28.584	0	0
G2018000785	2.564	0	0
G2018000794	14.34	0	1
G2018000797	15.765	0	0
G2018000800	19.865	0	0
G2018000801	45.752	0	0
G2018000803	23.156	0	0
G2018000807	51.239	0	1
G2018000808	48.337	0	0
G2018000818	64.587	0	0
G2018000819	35.919	0	0
G2018000826	56.596	0	0
G2018000835	31.47	0	0
G2018000836	17.275	0	0
G2018000854	53.921	0	0
G2018000855	41.479	0	1
G2018000861	14.418	0	0
G2018000864	17.46	0	0
G2018000869	26.349	0	0
G2018000870	26.07	0	0
G2018000874	48.201	0	0
G2018000877	33.371	0	0
G2018000880	3.142	0	0
G2018000893	25.099	0	0
G2018000896	16.673	0	0
G2018000901	36.742	0	0
G2018000913	40.755	0	1
G2018000916	17.489	0	0
G2018000919	15.755	0	0
G2018000923	20.774	0	0
G2018000929	43.754	0	0
G2018000931	55.442	0	0
G2018000933	11.3	0	0
G2018000942	51.55	0	0
G2018000947	8.873	0	1
G2018000950	45.986	0	0
G2018000952	8.212	0	1
G2018000956	18.202	0	0
G2018000960	30.65	0	0
G2018000965	54.655	0	0
G2018000968	25.541	0	0
G2018000971	51.779	0	0
G2018000974	21.894	0	0
G2018000980	19.224	0	1
G2018000986	5.67	0	0
G2018000988	43.406	0	0
G2018000989	13.845	0	0
G2018000995	10.562	0	1
G2018001001	27.075	0	0
G2018001002	32.022	0	0
G2018001005	5.848	0	0
G2018001012	12.456	0	1
G2018001025	57.267	0	1
G2018001031	19.795	0	0
G2018001032	24.458	0	0
G2018001040	27.64	0	0
G2018001053	35.987	0	0
G2018001063	30.29	0	1
G2018001071	14.071	0	0
G2018001072	42.048	0	0
G2018001077	30.624	0	0
G2018001080	25.334	0	1
G2018001081	13.917	0	0
G2018001082	7.87	0	0
G2018001086	42.011	0	0
G2018001096	19.363	0	0
G2018001100	55.772	0	0
G2018001106	32.768	0	0
G2018001118	17.507	0	0
G2018001120	3.924	0	0
G2018001122	28.471	0	1
G2018001123	19.732	0	1
G2018001124	42.961	0	0
G2018001125	10.37	0	1
G2018001127	26.286	0	1
G2018001129	29.284	0	0
G2018001133	77.521	1	0
G2018001149	11.713	0	1
G2018001152	55.491	0	0
G2018001162	31.917	0	0
G2018001180	8.907	0	1
G2018001184	29.475	0	0
G2018001192	13.615	0	0
G2018001193	12.822	0	0
G2018001194	34.21	0	0
G2018001202	9.014	0	0
G2018001206	32.87	0	0
G2018001208	14.456	0	0
G2018001209	48.556	0	0
G2018001211	57.08	0	0
G2018001215	40.757	0	1
G2018001217	8.624	0	0
G2018001223	8.493	0	1
G2018001229	16.86	0	0
G2018001235	36.588	0	0
G2018001256	38.734	0	0
G2018001262	39.209	0	0
G2018001273	6.728	0	0
G2018001279	40.995	0	1
G2018001282	38.913	0	0
G2018001283	55.671	0	0
G2018001288	28.748	0	0
G2018001297	11.47	0	0
G2018001298	20.889	0	0
G2018001302	48.241	0	1
G2018001305	29.219	0	0
G2018001312	16.977	0	1
G2018001313	60.291	0	0
G2018001326	8.318	0	0
G2018001328	24.319	0	0
G2018001335	24.384	0	0
