student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category
S201300001,2013,0,M,1,White,GA,INST_02,State University B (Research),research,3.8,71,1995,Management,Business
S201300002,2013,0,F,0,Hispanic,PA,INST_05,Urban University E (Research),research,3.95,73,1995,Accounting,Business
S201300003,2013,0,M,0,White,PA,INST_04,Regional College D (Teaching),teaching,2.53,46,1995,Psychology,Social Sciences
S201300004,2013,1,F,0,White,CA,INST_05,Urban University E (Research),research,3.16,55,1995,Art History,Humanities
S201300005,2013,1,NB,0,White,GA,INST_05,Urban University E (Research),research,2.59,34,1995,English,Humanities
S201300006,2013,0,F,0,White,GA,INST_05,Urban University E (Research),research,3.29,35,1995,Nursing,Health
S201300007,2013,0,F,0,White,VA,INST_02,State University B (Research),research,2.89,52,1995,Computer Science,STEM
S201300008,2013,1,F,0,White,VA,INST_04,Regional College D (Teaching),teaching,2.78,73,1995,Statistics,STEM
S201300009,2013,0,M,0,Hispanic,OH,INST_01,State University A (Research),research,3.0,99,1995,Accounting,Business
S201300010,2013,1,M,0,Black,PA,INST_02,State University B (Research),research,3.38,54,1995,Pre-Med,Health
S201300011,2013,0,M,0,White,IL,INST_02,State University B (Research),research,3.57,62,1995,Physics,STEM
S201300012,2013,0,F,0,White,IL,INST_04,Regional College D (Teaching),teaching,2.66,43,1995,Kinesiology,Health
S201300013,2013,0,F,0,White,MI,INST_03,Regional College C (Teaching),teaching,2.8,50,1995,Finance,Business
S201300014,2013,0,M,0,Black,IL,INST_01,State University A (Research),research,4.0,55,1995,Finance,Business
S201300015,2013,1,F,0,Hispanic,PA,INST_04,Regional College D (Teaching),teaching,2.85,49,1995,Statistics,STEM
S201300016,2013,0,F,1,White,GA,INST_05,Urban University E (Research),research,2.57,34,1995,Kinesiology,Health
S201300017,2013,0,M,0,White,IL,INST_01,State University A (Research),research,3.1,77,1995,Statistics,STEM
S201300018,2013,0,F,1,Hispanic,FL,INST_05,Urban University E (Research),research,3.49,58,1995,Accounting,Business
S201300019,2013,0,F,1,White,VA,INST_05,Urban University E (Research),research,3.58,66,1995,Kinesiology,Health
S201300020,2013,1,M,0,White,TX,INST_02,State University B (Research),research,3.0,44,1995,Undeclared,Other
S201300021,2013,0,F,0,Black,MI,INST_03,Regional College C (Teaching),teaching,3.75,60,1995,Economics-Bus,Business
S201300022,2013,1,F,0,White,FL,INST_02,State University B (Research),research,2.98,64,1995,Economics-Bus,Business
S201300023,2013,1,M,1,Asian,TX,INST_05,Urban University E (Research),research,2.86,66,1995,Accounting,Business
S201300024,2013,1,F,0,White,IL,INST_01,State University A (Research),research,3.65,35,1995,Marketing,Business
S201300025,2013,0,M,1,White,GA,INST_04,Regional College D (Teaching),teaching,4.0,85,1995,Computer Science,STEM
S201300026,2013,1,M,0,Hispanic,NC,INST_04,Regional College D (Teaching),teaching,2.77,45,1995,Spanish,Humanities
S201300027,2013,0,F,0,Black,PA,INST_04,Regional College D (Teaching),teaching,2.2,47,1995,Art History,Humanities
S201300028,2013,0,F,0,White,NJ,INST_01,State University A (Research),research,2.88,78,1995,Education,Other
S201300029,2013,0,F,0,Multi,NC,INST_02,State University B (Research),research,2.77,34,1995,Statistics,STEM
S201300030,2013,1,F,1,White,TX,INST_02,State University B (Research),research,3.77,56,1995,Chemistry,STEM
S201300031,2013,1,M,0,White,NJ,INST_01,State University A (Research),research,3.21,39,1995,Biology,STEM
S201300032,2013,0,F,1,Asian,NJ,INST_05,Urban University E (Research),research,3.09,38,1995,History,Humanities
S201300033,2013,1,M,1,Black,CA,INST_04,Regional College D (Teaching),teaching,3.72,52,1995,Electrical Engineering,STEM
S201300034,2013,0,F,0,Black,GA,INST_05,Urban University E (Research),research,3.36,53,1995,Sociology,Social Sciences
S201300035,2013,0,F,0,White,IL,INST_04,Regional College D (Teaching),teaching,2.62,48,1995,Physics,STEM
S201300036,2013,0,M,0,White,FL,INST_03,Regional College C (Teaching),teaching,3.74,43,1995,Statistics,STEM
S201300037,2013,0,M,0,Black,NY,INST_05,Urban University E (Research),research,2.87,74,1995,Economics-Bus,Business
S201300038,2013,0,F,0,Hispanic,MI,INST_03,Regional College C (Teaching),teaching,3.31,72,1995,Education,Other
S201300039,2013,1,F,0,Black,CA,INST_03,Regional College C (Teaching),teaching,3.32,78,1995,Finance,Business
S201300040,2013,0,M,0,White,PA,INST_03,Regional College C (Teaching),teaching,2.58,44,1995,Finance,Business
S201300041,2013,0,M,0,White,IL,INST_02,State University B (Research),research,3.08,87,1995,Nursing,Health
S201300042,2013,1,F,0,White,MI,INST_03,Regional College C (Teaching),teaching,2.98,96,1995,Mechanical Engineering,STEM
S201300043,2013,0,M,0,White,NY,INST_01,State University A (Research),research,2.53,38,1995,Pre-Med,Health
S201300044,2013,0,M,0,White,NC,INST_02,State University B (Research),research,3.33,51,1995,Pre-Med,Health
S201300045,2013,1,F,0,White,TX,INST_04,Regional College D (Teaching),teaching,3.45,32,1995,Public Health,Health
S201300046,2013,0,F,0,White,GA,INST_02,State University B (Research),research,4.0,42,1995,Biomedical Engineering,STEM
S201300047,2013,0,F,1,White,NJ,INST_03,Regional College C (Teaching),teaching,3.57,52,1995,General Studies,Other
S201300048,2013,0,F,0,White,IL,INST_02,State University B (Research),research,3.26,23,1995,Marketing,Business
S201300049,2013,0,F,0,Hispanic,VA,INST_03,Regional College C (Teaching),teaching,3.78,42,1995,Computer Science,STEM
S201300050,2013,1,M,0,White,GA,INST_02,State University B (Research),research,3.54,58,1995,Economics-Bus,Business
S201300051,2013,0,M,1,Hispanic,IL,INST_01,State University A (Research),research,2.96,71,1995,Undeclared,Other
S201300052,2013,0,M,0,Hispanic,GA,INST_04,Regional College D (Teaching),teaching,2.42,50,1995,Civil Engineering,STEM
S201300053,2013,0,F,0,White,OH,INST_03,Regional College C (Teaching),teaching,3.42,67,1995,Philosophy,Humanities
S201300054,2013,0,F,0,White,VA,INST_04,Regional College D (Teaching),teaching,3.25,76,1995,Pre-Med,Health
S201300055,2013,0,M,1,White,MI,INST_04,Regional College D (Teaching),teaching,2.92,70,1995,Computer Science,STEM
S201300056,2013,1,F,0,White,TX,INST_01,State University A (Research),research,3.06,78,1995,Electrical Engineering,STEM
S201300057,2013,0,M,0,Hispanic,PA,INST_01,State University A (Research),research,3.23,66,1995,Philosophy,Humanities
S201300058,2013,0,M,0,Hispanic,FL,INST_03,Regional College C (Teaching),teaching,2.92,73,1995,Psychology,Social Sciences
S201300059,2013,1,F,1,Hispanic,OH,INST_05,Urban University E (Research),research,3.64,79,1995,Pre-Med,Health
S201300060,2013,1,M,0,White,GA,INST_05,Urban University E (Research),research,3.49,89,1995,Nursing,Health
S201300061,2013,1,F,0,White,VA,INST_02,State University B (Research),research,3.13,43,1995,Political Science,Social Sciences
S201300062,2013,0,M,0,Asian,NC,INST_04,Regional College D (Teaching),teaching,4.0,31,1995,Philosophy,Humanities
S201300063,2013,0,M,0,White,MI,INST_05,Urban University E (Research),research,3.49,68,1995,Public Health,Health
S201300064,2013,1,F,0,White,FL,INST_01,State University A (Research),research,3.5,70,1995,Economics-Bus,Business
S201300065,2013,1,F,0,White,NY,INST_05,Urban University E (Research),research,4.0,83,1995,Biology,STEM
S201300066,2013,0,M,0,White,FL,INST_05,Urban University E (Research),research,2.76,48,1995,Biomedical Engineering,STEM
S201300067,2013,0,F,0,Hispanic,CA,INST_03,Regional College C (Teaching),teaching,2.88,47,1995,Biology,STEM
S201300068,2013,0,M,1,Black,FL,INST_01,State University A (Research),research,3.41,73,1995,Computer Science,STEM
S201300069,2013,1,F,1,Black,IL,INST_05,Urban University E (Research),research,2.67,74,1995,Economics-Bus,Business
S201300070,2013,1,M,0,White,PA,INST_03,Regional College C (Teaching),teaching,3.34,60,1995,Education,Other
S201300071,2013,0,F,0,Hispanic,NC,INST_04,Regional College D (Teaching),teaching,2.65,42,1995,Nursing,Health
S201300072,2013,1,M,0,White,NY,INST_03,Regional College C (Teaching),teaching,3.73,29,1995,Psychology,Social Sciences
S201300073,2013,1,M,1,Black,TX,INST_05,Urban University E (Research),research,3.91,37,1995,Biomedical Engineering,STEM
S201300074,2013,1,M,0,Asian,TX,INST_05,Urban University E (Research),research,3.09,74,1995,Mathematics,STEM
S201300075,2013,1,M,1,White,NY,INST_03,Regional College C (Teaching),teaching,3.55,38,1995,Pre-Med,Health
S201300076,2013,0,F,0,White,FL,INST_01,State University A (Research),research,3.7,36,1995,English,Humanities
S201300077,2013,0,F,0,Black,MI,INST_05,Urban University E (Research),research,3.98,57,1995,Education,Other
S201300078,2013,0,M,0,Multi,CA,INST_04,Regional College D (Teaching),teaching,3.36,79,1995,Economics-Bus,Business
S201300079,2013,1,M,1,Black,VA,INST_03,Regional College C (Teaching),teaching,2.31,24,1995,Electrical Engineering,STEM
S201300080,2013,0,F,0,White,NC,INST_01,State University A (Research),research,3.62,64,1995,Marketing,Business
S201300081,2013,0,M,0,White,CA,INST_02,State University B (Research),research,3.52,82,1995,Anthropology,Social Sciences
S201300082,2013,0,M,0,White,IL,INST_05,Urban University E (Research),research,2.76,73,1995,Education,Other
S201300083,2013,1,M,0,Hispanic,CA,INST_03,Regional College C (Teaching),teaching,3.15,27,1995,Electrical Engineering,STEM
S201300084,2013,0,F,0,White,NY,INST_04,Regional College D (Teaching),teaching,2.57,63,1995,Nursing,Health
S201300085,2013,0,M,0,Unknown,PA,INST_03,Regional College C (Teaching),teaching,3.83,48,1995,Art History,Humanities
S201300086,2013,0,F,0,White,GA,INST_01,State University A (Research),research,3.4,67,1995,Education,Other
S201300087,2013,0,M,0,Hispanic,NY,INST_02,State University B (Research),research,2.97,62,1995,Pre-Med,Health
S201300088,2013,0,M,0,White,NY,INST_04,Regional College D (Teaching),teaching,3.37,38,1995,Electrical Engineering,STEM
