student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category,efc_dollars,need_index,eligible_flag,aid_received,annual_aid_amount,y1_gpa_mean,y1_credits,y2_retained,y6_completed,cumulative_gpa_final,above_cutoff,distance_from_cutoff
S201300001,2013,0,M,1,White,GA,INST_02,State University B (Research),research,3.8,71,1995,Management,Business,9937,1.461,1,1,5553,3.6799999999999997,30,1,0,,0,-1.539
S201300002,2013,0,F,0,Hispanic,PA,INST_05,Urban University E (Research),research,3.95,73,1995,Accounting,Business,20138,2.961,1,1,4522,3.99,31,1,0,,0,-0.039
S201300003,2013,0,M,0,White,PA,INST_04,Regional College D (Teaching),teaching,2.53,46,1995,Psychology,Social Sciences,7341,1.08,1,1,4566,3.335,32,1,0,,0,-1.92
S201300004,2013,1,F,0,White,CA,INST_05,Urban University E (Research),research,3.16,55,1995,Art History,Humanities,5250,0.772,1,1,7550,3.325,32,0,0,,0,-2.228
S201300005,2013,1,NB,0,White,GA,INST_05,Urban University E (Research),research,2.59,34,1995,English,Humanities,4943,0.727,1,0,0,3.27,30,1,0,,0,-2.273
S201300006,2013,0,F,0,White,GA,INST_05,Urban University E (Research),research,3.29,35,1995,Nursing,Health,13273,1.952,1,0,0,3.4299999999999997,25,1,1,3.41,0,-1.048
S201300007,2013,0,F,0,White,VA,INST_02,State University B (Research),research,2.89,52,1995,Computer Science,STEM,18876,2.776,1,1,4152,3.615,28,0,0,,0,-0.224
S201300008,2013,1,F,0,White,VA,INST_04,Regional College D (Teaching),teaching,2.78,73,1995,Statistics,STEM,753,0.111,1,1,7725,3.195,30,1,0,,0,-2.889
S201300009,2013,0,M,0,Hispanic,OH,INST_01,State University A (Research),research,3.0,99,1995,Accounting,Business,5173,0.761,1,1,5787,3.215,28,1,1,3.12,0,-2.239
S201300010,2013,1,M,0,Black,PA,INST_02,State University B (Research),research,3.38,54,1995,Pre-Med,Health,2815,0.414,1,0,0,3.19,32,0,0,,0,-2.586
S201300011,2013,0,M,0,White,IL,INST_02,State University B (Research),research,3.57,62,1995,Physics,STEM,16708,2.457,1,0,0,3.415,25,1,1,3.85,0,-0.543
S201300012,2013,0,F,0,White,IL,INST_04,Regional College D (Teaching),teaching,2.66,43,1995,Kinesiology,Health,11319,1.665,1,1,3826,3.8200000000000003,27,1,0,,0,-1.335
S201300013,2013,0,F,0,White,MI,INST_03,Regional College C (Teaching),teaching,2.8,50,1995,Finance,Business,0,0.1,1,0,0,3.8049999999999997,28,0,0,,0,-2.9
S201300014,2013,0,M,0,Black,IL,INST_01,State University A (Research),research,4.0,55,1995,Finance,Business,28727,4.225,0,0,0,3.765,27,1,1,3.63,1,1.225
S201300015,2013,1,F,0,Hispanic,PA,INST_04,Regional College D (Teaching),teaching,2.85,49,1995,Statistics,STEM,4354,0.64,1,1,6896,3.645,30,1,1,3.46,0,-2.36
S201300016,2013,0,F,1,White,GA,INST_05,Urban University E (Research),research,2.57,34,1995,Kinesiology,Health,3769,0.554,1,1,6110,2.91,32,1,0,,0,-2.446
S201300017,2013,0,M,0,White,IL,INST_01,State University A (Research),research,3.1,77,1995,Statistics,STEM,7762,1.141,1,0,0,2.59,31,0,0,,0,-1.859
S201300018,2013,0,F,1,Hispanic,FL,INST_05,Urban University E (Research),research,3.49,58,1995,Accounting,Business,10977,1.614,1,0,0,3.255,33,1,0,,0,-1.386
S201300019,2013,0,F,1,White,VA,INST_05,Urban University E (Research),research,3.58,66,1995,Kinesiology,Health,3671,0.54,1,0,0,3.5250000000000004,31,1,0,,0,-2.46
S201300020,2013,1,M,0,White,TX,INST_02,State University B (Research),research,3.0,44,1995,Undeclared,Other,14368,2.113,1,1,5011,3.365,32,0,0,,0,-0.887
S201300021,2013,0,F,0,Black,MI,INST_03,Regional College C (Teaching),teaching,3.75,60,1995,Economics-Bus,Business,0,0.1,1,0,0,2.705,29,1,1,2.83,0,-2.9
S201300022,2013,1,F,0,White,FL,INST_02,State University B (Research),research,2.98,64,1995,Economics-Bus,Business,775,0.114,1,0,0,3.51,31,1,0,,0,-2.886
S201300023,2013,1,M,1,Asian,TX,INST_05,Urban University E (Research),research,2.86,66,1995,Accounting,Business,1758,0.259,1,1,6413,3.425,31,0,0,,0,-2.741
S201300024,2013,1,F,0,White,IL,INST_01,State University A (Research),research,3.65,35,1995,Marketing,Business,12877,1.894,1,1,5050,2.715,29,0,0,,0,-1.106
S201300025,2013,0,M,1,White,GA,INST_04,Regional College D (Teaching),teaching,4.0,85,1995,Computer Science,STEM,21064,3.098,0,0,0,3.29,29,0,0,,1,0.098
S201300026,2013,1,M,0,Hispanic,NC,INST_04,Regional College D (Teaching),teaching,2.77,45,1995,Spanish,Humanities,3771,0.555,1,1,7508,3.465,27,1,1,3.65,0,-2.445
S201300027,2013,0,F,0,Black,PA,INST_04,Regional College D (Teaching),teaching,2.2,47,1995,Art History,Humanities,5368,0.789,1,0,0,2.615,33,0,0,,0,-2.211
S201300028,2013,0,F,0,White,NJ,INST_01,State University A (Research),research,2.88,78,1995,Education,Other,7637,1.123,1,1,4609,3.19,32,1,0,,0,-1.877
S201300029,2013,0,F,0,Multi,NC,INST_02,State University B (Research),research,2.77,34,1995,Statistics,STEM,14062,2.068,1,1,5502,2.6,26,1,0,,0,-0.932
