student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category,efc_dollars,need_index,eligible_flag,aid_received,annual_aid_amount,y1_gpa_mean,y1_credits,y2_retained,y6_completed,cumulative_gpa_final,above_cutoff,distance_from_cutoff
S201800001,2018,0,F,0,Black,PA,INST_01,State University A (Research),research,3.21,99,2000,Marketing,Business,18293,2.69,1,0,0,2.9,28,1,0,,0,-0.31
S201800002,2018,0,F,1,Black,TX,INST_04,Regional College D (Teaching),teaching,3.39,58,2000,Kinesiology,Health,8635,1.27,1,0,0,3.565,28,1,0,,0,-1.73
S201800003,2018,1,F,1,White,GA,INST_02,State University B (Research),research,3.9,46,2000,Biology,STEM,0,0.1,1,1,4935,3.9450000000000003,25,0,0,,0,-2.9
S201800004,2018,1,M,0,NHPI,TX,INST_01,State University A (Research),research,4.0,81,2000,Statistics,STEM,1649,0.242,1,1,5828,3.935,30,1,1,3.81,0,-2.758
S201800005,2018,0,M,0,Hispanic,IL,INST_02,State University B (Research),research,3.95,99,2000,Pre-Med,Health,35288,5.189,0,0,0,3.565,30,0,0,,1,2.189
S201800006,2018,1,F,1,Black,MI,INST_01,State University A (Research),research,3.04,34,2000,Psychology,Social Sciences,8077,1.188,1,1,8105,4.0,32,0,0,,0,-1.812
S201800007,2018,0,M,1,White,GA,INST_01,State University A (Research),research,2.95,35,2000,Kinesiology,Health,4881,0.718,1,0,0,2.96,31,1,1,2.89,0,-2.282
S201800008,2018,1,F,1,Hispanic,OH,INST_02,State University B (Research),research,2.55,42,2000,Marketing,Business,11816,1.738,1,1,5476,3.3600000000000003,31,0,0,,0,-1.262
S201800009,2018,0,M,0,Hispanic,VA,INST_02,State University B (Research),research,3.38,50,2000,Mechanical Engineering,STEM,11461,1.685,1,0,0,3.105,28,0,0,,0,-1.315
S201800010,2018,0,F,0,White,IL,INST_01,State University A (Research),research,3.1,53,2000,Chemistry,STEM,1627,0.239,1,1,3870,3.0949999999999998,24,1,1,3.03,0,-2.761
S201800011,2018,0,M,1,White,OH,INST_04,Regional College D (Teaching),teaching,2.78,66,2000,Nursing,Health,17969,2.642,1,0,0,3.0,32,1,0,,0,-0.358
S201800012,2018,0,M,0,White,NC,INST_01,State University A (Research),research,2.57,29,2000,Biomedical Engineering,STEM,14012,2.061,1,1,5774,3.5549999999999997,28,1,0,,0,-0.939
S201800013,2018,1,F,1,White,TX,INST_01,State University A (Research),research,3.06,46,2000,Statistics,STEM,0,0.1,1,0,0,3.04,28,1,0,,0,-2.9
S201800014,2018,0,M,1,White,MI,INST_04,Regional College D (Teaching),teaching,3.06,66,2000,Management,Business,8168,1.201,1,1,5846,3.27,31,0,0,,0,-1.799
S201800015,2018,0,F,0,White,CA,INST_01,State University A (Research),research,2.56,65,2000,Public Health,Health,7087,1.042,1,0,0,3.35,30,1,0,,0,-1.958
S201800016,2018,1,F,0,Hispanic,CA,INST_05,Urban University E (Research),research,3.1,90,2000,Biology,STEM,2825,0.415,1,1,5028,3.9,32,0,0,,0,-2.585
S201800017,2018,1,F,0,Hispanic,VA,INST_05,Urban University E (Research),research,2.6,32,2000,Marketing,Business,6504,0.956,1,1,4463,3.52,28,0,0,,0,-2.044
S201800018,2018,1,F,0,Asian,GA,INST_04,Regional College D (Teaching),teaching,3.79,68,2000,Finance,Business,5839,0.859,1,1,6925,3.3600000000000003,29,1,1,3.38,0,-2.141
S201800019,2018,1,M,0,White,VA,INST_04,Regional College D (Teaching),teaching,2.7,46,2000,Anthropology,Social Sciences,11727,1.725,1,0,0,3.475,32,1,0,,0,-1.275
S201800020,2018,0,F,1,Black,GA,INST_04,Regional College D (Teaching),teaching,4.0,42,2000,Public Health,Health,6844,1.006,1,0,0,2.745,30,1,0,,0,-1.994
S201800021,2018,1,F,0,Hispanic,NY,INST_05,Urban University E (Research),research,3.62,46,2000,Public Health,Health,13169,1.937,1,1,6570,2.815,24,1,0,,0,-1.063
S201800022,2018,0,M,0,White,FL,INST_05,Urban University E (Research),research,2.29,60,2000,Statistics,STEM,19589,2.881,1,1,4659,3.44,27,0,0,,0,-0.119
S201800023,2018,0,M,0,White,OH,INST_03,Regional College C (Teaching),teaching,2.44,71,2000,Anthropology,Social Sciences,11194,1.646,1,1,7165,3.025,29,1,1,2.79,0,-1.354
S201800024,2018,0,M,0,White,TX,INST_03,Regional College C (Teaching),teaching,3.6,51,2000,Mechanical Engineering,STEM,330,0.1,1,0,0,3.335,28,0,0,,0,-2.9
S201800025,2018,0,F,0,White,MI,INST_02,State University B (Research),research,2.99,54,2000,Communications,Other,14302,2.103,1,1,7286,3.415,27,0,0,,0,-0.897
S201800026,2018,1,M,0,White,IL,INST_01,State University A (Research),research,3.55,57,2000,Mathematics,STEM,7544,1.109,1,1,8281,3.6950000000000003,32,1,1,3.81,0,-1.891
S201800027,2018,0,M,0,Black,FL,INST_02,State University B (Research),research,3.21,45,2000,History,Humanities,6770,0.996,1,1,5063,3.585,32,1,0,,0,-2.004
S201800028,2018,0,F,0,Black,MI,INST_01,State University A (Research),research,3.49,42,2000,Mechanical Engineering,STEM,13653,2.008,1,1,3037,3.94,27,0,0,,0,-0.992
S201800029,2018,0,F,1,White,FL,INST_05,Urban University E (Research),research,2.82,78,2000,Political Science,Social Sciences,0,0.1,1,1,7429,3.8449999999999998,30,1,1,3.8,0,-2.9
S201800030,2018,1,F,0,Black,TX,INST_03,Regional College C (Teaching),teaching,3.55,84,2000,Pre-Med,Health,0,0.1,1,1,5218,3.77,27,1,0,,0,-2.9
S201800031,2018,1,F,0,Black,MI,INST_05,Urban University E (Research),research,2.69,44,2000,Psychology,Social Sciences,14843,2.183,1,0,0,2.63,33,1,1,2.75,0,-0.817
S201800032,2018,1,NB,1,White,CA,INST_05,Urban University E (Research),research,2.59,48,2000,Pre-Med,Health,4243,0.624,1,0,0,3.215,28,1,0,,0,-2.376
S201800033,2018,0,F,0,Asian,MI,INST_05,Urban University E (Research),research,3.46,54,2000,Communications,Other,12756,1.876,1,1,7523,3.595,28,0,0,,0,-1.124
S201800034,2018,0,M,1,Hispanic,CA,INST_02,State University B (Research),research,3.38,85,2000,Accounting,Business,10457,1.538,1,1,5073,3.335,28,1,0,,0,-1.462
S201800035,2018,1,M,0,Asian,GA,INST_04,Regional College D (Teaching),teaching,2.39,66,2000,Mechanical Engineering,STEM,11603,1.706,1,1,6440,3.45,32,1,0,,0,-1.294
S201800036,2018,1,F,0,Multi,GA,INST_03,Regional College C (Teaching),teaching,3.14,29,2000,Pre-Med,Health,12977,1.908,1,1,7158,3.385,27,1,0,,0,-1.092
S201800037,2018,0,M,0,Black,CA,INST_03,Regional College C (Teaching),teaching,3.71,69,2000,Sociology,Social Sciences,11648,1.713,1,0,0,3.105,31,1,1,2.91,0,-1.287
S201800038,2018,0,F,0,Hispanic,GA,INST_02,State University B (Research),research,3.34,42,2000,Civil Engineering,STEM,7136,1.049,1,0,0,2.5149999999999997,33,0,0,,0,-1.951
S201800039,2018,0,F,0,Hispanic,GA,INST_01,State University A (Research),research,2.85,67,2000,Mechanical Engineering,STEM,18133,2.667,1,1,6310,3.24,31,0,0,,0,-0.333
