student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category,efc_dollars,need_index,eligible_flag,aid_received,annual_aid_amount,y1_gpa_mean,y1_credits,y2_retained,y6_completed,cumulative_gpa_final,above_cutoff,distance_from_cutoff
S201500001,2015,0,M,0,Black,GA,INST_02,State University B (Research),research,3.71,83,1997,Electrical Engineering,STEM,19617,2.885,1,1,6183,3.83,34,1,0,,0,-0.115
S201500002,2015,1,F,0,White,NC,INST_01,State University A (Research),research,3.36,63,1997,Economics,Social Sciences,7036,1.035,1,1,5216,3.585,31,1,1,3.98,0,-1.965
S201500003,2015,0,M,0,White,CA,INST_03,Regional College C (Teaching),teaching,2.55,60,1997,Accounting,Business,11726,1.724,1,0,0,2.33,31,0,0,,0,-1.276
S201500004,2015,0,F,0,Multi,NC,INST_02,State University B (Research),research,2.88,61,1997,Pre-Med,Health,11340,1.668,1,1,6394,2.7350000000000003,34,0,0,,0,-1.332
S201500005,2015,0,M,0,Hispanic,TX,INST_04,Regional College D (Teaching),teaching,3.41,57,1997,Art History,Humanities,20953,3.081,0,0,0,2.77,30,0,0,,1,0.081
S201500006,2015,0,M,0,White,NC,INST_02,State University B (Research),research,2.83,48,1997,Statistics,STEM,11536,1.696,1,1,6266,2.8150000000000004,30,1,0,,0,-1.304
S201500007,2015,1,F,1,White,PA,INST_04,Regional College D (Teaching),teaching,2.67,48,1997,Education,Other,11614,1.708,1,1,5137,3.5,26,1,1,3.96,0,-1.292
S201500008,2015,0,M,0,White,CA,INST_03,Regional College C (Teaching),teaching,3.03,47,1997,Economics,Social Sciences,5367,0.789,1,1,6710,3.3,27,1,1,3.65,0,-2.211
S201500009,2015,1,M,0,Black,GA,INST_05,Urban University E (Research),research,2.96,28,1997,Biomedical Engineering,STEM,8028,1.181,1,0,0,3.5549999999999997,28,1,0,,0,-1.819
S201500010,2015,0,F,1,White,NY,INST_04,Regional College D (Teaching),teaching,1.97,52,1997,Political Science,Social Sciences,4148,0.61,1,0,0,3.3899999999999997,28,1,1,3.95,0,-2.39
S201500011,2015,0,F,0,White,IL,INST_01,State University A (Research),research,2.74,66,1997,Psychology,Social Sciences,580,0.1,1,1,8234,3.525,31,0,0,,0,-2.9
S201500012,2015,1,F,1,Asian,NC,INST_04,Regional College D (Teaching),teaching,2.45,40,1997,Management,Business,17329,2.548,1,0,0,3.7800000000000002,28,0,0,,0,-0.452
S201500013,2015,0,M,0,Black,FL,INST_01,State University A (Research),research,3.55,48,1997,Biology,STEM,6667,0.98,1,1,4925,3.8049999999999997,30,1,0,,0,-2.02
S201500014,2015,0,M,1,NHPI,VA,INST_02,State University B (Research),research,3.22,50,1997,Education,Other,8552,1.258,1,1,5766,2.93,31,0,0,,0,-1.742
S201500015,2015,1,F,1,White,NJ,INST_05,Urban University E (Research),research,4.0,66,1997,Biology,STEM,10671,1.569,1,1,5878,3.9050000000000002,25,1,1,3.98,0,-1.431
S201500016,2015,0,M,1,Hispanic,FL,INST_04,Regional College D (Teaching),teaching,2.87,44,1997,Marketing,Business,3678,0.541,1,0,0,3.315,30,1,0,,0,-2.459
S201500017,2015,0,M,0,White,TX,INST_01,State University A (Research),research,2.49,30,1997,Undeclared,Other,12717,1.87,1,1,3434,3.455,27,1,0,,0,-1.13
S201500018,2015,0,F,0,White,NY,INST_05,Urban University E (Research),research,3.63,47,1997,Mathematics,STEM,18239,2.682,1,0,0,3.855,31,1,1,4.0,0,-0.318
S201500019,2015,1,M,1,White,PA,INST_03,Regional College C (Teaching),teaching,2.65,46,1997,Economics-Bus,Business,729,0.107,1,1,5364,3.5,28,0,0,,0,-2.893
S201500020,2015,0,M,0,White,FL,INST_01,State University A (Research),research,3.43,20,1997,Chemistry,STEM,12731,1.872,1,0,0,2.565,28,1,0,,0,-1.128
S201500021,2015,1,M,0,Hispanic,PA,INST_03,Regional College C (Teaching),teaching,2.99,60,1997,Computer Science,STEM,16536,2.432,1,1,8473,3.635,33,0,0,,0,-0.568
S201500022,2015,1,F,0,White,NJ,INST_04,Regional College D (Teaching),teaching,3.28,45,1997,Mechanical Engineering,STEM,15340,2.256,1,1,6013,3.745,30,1,0,,0,-0.744
S201500023,2015,0,M,0,White,OH,INST_04,Regional College D (Teaching),teaching,4.0,65,1996,Electrical Engineering,STEM,12917,1.9,1,0,0,3.83,31,1,1,3.91,0,-1.1
S201500024,2015,1,M,0,Multi,MI,INST_05,Urban University E (Research),research,2.95,78,1997,Political Science,Social Sciences,17467,2.569,1,0,0,2.525,28,0,0,,0,-0.431
S201500025,2015,0,M,1,White,TX,INST_03,Regional College C (Teaching),teaching,3.12,48,1997,Mathematics,STEM,11375,1.673,1,1,8840,3.415,30,1,1,3.9,0,-1.327
S201500026,2015,0,F,1,White,TX,INST_02,State University B (Research),research,3.57,43,1997,Pre-Med,Health,14912,2.193,1,1,6058,3.0,30,1,1,3.07,0,-0.807
