student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category,efc_dollars,need_index,eligible_flag,aid_received,annual_aid_amount,y1_gpa_mean,y1_credits,y2_retained,y6_completed,cumulative_gpa_final,above_cutoff,distance_from_cutoff
S201300002,2013,0,F,0,Hispanic,PA,INST_05,Urban University E (Research),research,3.95,73,1995,Accounting,Business,20138,2.961,1,1,4522,3.99,31,1,0,,0,-0.039
S201300007,2013,0,F,0,White,VA,INST_02,State University B (Research),research,2.89,52,1995,Computer Science,STEM,18876,2.776,1,1,4152,3.615,28,0,0,,0,-0.224
S201300011,2013,0,M,0,White,IL,INST_02,State University B (Research),research,3.57,62,1995,Physics,STEM,16708,2.457,1,0,0,3.415,25,1,1,3.85,0,-0.543
S201300025,2013,0,M,1,White,GA,INST_04,Regional College D (Teaching),teaching,4.0,85,1995,Computer Science,STEM,21064,3.098,0,0,0,3.29,29,0,0,,1,0.098
S201300032,2013,0,F,1,Asian,NJ,INST_05,Urban University E (Research),research,3.09,38,1995,History,Humanities,15255,2.243,1,1,7565,3.54,28,0,0,,0,-0.757
S201300034,2013,0,F,0,Black,GA,INST_05,Urban University E (Research),research,3.36,53,1995,Sociology,Social Sciences,16182,2.38,1,1,5231,3.64,28,0,0,,0,-0.62
S201300037,2013,0,M,0,Black,NY,INST_05,Urban University E (Research),research,2.87,74,1995,Economics-Bus,Business,23336,3.432,0,0,0,3.37,32,1,1,3.63,1,0.432
S201300041,2013,0,M,0,White,IL,INST_02,State University B (Research),research,3.08,87,1995,Nursing,Health,15965,2.348,1,0,0,3.3449999999999998,30,1,0,,0,-0.652
S201300044,2013,0,M,0,White,NC,INST_02,State University B (Research),research,3.33,51,1995,Pre-Med,Health,15686,2.307,1,1,7378,3.78,31,1,0,,0,-0.693
S201300048,2013,0,F,0,White,IL,INST_02,State University B (Research),research,3.26,23,1995,Marketing,Business,15278,2.247,1,0,0,2.515,28,0,0,,0,-0.753
S201300050,2013,1,M,0,White,GA,INST_02,State University B (Research),research,3.54,58,1995,Economics-Bus,Business,18674,2.746,1,1,5446,3.71,31,1,0,,0,-0.254
S201300051,2013,0,M,1,Hispanic,IL,INST_01,State University A (Research),research,2.96,71,1995,Undeclared,Other,19152,2.816,1,0,0,2.9850000000000003,30,1,1,3.6,0,-0.184
S201300053,2013,0,F,0,White,OH,INST_03,Regional College C (Teaching),teaching,3.42,67,1995,Philosophy,Humanities,15691,2.308,1,1,6527,2.535,32,1,0,,0,-0.692
