graduate_id	risk_score	eligible_z	enrolled_d
G2018000000	9.946	0	0
G2018000013	53.925	0	0
G2018000016	11.771	0	0
G2018000017	57.591	0	0
G2018000020	33.892	0	0
G2018000025	30.722	0	0
G2018000028	50.355	0	0
G2018000034	14.211	0	1
G2018000039	21.281	0	0
G2018000042	27.762	0	0
G2018000046	12.77	0	0
G2018000055	25.011	0	0
G2018000058	66.473	0	0
G2018000060	35.459	0	0
G2018000061	5.216	0	0
G2018000069	35.877	0	1
G2018000072	70.845	0	0
G2018000073	44.101	0	0
G2018000074	24.521	0	0
G2018000076	11.715	0	1
G2018000080	32.35	0	0
G2018000088	22.482	0	0
G2018000090	29.399	0	1
G2018000096	6.963	0	0
G2018000101	23.266	0	0
G2018000112	13.847	0	1
G2018000115	19.713	0	1
G2018000123	36.579	0	0
G2018000130	7.626	0	0
G2018000132	38.81	0	1
G2018000134	18.011	0	1
G2018000137	40.211	0	0
G2018000142	7.353	0	0
G2018000151	41.74	0	0
G2018000163	16.121	0	0
G2018000168	34.683	0	0
G2018000171	18.786	0	1
G2018000172	26.383	0	0
G2018000174	13.973	0	0
G2018000185	27.528	0	0
G2018000186	25.924	0	0
G2018000188	27.185	0	0
G2018000194	12.988	0	0
G2018000198	11.951	0	0
G2018000203	22.879	0	1
G2018000207	15.028	0	0
G2018000208	45.845	0	1
G2018000209	13.609	0	1
G2018000210	14.718	0	0
G2018000211	66.345	0	0
G2018000215	37.868	0	0
G2018000216	36.838	0	0
G2018000220	22.515	0	1
G2018000221	40.314	0	0
G2018000230	12.822	0	0
G2018000241	10.677	0	1
G2018000243	44.784	0	0
G2018000245	49.121	0	0
G2018000246	28.211	0	0
G2018000248	48.917	0	0
G2018000250	29.03	0	0
G2018000253	10.395	0	1
G2018000256	30.18	0	0
G2018000263	17.506	0	1
G2018000266	17.003	0	0
G2018000274	46.381	0	0
G2018000276	43.587	0	0
G2018000280	50.76	0	0
G2018000288	28.603	0	0
G2018000294	52.237	0	0
G2018000300	6.876	0	0
G2018000305	6.061	0	0
G2018000321	14.132	0	0
G2018000324	17.174	0	1
G2018000325	14.373	0	0
G2018000328	4.83	0	0
G2018000331	21.774	0	0
G2018000342	32.192	0	1
G2018000343	9.024	0	0
G2018000348	12.581	0	0
G2018000351	21.46	0	0
G2018000359	34.239	0	0
G2018000366	43.715	0	0
G2018000368	33.34	0	0
G2018000379	42.085	0	0
G2018000389	55.681	0	1
G2018000392	18.669	0	0
G2018000401	39.944	0	1
G2018000403	70.392	0	0
G2018000409	7.523	0	0
G2018000414	53.435	0	0
G2018000418	38.175	0	0
G2018000421	18.719	0	0
G2018000424	25.183	0	0
G2018000430	35.471	0	0
G2018000438	42.742	0	1
G2018000439	12.706	0	1
G2018000443	9.36	0	0
G2018000445	48.838	0	0
G2018000450	33.506	0	0
G2018000463	39.417	0	0
G2018000473	12.697	0	1
G2018000474	16.229	0	0
G2018000485	49.248	0	0
G2018000486	27.279	0	0
G2018000494	25.47	0	0
G2018000495	39.816	0	0
G2018000496	35.97	0	0
G2018000502	38.171	0	0
G2018000509	30.029	0	0
G2018000511	43.801	0	0
G2018000512	26.496	0	0
G2018000513	25.027	0	0
G2018000516	13.7	0	0
G2018000518	14.56	0	0
G2018000521	36.615	0	0
G2018000524	55.82	0	0
G2018000537	16.986	0	1
G2018000541	11.502	0	0
G2018000542	42.55	0	0
G2018000543	39.487	0	1
G2018000547	29.341	0	0
G2018000553	37.21	0	0
G2018000556	41.173	0	0
G2018000563	23.971	0	0
G2018000570	31.366	0	0
G2018000575	14.173	0	1
G2018000585	29.387	0	0
G2018000586	21.861	0	1
G2018000589	21.474	0	0
G2018000590	4.895	0	0
G2018000606	13.461	0	0
G2018000623	16.747	0	0
G2018000636	22.319	0	0
G2018000642	24.948	0	0
G2018000646	26.895	0	0
G2018000658	8.148	0	0
G2018000660	38.044	0	0
G2018000662	62.236	0	0
G2018000663	23.776	0	1
G2018000665	35.371	0	0
G2018000677	8.301	0	0
G2018000695	48.803	0	0
G2018000705	19.025	0	1
G2018000724	24.655	0	1
G2018000725	17.58	0	0
G2018000726	12.73	0	0
G2018000730	28.682	0	0
G2018000733	17.996	0	0
G2018000735	56.209	0	0
G2018000736	12.691	0	0
G2018000743	30.61	0	0
G2018000747	13.263	0	0
G2018000752	10.299	0	0
G2018000758	11.58	0	0
G2018000760	2.855	0	0
G2018000765	31.016	0	0
G2018000773	38.273	0	0
G2018000775	46.976	0	0
G2018000776	28.694	0	0
G2018000780	14.821	0	0
G2018000781	41.155	0	0
G2018000784	5.205	0	0
G2018000789	23.741	0	0
G2018000793	28.734	0	0
G2018000798	29.483	0	0
G2018000799	36.688	0	0
G2018000812	48.763	0	1
G2018000814	36.637	0	0
G2018000821	36.24	0	0
G2018000823	46.926	0	0
G2018000825	66.915	0	0
G2018000830	19.663	0	0
G2018000831	12.038	0	0
G2018000837	9.174	0	0
G2018000842	28.59	0	0
G2018000852	21.294	0	0
G2018000857	54.297	0	0
G2018000863	0.59	0	0
G2018000866	34.431	0	1
G2018000868	22.255	0	0
G2018000871	41.361	0	0
G2018000873	21.725	0	0
G2018000876	21.708	0	1
G2018000879	39.588	0	1
G2018000882	19.49	0	0
G2018000885	26.702	0	0
G2018000887	13.297	0	0
G2018000888	14.9	0	0
G2018000890	31.772	0	0
