graduate_id,institution_id,cohort_year,field_of_study,cum_gpa,first_gen,rural_origin
G2018000000,U01,2021,EDU,3.145,1,0
G2018000013,U07,2021,SOC,2.853,0,0
G2018000016,U01,2021,STEM,2.484,1,0
G2018000017,U02,2021,STEM,3.063,1,0
G2018000020,U01,2021,HLT,3.63,0,1
G2018000025,U03,2021,BUS,3.237,0,0
G2018000028,U02,2021,STEM,3.478,0,0
G2018000034,U02,2021,STEM,3.084,1,1
G2018000039,U05,2021,STEM,3.35,0,0
G2018000042,U03,2021,STEM,3.172,0,0
G2018000046,U06,2021,STEM,2.532,1,0
G2018000055,U05,2021,STEM,3.454,0,0
G2018000058,U08,2021,BUS,2.899,0,1
G2018000060,U06,2021,SOC,2.515,0,0
G2018000061,U05,2021,HLT,2.93,0,0
G2018000069,U03,2021,STEM,2.614,0,0
G2018000072,U02,2021,EDU,2.963,0,0
G2018000073,U05,2021,STEM,2.354,0,0
G2018000074,U06,2021,EDU,3.025,1,0
G2018000076,U04,2021,STEM,2.352,1,0
G2018000080,U03,2021,STEM,3.069,1,1
G2018000088,U01,2021,STEM,3.279,0,1
G2018000090,U05,2021,SOC,2.792,0,0
G2018000096,U08,2021,BUS,3.539,1,0
G2018000101,U03,2021,HLT,3.089,1,0
G2018000112,U04,2021,EDU,4.0,1,1
G2018000115,U05,2021,STEM,3.055,1,0
G2018000123,U02,2021,HUM,2.583,0,0
G2018000130,U08,2021,BUS,2.726,0,0
G2018000132,U02,2021,SOC,2.884,1,1
G2018000134,U08,2021,SOC,2.953,0,1
G2018000137,U07,2021,BUS,3.315,0,0
G2018000142,U03,2021,SOC,3.488,0,0
G2018000151,U05,2021,EDU,2.658,0,0
G2018000163,U02,2021,STEM,2.88,0,0
G2018000168,U03,2021,STEM,2.815,0,0
G2018000171,U06,2021,BUS,3.323,1,1
G2018000172,U06,2021,STEM,3.334,1,0
G2018000174,U08,2021,STEM,2.621,0,0
G2018000185,U07,2021,SOC,3.06,0,0
G2018000186,U02,2021,BUS,2.292,0,0
G2018000188,U05,2021,SOC,3.594,1,0
G2018000194,U02,2021,STEM,3.697,0,0
G2018000198,U01,2021,EDU,2.474,0,1
G2018000203,U05,2021,STEM,2.822,1,0
G2018000207,U05,2021,SOC,3.971,1,0
G2018000208,U05,2021,HLT,2.857,0,0
G2018000209,U08,2021,STEM,2.606,0,1
G2018000210,U02,2021,STEM,2.998,1,0
G2018000211,U05,2021,HLT,2.977,1,0
G2018000215,U04,2021,BUS,2.626,0,1
G2018000216,U02,2021,HUM,2.516,1,0
G2018000220,U06,2021,HUM,3.191,0,1
G2018000221,U07,2021,STEM,2.453,0,0
G2018000230,U05,2021,STEM,2.336,0,0
G2018000241,U08,2021,STEM,2.823,1,0
G2018000243,U03,2021,SOC,3.527,1,0
G2018000245,U08,2021,SOC,3.216,0,0
G2018000246,U08,2021,STEM,3.202,1,1
G2018000248,U08,2021,BUS,3.086,0,0
G2018000250,U04,2021,STEM,3.024,0,0
G2018000253,U08,2021,BUS,3.299,0,0
G2018000256,U02,2021,STEM,3.819,0,0
G2018000263,U05,2021,STEM,3.195,1,0
G2018000266,U02,2021,HUM,2.49,0,0
G2018000274,U02,2021,STEM,3.416,0,0
G2018000276,U04,2021,SOC,3.518,0,0
G2018000280,U04,2021,HUM,2.873,0,0
G2018000288,U04,2021,BUS,3.452,1,0
G2018000294,U03,2021,HUM,2.716,1,0
G2018000300,U03,2021,HLT,3.837,0,0
G2018000305,U02,2021,BUS,2.849,0,0
G2018000321,U05,2021,EDU,3.402,1,0
G2018000324,U05,2021,STEM,3.036,0,0
G2018000325,U05,2021,HLT,3.576,0,0
G2018000328,U05,2021,EDU,2.983,1,0
G2018000331,U06,2021,HLT,3.795,1,0
G2018000342,U04,2021,BUS,3.025,1,0
G2018000343,U06,2021,STEM,2.951,0,1
G2018000348,U06,2021,HUM,3.346,1,0
G2018000351,U04,2021,HLT,3.269,0,0
G2018000359,U06,2021,SOC,2.178,0,1
G2018000366,U07,2021,STEM,2.968,1,1
G2018000368,U04,2021,HLT,2.95,1,1
G2018000379,U03,2021,HUM,2.757,0,0
G2018000389,U06,2021,HUM,3.712,0,0
G2018000392,U02,2021,SOC,3.187,0,0
G2018000401,U07,2021,STEM,2.648,0,0
G2018000403,U01,2021,BUS,3.042,1,0
G2018000409,U03,2021,HUM,3.653,0,1
G2018000414,U03,2021,HUM,3.817,0,0
G2018000418,U08,2021,SOC,3.469,0,0
G2018000421,U07,2021,STEM,3.203,1,1
G2018000424,U01,2021,STEM,2.048,0,0
G2018000430,U05,2021,STEM,2.955,1,0
G2018000438,U06,2021,STEM,2.562,0,0
G2018000439,U06,2021,SOC,3.091,1,0
G2018000443,U07,2021,BUS,3.073,0,0
G2018000445,U08,2021,STEM,3.104,0,0
G2018000450,U07,2021,STEM,3.329,0,0
G2018000463,U05,2021,STEM,2.844,0,1
G2018000473,U04,2021,BUS,2.632,0,0
G2018000474,U08,2021,SOC,2.983,0,0
G2018000485,U01,2021,HLT,3.382,0,0
G2018000486,U03,2021,STEM,2.318,0,0
G2018000494,U01,2021,HUM,3.157,0,0
G2018000495,U06,2021,BUS,3.272,0,1
G2018000496,U01,2021,BUS,2.83,0,0
G2018000502,U01,2021,STEM,2.937,0,0
G2018000509,U04,2021,BUS,3.15,0,1
G2018000511,U03,2021,STEM,3.128,1,0
G2018000512,U03,2021,HLT,3.654,1,0
G2018000513,U04,2021,STEM,3.722,0,0
G2018000516,U06,2021,BUS,3.309,0,0
G2018000518,U05,2021,STEM,2.516,0,1
G2018000521,U01,2021,SOC,2.507,0,0
G2018000524,U04,2021,SOC,3.717,1,1
G2018000537,U01,2021,STEM,3.023,0,0
G2018000541,U03,2021,HUM,3.496,1,0
G2018000542,U01,2021,STEM,2.605,1,0
G2018000543,U07,2021,BUS,2.937,0,0
G2018000547,U06,2021,SOC,3.327,1,1
G2018000553,U03,2021,SOC,3.624,1,0
G2018000556,U03,2021,STEM,3.199,0,0
G2018000563,U05,2021,STEM,3.372,0,0
G2018000570,U03,2021,EDU,2.977,0,0
G2018000575,U07,2021,STEM,2.882,0,0
G2018000585,U02,2021,STEM,3.34,1,0
G2018000586,U08,2021,STEM,3.559,0,0
G2018000589,U01,2021,STEM,3.122,0,0
G2018000590,U05,2021,EDU,2.876,1,0
G2018000606,U03,2021,BUS,3.255,1,0
G2018000623,U02,2021,SOC,3.081,0,0
G2018000636,U01,2021,SOC,3.768,1,0
G2018000642,U02,2021,BUS,3.211,0,0
G2018000646,U08,2021,STEM,3.108,0,0
G2018000658,U01,2021,STEM,2.968,0,0
G2018000660,U03,2021,STEM,3.066,0,0
G2018000662,U07,2021,STEM,2.614,0,0
G2018000663,U02,2021,HUM,3.349,0,0
G2018000665,U05,2021,SOC,3.764,1,0
G2018000677,U05,2021,BUS,2.763,0,0
G2018000695,U07,2021,SOC,2.872,0,0
G2018000705,U01,2021,STEM,2.525,0,1
G2018000724,U07,2021,BUS,3.343,0,0
G2018000725,U08,2021,HLT,3.094,0,0
G2018000726,U03,2021,BUS,2.747,0,0
G2018000730,U04,2021,STEM,2.317,0,0
G2018000733,U06,2021,SOC,3.378,0,0
G2018000735,U06,2021,BUS,2.977,0,0
G2018000736,U02,2021,SOC,2.633,0,0
G2018000743,U02,2021,HLT,2.815,0,0
G2018000747,U04,2021,SOC,2.51,1,0
G2018000752,U02,2021,EDU,2.392,0,0
G2018000758,U01,2021,SOC,2.372,0,0
G2018000760,U03,2021,STEM,3.355,0,0
G2018000765,U06,2021,HLT,1.984,1,0
G2018000773,U07,2021,STEM,2.652,1,0
G2018000775,U06,2021,STEM,3.577,0,0
G2018000776,U07,2021,STEM,2.754,0,0
G2018000780,U02,2021,BUS,2.855,1,0
G2018000781,U01,2021,STEM,3.154,0,0
G2018000784,U03,2021,BUS,3.864,0,1
G2018000789,U07,2021,SOC,3.674,0,1
G2018000793,U05,2021,EDU,2.975,1,0
G2018000798,U02,2021,SOC,3.341,0,0
G2018000799,U07,2021,SOC,3.776,0,0
G2018000812,U05,2021,SOC,2.957,0,0
G2018000814,U01,2021,STEM,3.117,0,0
G2018000821,U01,2021,SOC,4.0,0,0
G2018000823,U07,2021,STEM,2.209,0,0
G2018000825,U03,2021,SOC,3.387,0,1
G2018000830,U04,2021,BUS,2.599,0,1
G2018000831,U08,2021,SOC,3.034,0,1
G2018000837,U04,2021,HUM,3.285,0,0
G2018000842,U02,2021,HLT,3.577,0,0
G2018000852,U02,2021,STEM,2.951,0,0
G2018000857,U01,2021,STEM,2.995,1,0
G2018000863,U04,2021,BUS,3.235,0,0
G2018000866,U03,2021,EDU,2.645,0,0
G2018000868,U08,2021,STEM,3.103,1,1
G2018000871,U07,2021,HUM,2.571,1,0
G2018000873,U08,2021,BUS,3.275,0,0
G2018000876,U02,2021,SOC,3.241,0,1
G2018000879,U03,2021,SOC,2.322,0,1
G2018000882,U05,2021,STEM,3.421,0,0
G2018000885,U02,2021,HUM,3.377,0,0
G2018000887,U07,2021,STEM,3.449,1,1
G2018000888,U08,2021,HLT,1.986,1,0
G2018000890,U01,2021,HLT,2.507,1,0
G2018000897,U07,2021,STEM,3.063,0,0
G2018000898,U04,2021,STEM,2.626,1,0
G2018000902,U06,2021,STEM,3.807,1,1
G2018000903,U08,2021,STEM,3.127,1,1
G2018000905,U06,2021,STEM,2.94,0,0
G2018000906,U07,2021,STEM,3.031,1,0
G2018000918,U01,2021,SOC,3.767,0,0
G2018000921,U04,2021,SOC,3.513,0,0
G2018000922,U07,2021,BUS,3.341,0,0
G2018000925,U06,2021,BUS,2.608,0,0
G2018000928,U06,2021,SOC,3.342,0,0
G2018000941,U03,2021,STEM,3.23,1,0
G2018000945,U08,2021,HUM,3.423,1,0
G2018000951,U03,2021,STEM,3.17,0,0
G2018000957,U08,2021,SOC,2.751,1,0
G2018000961,U05,2021,SOC,3.132,1,0
G2018000967,U07,2021,STEM,2.611,0,0
G2018000972,U01,2021,SOC,3.276,0,0
G2018000973,U03,2021,STEM,3.733,0,1
G2018000990,U06,2021,HLT,3.12,1,0
G2018000994,U07,2021,EDU,2.372,0,0
G2018000998,U01,2021,SOC,3.251,1,1
G2018001000,U01,2021,BUS,2.818,0,0
G2018001007,U02,2021,BUS,3.029,0,0
G2018001009,U02,2021,HUM,2.402,0,0
G2018001016,U02,2021,SOC,3.016,1,1
G2018001019,U07,2021,HLT,2.659,0,0
G2018001021,U02,2021,BUS,2.947,1,0
G2018001023,U04,2021,BUS,3.578,0,1
G2018001026,U05,2021,EDU,3.106,0,1
G2018001028,U05,2021,STEM,3.242,0,0
G2018001030,U08,2021,HLT,3.41,1,0
G2018001042,U08,2021,STEM,3.859,0,0
G2018001043,U05,2021,HUM,2.979,0,0
G2018001044,U04,2021,STEM,3.454,0,0
G2018001049,U08,2021,BUS,3.675,0,0
G2018001052,U01,2021,STEM,3.816,1,0
G2018001059,U08,2021,BUS,3.532,1,0
G2018001062,U04,2021,STEM,3.095,0,0
G2018001064,U04,2021,HUM,3.584,0,0
G2018001065,U02,2021,HLT,2.595,0,0
G2018001068,U03,2021,HLT,2.859,0,0
G2018001076,U04,2021,HLT,3.607,0,0
G2018001092,U08,2021,SOC,3.52,0,0
G2018001098,U08,2021,EDU,2.858,1,0
G2018001103,U08,2021,SOC,2.753,0,0
G2018001104,U08,2021,BUS,2.758,0,0
G2018001128,U05,2021,BUS,2.56,0,0
G2018001130,U07,2021,HLT,2.506,1,0
G2018001136,U01,2021,SOC,2.719,0,0
G2018001137,U07,2021,BUS,3.845,0,0
G2018001138,U03,2021,SOC,2.224,0,1
G2018001139,U03,2021,STEM,3.127,1,0
G2018001142,U08,2021,BUS,3.155,1,1
G2018001143,U04,2021,STEM,2.188,0,0
G2018001144,U06,2021,EDU,2.514,1,0
G2018001145,U08,2021,HLT,3.063,1,1
G2018001146,U08,2021,SOC,3.331,0,0
G2018001147,U08,2021,SOC,2.577,0,0
G2018001151,U07,2021,HLT,3.086,0,0
G2018001157,U03,2021,HLT,3.217,1,0
G2018001168,U05,2021,BUS,3.514,1,0
G2018001169,U05,2021,SOC,3.248,0,0
G2018001170,U04,2021,EDU,2.958,1,0
G2018001172,U06,2021,BUS,3.384,0,0
G2018001179,U01,2021,STEM,2.57,1,0
G2018001181,U08,2021,BUS,2.958,1,0
G2018001188,U06,2021,HLT,3.01,0,0
G2018001189,U08,2021,SOC,2.408,1,1
G2018001190,U05,2021,SOC,2.857,0,0
G2018001195,U06,2021,BUS,2.68,0,0
G2018001200,U02,2021,EDU,2.568,0,0
G2018001201,U06,2021,SOC,3.255,0,0
G2018001210,U01,2021,BUS,3.334,0,0
G2018001213,U02,2021,HLT,2.919,0,0
G2018001216,U02,2021,BUS,2.709,0,0
G2018001219,U03,2021,HLT,3.054,1,0
G2018001231,U04,2021,SOC,4.0,0,0
G2018001241,U03,2021,SOC,2.6,0,0
G2018001247,U05,2021,STEM,2.865,0,1
G2018001248,U05,2021,HLT,2.872,0,1
G2018001249,U06,2021,STEM,3.512,0,0
G2018001252,U08,2021,SOC,2.599,1,0
G2018001257,U02,2021,STEM,3.152,0,0
G2018001266,U07,2021,BUS,3.73,0,0
