rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
1,8264832,5000,0.15091,0.04008,7.4468,0.5066,0.20655,0.04499,13.855,16.947,0.4394,triangular,baseline,1
2,610110,5000,0.151,0.03753,8.0369,0.5958,0.17502,0.04127,12.559,18.08,0.4611,triangular,baseline,1
3,8733010,5000,0.19143,0.03939,6.8772,0.6401,0.22052,0.04346,12.697,19.405,0.4515,triangular,baseline,1
4,781705,4999,0.15839,0.03635,7.3046,0.5855,0.13802,0.04079,12.663,17.455,0.4783,triangular,baseline,1
5,1600657,5000,0.10566,0.03211,7.1261,0.6178,0.13044,0.04165,12.488,18.56,0.4834,triangular,baseline,1
6,2937302,5000,0.08446,0.03925,7.6069,0.5188,0.11417,0.04458,12.529,18.89,0.4361,triangular,baseline,1
7,4928120,5001,0.18146,0.03323,6.0481,0.5544,0.09141,0.0396,12.903,17.953,0.4555,triangular,baseline,1
8,6259831,4998,0.17956,0.03656,6.8724,0.5587,0.15354,0.04219,13.854,16.778,0.4402,triangular,baseline,1
9,4668584,5000,0.13735,0.04075,6.7255,0.5539,0.23481,0.04098,12.911,16.625,0.4694,triangular,baseline,1
10,1417442,5000,0.18717,0.03976,7.1017,0.6031,0.16962,0.03918,14.134,17.762,0.455,triangular,baseline,1
11,2998935,5000,0.18387,0.038,7.4732,0.6443,0.1511,0.04424,12.985,18.229,0.4459,triangular,baseline,1
12,4853731,4998,0.17981,0.03662,6.7102,0.6254,0.13545,0.04043,12.525,18.991,0.4401,triangular,baseline,1
13,4922084,5001,0.17614,0.0398,6.75,0.6248,0.19309,0.03958,12.1,18.5,0.4551,triangular,baseline,1
14,3257822,5001,0.19865,0.03233,7.1233,0.5906,0.15085,0.04509,13.708,16.23,0.4336,triangular,baseline,1
15,839410,5000,0.14763,0.04058,7.3212,0.5116,0.13551,0.04142,12.898,16.935,0.4629,triangular,baseline,1
16,8530564,5000,0.22553,0.04066,6.6291,0.5025,0.14143,0.04538,11.94,17.456,0.4574,triangular,baseline,1
17,6152121,4998,0.16542,0.03167,8.477,0.5063,0.14477,0.04384,13.963,17.575,0.4123,triangular,baseline,1
