student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category
S201400001,2014,0,M,1,Unknown,NJ,INST_03,Regional College C (Teaching),teaching,3.51,3,1996,Education,Other
S201400002,2014,0,M,0,White,NC,INST_02,State University B (Research),research,3.3,25,1996,Civil Engineering,STEM
S201400003,2014,0,M,0,Hispanic,NY,INST_03,Regional College C (Teaching),teaching,2.84,54,1996,General Studies,Other
S201400004,2014,0,F,0,Hispanic,NJ,INST_03,Regional College C (Teaching),teaching,3.7,36,1996,Electrical Engineering,STEM
S201400005,2014,1,F,0,Multi,NY,INST_05,Urban University E (Research),research,2.54,71,1996,Political Science,Social Sciences
S201400006,2014,0,M,1,White,FL,INST_04,Regional College D (Teaching),teaching,2.41,85,1996,Anthropology,Social Sciences
S201400007,2014,0,F,0,White,MI,INST_03,Regional College C (Teaching),teaching,3.6,38,1996,Mechanical Engineering,STEM
S201400008,2014,1,M,0,White,NC,INST_01,State University A (Research),research,3.64,62,1996,General Studies,Other
S201400009,2014,0,M,1,White,PA,INST_02,State University B (Research),research,3.51,35,1996,Electrical Engineering,STEM
S201400010,2014,0,F,0,Black,NC,INST_05,Urban University E (Research),research,4.0,79,1996,Accounting,Business
S201400011,2014,1,M,0,White,FL,INST_03,Regional College C (Teaching),teaching,3.46,41,1996,Pre-Med,Health
S201400012,2014,1,M,1,Asian,CA,INST_04,Regional College D (Teaching),teaching,3.98,66,1996,Education,Other
S201400013,2014,1,F,0,Asian,NY,INST_05,Urban University E (Research),research,3.57,45,1996,Anthropology,Social Sciences
S201400014,2014,1,M,0,Hispanic,PA,INST_03,Regional College C (Teaching),teaching,2.7,45,1996,Anthropology,Social Sciences
S201400015,2014,1,M,0,White,NY,INST_04,Regional College D (Teaching),teaching,3.39,56,1996,Mechanical Engineering,STEM
S201400016,2014,0,M,0,White,VA,INST_01,State University A (Research),research,3.67,45,1996,Nursing,Health
S201400017,2014,0,M,1,Hispanic,CA,INST_01,State University A (Research),research,2.74,53,1996,Marketing,Business
S201400018,2014,1,M,1,Unknown,GA,INST_05,Urban University E (Research),research,2.67,60,1995,Economics-Bus,Business
S201400019,2014,0,F,0,Multi,PA,INST_04,Regional College D (Teaching),teaching,2.79,56,1996,Mathematics,STEM
S201400020,2014,1,F,0,White,GA,INST_04,Regional College D (Teaching),teaching,2.93,91,1996,General Studies,Other
S201400021,2014,1,M,0,Asian,MI,INST_03,Regional College C (Teaching),teaching,3.81,57,1996,Mechanical Engineering,STEM
S201400022,2014,0,M,1,White,IL,INST_02,State University B (Research),research,3.19,64,1996,Marketing,Business
S201400023,2014,0,F,1,Asian,FL,INST_04,Regional College D (Teaching),teaching,2.69,65,1996,Nursing,Health
S201400024,2014,0,M,0,White,MI,INST_05,Urban University E (Research),research,3.57,77,1996,Philosophy,Humanities
S201400025,2014,0,F,0,Hispanic,CA,INST_04,Regional College D (Teaching),teaching,3.79,47,1996,Kinesiology,Health
S201400026,2014,0,F,0,White,VA,INST_04,Regional College D (Teaching),teaching,3.16,43,1996,Sociology,Social Sciences
S201400027,2014,0,F,0,White,GA,INST_01,State University A (Research),research,3.08,52,1996,Nursing,Health
S201400028,2014,0,F,0,White,FL,INST_03,Regional College C (Teaching),teaching,3.54,65,1996,History,Humanities
S201400029,2014,1,M,0,Hispanic,NY,INST_05,Urban University E (Research),research,4.0,66,1996,English,Humanities
S201400030,2014,1,M,0,Asian,NY,INST_02,State University B (Research),research,3.16,51,1996,Sociology,Social Sciences
S201400031,2014,0,F,1,White,NJ,INST_04,Regional College D (Teaching),teaching,2.94,41,1996,Marketing,Business
S201400032,2014,1,F,0,Asian,OH,INST_05,Urban University E (Research),research,3.56,75,1996,Physics,STEM
S201400033,2014,1,F,0,White,TX,INST_03,Regional College C (Teaching),teaching,3.18,59,1995,Undeclared,Other
S201400034,2014,1,F,0,White,PA,INST_03,Regional College C (Teaching),teaching,3.54,34,1996,Communications,Other
S201400035,2014,0,M,0,Hispanic,MI,INST_02,State University B (Research),research,2.85,89,1996,Pre-Med,Health
S201400036,2014,0,NB,0,Asian,CA,INST_03,Regional College C (Teaching),teaching,3.72,50,1996,Sociology,Social Sciences
S201400037,2014,1,M,0,White,VA,INST_04,Regional College D (Teaching),teaching,3.2,84,1996,Computer Science,STEM
S201400038,2014,1,M,1,White,OH,INST_02,State University B (Research),research,3.29,67,1996,Undeclared,Other
S201400039,2014,0,F,0,White,VA,INST_02,State University B (Research),research,2.94,75,1995,Computer Science,STEM
S201400040,2014,0,F,0,Black,OH,INST_02,State University B (Research),research,4.0,37,1996,Sociology,Social Sciences
S201400041,2014,0,F,0,White,GA,INST_04,Regional College D (Teaching),teaching,2.83,67,1996,Electrical Engineering,STEM
