student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category
S201600001,2016,1,M,1,White,NY,INST_05,Urban University E (Research),research,2.61,40,1998,Political Science,Social Sciences
S201600002,2016,1,M,0,White,NC,INST_01,State University A (Research),research,3.37,59,1998,Finance,Business
S201600003,2016,0,F,0,White,FL,INST_03,Regional College C (Teaching),teaching,3.01,48,1998,Economics-Bus,Business
S201600004,2016,0,F,0,White,CA,INST_03,Regional College C (Teaching),teaching,3.47,38,1998,Mathematics,STEM
S201600005,2016,1,M,0,Hispanic,PA,INST_03,Regional College C (Teaching),teaching,3.2,27,1998,Kinesiology,Health
S201600006,2016,1,M,0,Asian,FL,INST_01,State University A (Research),research,2.63,71,1998,Nursing,Health
S201600007,2016,1,F,0,White,IL,INST_02,State University B (Research),research,3.91,85,1998,Nursing,Health
S201600008,2016,1,F,0,Black,FL,INST_03,Regional College C (Teaching),teaching,3.46,49,1998,Mathematics,STEM
S201600009,2016,0,F,0,White,NJ,INST_03,Regional College C (Teaching),teaching,2.67,60,1998,Public Health,Health
S201600010,2016,0,F,1,Hispanic,NJ,INST_05,Urban University E (Research),research,3.5,30,1998,Sociology,Social Sciences
S201600011,2016,0,F,1,Asian,NJ,INST_05,Urban University E (Research),research,3.9,49,1998,Nursing,Health
S201600012,2016,0,M,1,Black,NY,INST_04,Regional College D (Teaching),teaching,3.42,39,1998,Civil Engineering,STEM
S201600013,2016,1,F,0,Hispanic,PA,INST_03,Regional College C (Teaching),teaching,3.18,53,1998,Pre-Med,Health
S201600014,2016,0,M,1,White,VA,INST_02,State University B (Research),research,2.84,62,1998,History,Humanities
S201600015,2016,0,M,0,Asian,MI,INST_03,Regional College C (Teaching),teaching,2.22,53,1998,Communications,Other
S201600016,2016,0,F,1,White,PA,INST_02,State University B (Research),research,2.97,66,1997,Economics-Bus,Business
S201600017,2016,0,F,0,Hispanic,OH,INST_03,Regional College C (Teaching),teaching,3.27,64,1998,Chemistry,STEM
S201600018,2016,1,F,0,White,NY,INST_02,State University B (Research),research,2.65,68,1998,Statistics,STEM
S201600019,2016,1,M,0,White,PA,INST_04,Regional College D (Teaching),teaching,3.6,71,1998,Mechanical Engineering,STEM
S201600020,2016,0,M,0,White,GA,INST_03,Regional College C (Teaching),teaching,3.86,60,1998,Chemistry,STEM
S201600021,2016,0,M,1,White,GA,INST_04,Regional College D (Teaching),teaching,2.53,24,1998,Political Science,Social Sciences
S201600022,2016,1,F,0,White,PA,INST_03,Regional College C (Teaching),teaching,4.0,49,1998,Accounting,Business
S201600023,2016,1,M,0,White,OH,INST_04,Regional College D (Teaching),teaching,3.42,68,1998,Mechanical Engineering,STEM
S201600024,2016,0,F,0,White,TX,INST_05,Urban University E (Research),research,3.46,52,1998,Communications,Other
S201600025,2016,0,F,0,Black,IL,INST_04,Regional College D (Teaching),teaching,3.94,35,1998,History,Humanities
S201600026,2016,0,M,0,Asian,NJ,INST_02,State University B (Research),research,3.38,62,1998,Kinesiology,Health
S201600027,2016,0,F,1,Black,NY,INST_02,State University B (Research),research,4.0,44,1998,Biology,STEM
S201600028,2016,0,M,0,White,MI,INST_04,Regional College D (Teaching),teaching,3.83,55,1998,Pre-Med,Health
S201600029,2016,1,M,1,Asian,NY,INST_04,Regional College D (Teaching),teaching,3.51,30,1998,Mathematics,STEM
S201600030,2016,1,M,0,White,GA,INST_02,State University B (Research),research,3.53,55,1998,Management,Business
S201600031,2016,0,F,1,White,PA,INST_05,Urban University E (Research),research,2.43,29,1998,Communications,Other
S201600032,2016,1,M,0,Hispanic,CA,INST_05,Urban University E (Research),research,3.18,64,1998,General Studies,Other
S201600033,2016,0,M,1,White,FL,INST_01,State University A (Research),research,3.08,99,1998,Mathematics,STEM
S201600034,2016,0,M,0,White,CA,INST_03,Regional College C (Teaching),teaching,3.75,68,1998,Biomedical Engineering,STEM
S201600035,2016,0,F,0,White,FL,INST_03,Regional College C (Teaching),teaching,2.8,76,1998,Management,Business
S201600036,2016,0,F,0,White,IL,INST_01,State University A (Research),research,3.68,85,1998,Public Health,Health
S201600037,2016,0,M,0,Black,VA,INST_01,State University A (Research),research,3.79,59,1998,Management,Business
S201600038,2016,0,M,0,Black,GA,INST_03,Regional College C (Teaching),teaching,3.92,47,1998,History,Humanities
S201600039,2016,0,M,1,Unknown,NY,INST_05,Urban University E (Research),research,2.79,60,1998,Statistics,STEM
S201600040,2016,0,F,1,White,IL,INST_03,Regional College C (Teaching),teaching,3.28,75,1998,Economics,Social Sciences
S201600041,2016,1,M,1,White,PA,INST_05,Urban University E (Research),research,3.01,48,1998,Economics-Bus,Business
S201600042,2016,0,F,0,Black,NC,INST_01,State University A (Research),research,2.91,35,1998,Economics-Bus,Business
S201600043,2016,0,F,0,Asian,OH,INST_05,Urban University E (Research),research,3.5,62,1998,Accounting,Business
S201600044,2016,1,M,1,White,CA,INST_04,Regional College D (Teaching),teaching,2.81,22,1998,General Studies,Other
S201600045,2016,0,M,0,White,VA,INST_04,Regional College D (Teaching),teaching,3.59,34,1998,Economics,Social Sciences
S201600046,2016,1,F,0,White,NC,INST_04,Regional College D (Teaching),teaching,3.91,31,1998,Political Science,Social Sciences
S201600047,2016,0,F,1,White,PA,INST_04,Regional College D (Teaching),teaching,4.0,70,1998,Undeclared,Other
S201600048,2016,0,F,1,White,NJ,INST_03,Regional College C (Teaching),teaching,3.54,56,1998,Computer Science,STEM
S201600049,2016,1,F,1,White,GA,INST_03,Regional College C (Teaching),teaching,3.9,29,1997,Psychology,Social Sciences
S201600050,2016,1,F,0,Black,NC,INST_02,State University B (Research),research,2.91,37,1998,Electrical Engineering,STEM
S201600051,2016,0,M,0,Hispanic,PA,INST_04,Regional College D (Teaching),teaching,3.7,70,1998,English,Humanities
S201600052,2016,0,F,1,Black,NY,INST_01,State University A (Research),research,3.35,69,1998,Education,Other
S201600053,2016,1,F,0,White,NY,INST_05,Urban University E (Research),research,3.07,31,1998,Finance,Business
S201600054,2016,1,F,0,White,NY,INST_01,State University A (Research),research,3.31,71,1998,Physics,STEM
S201600055,2016,0,M,1,Hispanic,PA,INST_01,State University A (Research),research,2.79,89,1998,Public Health,Health
S201600056,2016,1,F,0,Hispanic,NC,INST_05,Urban University E (Research),research,3.16,43,1998,Economics,Social Sciences
S201600057,2016,0,M,0,Asian,NC,INST_02,State University B (Research),research,2.71,46,1998,Political Science,Social Sciences
S201600058,2016,1,F,0,White,MI,INST_02,State University B (Research),research,3.37,63,1998,Computer Science,STEM
S201600059,2016,1,M,0,Asian,IL,INST_04,Regional College D (Teaching),teaching,3.54,66,1998,Anthropology,Social Sciences
S201600060,2016,0,M,0,White,TX,INST_02,State University B (Research),research,2.88,54,1998,Public Health,Health
S201600061,2016,0,F,1,White,PA,INST_01,State University A (Research),research,2.45,45,1998,Mechanical Engineering,STEM
S201600062,2016,1,F,1,Black,PA,INST_05,Urban University E (Research),research,3.07,44,1998,Marketing,Business
S201600063,2016,0,F,0,White,CA,INST_03,Regional College C (Teaching),teaching,3.13,81,1998,Pre-Med,Health
S201600064,2016,0,F,0,Hispanic,NC,INST_03,Regional College C (Teaching),teaching,2.76,65,1998,Mathematics,STEM
S201600065,2016,0,F,0,Asian,MI,INST_01,State University A (Research),research,3.3,43,1998,Management,Business
S201600066,2016,1,M,0,Black,NC,INST_05,Urban University E (Research),research,2.59,29,1998,Computer Science,STEM
S201600067,2016,1,F,0,Hispanic,IL,INST_04,Regional College D (Teaching),teaching,3.33,77,1998,Computer Science,STEM
S201600068,2016,0,F,0,White,GA,INST_05,Urban University E (Research),research,2.96,56,1998,Computer Science,STEM
S201600069,2016,1,M,0,Asian,NC,INST_02,State University B (Research),research,3.33,32,1998,Pre-Med,Health
S201600070,2016,1,M,0,White,NJ,INST_05,Urban University E (Research),research,4.0,23,1998,Economics-Bus,Business
S201600071,2016,1,F,0,White,CA,INST_05,Urban University E (Research),research,2.78,33,1998,Pre-Med,Health
S201600072,2016,0,F,1,Black,NY,INST_05,Urban University E (Research),research,1.8,72,1998,Anthropology,Social Sciences
S201600073,2016,0,F,0,White,TX,INST_03,Regional College C (Teaching),teaching,3.29,58,1998,Nursing,Health
S201600074,2016,1,F,0,AIAN,MI,INST_05,Urban University E (Research),research,2.74,87,1998,Computer Science,STEM
S201600075,2016,0,M,0,Hispanic,NC,INST_02,State University B (Research),research,2.91,26,1998,History,Humanities
S201600076,2016,0,M,0,Hispanic,TX,INST_05,Urban University E (Research),research,3.21,37,1998,Computer Science,STEM
S201600077,2016,1,M,1,Black,NC,INST_04,Regional College D (Teaching),teaching,2.48,65,1998,Pre-Med,Health
S201600078,2016,1,F,1,White,CA,INST_05,Urban University E (Research),research,3.58,79,1998,Spanish,Humanities
S201600079,2016,1,M,1,Black,OH,INST_01,State University A (Research),research,3.21,44,1998,Pre-Med,Health
S201600080,2016,0,F,0,Hispanic,GA,INST_02,State University B (Research),research,2.64,81,1998,Civil Engineering,STEM
S201600081,2016,0,M,0,White,OH,INST_03,Regional College C (Teaching),teaching,3.59,26,1998,Psychology,Social Sciences
S201600082,2016,0,F,0,Asian,VA,INST_02,State University B (Research),research,3.38,90,1998,Marketing,Business
S201600083,2016,1,M,0,White,VA,INST_02,State University B (Research),research,3.56,80,1998,Electrical Engineering,STEM
S201600084,2016,0,M,0,White,MI,INST_05,Urban University E (Research),research,3.76,46,1998,Nursing,Health
S201600085,2016,0,M,0,NHPI,VA,INST_01,State University A (Research),research,3.36,30,1998,Statistics,STEM
S201600086,2016,1,M,0,Asian,MI,INST_04,Regional College D (Teaching),teaching,2.66,49,1998,Accounting,Business
S201600087,2016,0,F,0,Hispanic,PA,INST_05,Urban University E (Research),research,3.16,81,1998,Psychology,Social Sciences
S201600088,2016,1,M,0,Black,OH,INST_01,State University A (Research),research,3.39,69,1998,Finance,Business
S201600089,2016,1,F,0,White,VA,INST_02,State University B (Research),research,3.26,64,1998,Political Science,Social Sciences
S201600090,2016,0,M,1,Black,NC,INST_01,State University A (Research),research,2.69,67,1998,Philosophy,Humanities
S201600091,2016,1,F,1,Hispanic,IL,INST_01,State University A (Research),research,3.41,61,1998,Mathematics,STEM
S201600092,2016,0,NB,0,White,PA,INST_05,Urban University E (Research),research,2.83,82,1998,Communications,Other
S201600093,2016,0,F,1,White,NC,INST_03,Regional College C (Teaching),teaching,3.31,46,1998,Public Health,Health
S201600094,2016,0,F,0,Asian,PA,INST_04,Regional College D (Teaching),teaching,2.33,78,1998,Mechanical Engineering,STEM
S201600095,2016,0,F,0,White,NY,INST_04,Regional College D (Teaching),teaching,3.39,67,1998,Economics,Social Sciences
S201600096,2016,0,M,0,White,OH,INST_04,Regional College D (Teaching),teaching,2.65,37,1998,Finance,Business
S201600097,2016,0,M,0,White,NY,INST_05,Urban University E (Research),research,2.89,65,1998,Statistics,STEM
S201600098,2016,1,F,0,Black,FL,INST_05,Urban University E (Research),research,2.66,53,1998,Undeclared,Other
S201600099,2016,0,M,0,Black,NJ,INST_05,Urban University E (Research),research,3.11,26,1998,Accounting,Business
S201600100,2016,1,M,0,Black,OH,INST_03,Regional College C (Teaching),teaching,3.63,79,1998,Political Science,Social Sciences
S201600101,2016,0,F,0,Hispanic,IL,INST_03,Regional College C (Teaching),teaching,2.84,77,1997,Electrical Engineering,STEM
S201600102,2016,0,M,0,White,NC,INST_04,Regional College D (Teaching),teaching,3.62,81,1998,Computer Science,STEM
S201600103,2016,0,M,0,White,NC,INST_01,State University A (Research),research,3.97,64,1998,Biology,STEM
S201600104,2016,0,F,0,White,OH,INST_05,Urban University E (Research),research,2.35,66,1998,Pre-Med,Health
S201600105,2016,1,M,0,White,CA,INST_04,Regional College D (Teaching),teaching,3.49,58,1998,Communications,Other
S201600106,2016,1,M,0,White,FL,INST_03,Regional College C (Teaching),teaching,2.87,33,1998,Finance,Business
S201600107,2016,0,NB,0,White,TX,INST_05,Urban University E (Research),research,3.88,38,1998,Education,Other
S201600108,2016,1,F,0,White,GA,INST_05,Urban University E (Research),research,3.24,63,1998,Chemistry,STEM
S201600109,2016,0,F,0,Black,MI,INST_04,Regional College D (Teaching),teaching,3.11,35,1998,Mechanical Engineering,STEM
S201600110,2016,0,F,0,Black,TX,INST_02,State University B (Research),research,3.83,46,1998,Communications,Other
S201600111,2016,0,M,1,White,NY,INST_01,State University A (Research),research,4.0,75,1998,Accounting,Business
S201600112,2016,0,F,0,Hispanic,FL,INST_04,Regional College D (Teaching),teaching,3.51,77,1998,Psychology,Social Sciences
S201600113,2016,0,F,0,Hispanic,GA,INST_03,Regional College C (Teaching),teaching,3.57,74,1998,Philosophy,Humanities
S201600114,2016,1,F,0,White,MI,INST_02,State University B (Research),research,2.55,48,1998,Mechanical Engineering,STEM
S201600115,2016,0,M,1,Black,NY,INST_02,State University B (Research),research,3.15,47,1998,Mechanical Engineering,STEM
S201600116,2016,0,F,0,Hispanic,NC,INST_03,Regional College C (Teaching),teaching,3.84,53,1998,Economics-Bus,Business
S201600117,2016,0,F,0,Black,CA,INST_01,State University A (Research),research,2.64,67,1998,Political Science,Social Sciences
S201600118,2016,1,F,0,Black,NJ,INST_05,Urban University E (Research),research,3.21,52,1998,Physics,STEM
S201600119,2016,1,M,0,Hispanic,MI,INST_03,Regional College C (Teaching),teaching,2.82,53,1998,Accounting,Business
S201600120,2016,0,F,1,Black,MI,INST_05,Urban University E (Research),research,4.0,39,1998,English,Humanities
S201600121,2016,0,M,1,Black,CA,INST_01,State University A (Research),research,3.91,48,1998,English,Humanities
S201600122,2016,0,F,0,White,PA,INST_01,State University A (Research),research,3.08,73,1998,Management,Business
S201600123,2016,1,F,0,White,TX,INST_05,Urban University E (Research),research,3.9,9,1998,Economics-Bus,Business
S201600124,2016,1,M,0,White,VA,INST_04,Regional College D (Teaching),teaching,3.45,29,1998,Economics,Social Sciences
S201600125,2016,0,F,0,Multi,CA,INST_03,Regional College C (Teaching),teaching,3.33,40,1998,Accounting,Business
S201600126,2016,1,M,0,White,PA,INST_04,Regional College D (Teaching),teaching,3.72,41,1998,Anthropology,Social Sciences
S201600127,2016,0,F,0,Asian,CA,INST_01,State University A (Research),research,2.31,69,1998,Biology,STEM
S201600128,2016,1,F,1,Asian,GA,INST_05,Urban University E (Research),research,2.98,47,1998,Political Science,Social Sciences
S201600129,2016,0,F,1,Hispanic,NJ,INST_01,State University A (Research),research,3.46,41,1998,Marketing,Business
S201600130,2016,1,F,0,Multi,MI,INST_05,Urban University E (Research),research,2.71,58,1998,Political Science,Social Sciences
S201600131,2016,0,M,0,White,NC,INST_01,State University A (Research),research,3.72,30,1998,Biomedical Engineering,STEM
S201600132,2016,0,M,1,White,MI,INST_04,Regional College D (Teaching),teaching,2.42,95,1998,Biology,STEM
S201600133,2016,1,M,1,Black,PA,INST_03,Regional College C (Teaching),teaching,2.64,59,1998,Public Health,Health
S201600134,2016,1,M,0,White,MI,INST_05,Urban University E (Research),research,3.14,48,1998,Mechanical Engineering,STEM
S201600135,2016,0,M,1,White,NC,INST_03,Regional College C (Teaching),teaching,3.36,59,1998,Physics,STEM
S201600136,2016,0,F,0,White,VA,INST_04,Regional College D (Teaching),teaching,3.03,81,1998,Mathematics,STEM
S201600137,2016,0,M,1,White,FL,INST_03,Regional College C (Teaching),teaching,2.67,56,1998,English,Humanities
S201600138,2016,0,M,0,Hispanic,CA,INST_01,State University A (Research),research,3.23,64,1998,Kinesiology,Health
S201600139,2016,0,F,0,Hispanic,IL,INST_05,Urban University E (Research),research,3.7,81,1998,Accounting,Business
S201600140,2016,0,F,0,White,GA,INST_03,Regional College C (Teaching),teaching,2.64,90,1998,Kinesiology,Health
S201600141,2016,1,M,0,White,GA,INST_03,Regional College C (Teaching),teaching,2.85,44,1998,Computer Science,STEM
S201600142,2016,0,F,1,Multi,PA,INST_05,Urban University E (Research),research,3.05,65,1998,Anthropology,Social Sciences
