session_id	session_ts	minutes_logged	session_type	modality	rating_1_5	no_show
S00-000000	2024-02-02 18:10:00	32	FOLLOWUP	IN_PERSON	3	0
S00-000001	2024-07-06 18:43:00	73	WORKSHOP	IN_PERSON	2	0
S00-000002	2024-08-27 02:01:00	37	FOLLOWUP	VIDEO	4	0
S00-000003	2023-11-21 23:03:00	43	FOLLOWUP	PHONE	3	0
S00-000004	2023-12-14 00:48:00	84	INTERVIEW	VIDEO	5	0
S00-000005	2023-12-16 02:52:00	87	NETWORK	ASYNC	5	0
S00-000006	2023-12-05 02:33:00	33	NETWORK	VIDEO	2	0
S00-000007	2024-02-18 11:33:00	56	RESUME	VIDEO	5	0
S00-000008	2023-12-18 15:28:00	64	INTERVIEW	ASYNC	4	0
S00-000009	2023-11-10 12:38:00	24	NETWORK	PHONE	5	0
S00-000010	2024-01-06 09:25:00	60	RESUME	IN_PERSON	4	1
S00-000011	2024-03-26 20:19:00	63	INTERVIEW	IN_PERSON	4	0
S00-000012	2024-03-17 20:48:00	57	WORKSHOP	ASYNC	3	0
S00-000013	2023-09-07 12:07:00	46	WORKSHOP	IN_PERSON	4	0
S00-000014	2023-09-20 05:31:00	57	INTAKE	IN_PERSON	3	1
S00-000015	2024-01-09 04:14:00	24	NETWORK	IN_PERSON	4	0
S00-000016	2024-08-08 17:15:00	28	RESUME	VIDEO	2	0
S00-000017	2024-02-06 00:19:00	22	WORKSHOP	VIDEO	2	0
S00-000018	2023-09-18 23:25:00	54	WORKSHOP	IN_PERSON	5	0
S00-000019	2024-05-01 07:35:00	80	INTAKE	IN_PERSON	3	0
S00-000020	2024-06-01 10:50:00	60	INTERVIEW	VIDEO	5	0
S00-000021	2024-01-22 00:06:00	86	FOLLOWUP	ASYNC	4	1
S00-000022	2024-07-19 13:19:00	76	FOLLOWUP	ASYNC	5	0
S00-000023	2023-09-10 23:03:00	45	INTAKE	IN_PERSON	4	0
S00-000024	2024-05-29 15:27:00	74	INTAKE	IN_PERSON	3	0
S00-000025	2023-11-01 11:44:00	77	RESUME	PHONE	3	0
S00-000026	2024-02-05 23:52:00	45	NETWORK	IN_PERSON	2	0
S00-000027	2024-03-05 13:49:00	63	RESUME	VIDEO	4	0
S00-000028	2024-06-16 00:51:00	47	INTERVIEW	IN_PERSON	5	0
S00-000029	2023-09-01 15:26:00	88	NETWORK	IN_PERSON	4	0
S00-000030	2024-03-31 09:47:00	82	FOLLOWUP	ASYNC	5	0
S00-000031	2024-04-13 10:26:00	83	WORKSHOP	IN_PERSON	4	0
S00-000032	2024-08-16 10:29:00	28	FOLLOWUP	IN_PERSON	3	0
S00-000033	2024-02-11 19:04:00	73	INTERVIEW	IN_PERSON	5	0
S00-000034	2024-06-13 23:54:00	30	WORKSHOP	VIDEO	4	0
S00-000035	2024-04-15 22:35:00	55	WORKSHOP	VIDEO	3	0
S00-000036	2024-04-19 12:16:00	53	FOLLOWUP	PHONE	5	0
S00-000037	2024-04-05 16:16:00	38	WORKSHOP	ASYNC	3	0
S00-000038	2024-03-03 07:24:00	45	INTAKE	VIDEO	4	1
S00-000039	2024-04-18 08:19:00	31	RESUME	PHONE	4	0
S00-000040	2024-02-05 12:39:00	94	WORKSHOP	ASYNC	3	0
S00-000041	2024-04-29 22:03:00	20	INTERVIEW	IN_PERSON	4	1
S00-000042	2023-09-18 15:38:00	36	WORKSHOP	IN_PERSON	5	0
S00-000043	2024-07-26 06:17:00	76	NETWORK	VIDEO	4	0
S00-000044	2024-04-16 13:00:00	68	NETWORK	IN_PERSON	5	0
S00-000045	2024-04-13 20:41:00	36	WORKSHOP	IN_PERSON	4	0
S00-000046	2024-07-06 21:24:00	41	WORKSHOP	VIDEO	5	0
S00-000047	2024-05-10 09:24:00	92	NETWORK	VIDEO	5	0
S00-000048	2023-09-24 14:01:00	83	WORKSHOP	ASYNC	3	1
S00-000049	2024-03-12 12:52:00	83	FOLLOWUP	VIDEO	3	0
S00-000050	2024-02-13 18:01:00	80	FOLLOWUP	ASYNC	5	0
S00-000051	2024-01-26 22:31:00	91	NETWORK	IN_PERSON	5	0
S00-000052	2023-10-06 15:53:00	57	INTAKE	VIDEO	4	1
S00-000053	2024-07-12 18:39:00	61	INTAKE	VIDEO	3	0
S00-000054	2023-09-24 08:49:00	22	WORKSHOP	IN_PERSON	5	0
S00-000055	2024-02-09 03:28:00	59	RESUME	PHONE	3	0
S00-000056	2023-09-13 06:21:00	92	INTERVIEW	IN_PERSON	5	0
S00-000057	2024-06-17 22:21:00	44	RESUME	VIDEO	5	0
S00-000058	2023-10-20 13:20:00	35	INTAKE	IN_PERSON	5	0
S00-000059	2024-05-11 23:25:00	70	INTAKE	IN_PERSON	5	0
S00-000060	2024-05-29 21:48:00	71	INTERVIEW	IN_PERSON	4	0
S00-000061	2024-08-30 19:20:00	75	RESUME	PHONE	5	0
S00-000062	2024-05-26 08:24:00	28	FOLLOWUP	ASYNC	3	0
S00-000063	2023-12-25 16:24:00	83	NETWORK	IN_PERSON	5	0
S00-000064	2023-11-10 22:54:00	67	RESUME	PHONE	3	0
S00-000065	2024-01-08 09:39:00	93	NETWORK	VIDEO	4	0
S00-000066	2024-07-26 07:47:00	31	WORKSHOP	VIDEO	5	0
S00-000067	2024-02-24 14:54:00	86	WORKSHOP	ASYNC	5	0
S00-000068	2024-04-21 09:47:00	72	INTERVIEW	VIDEO	5	0
S00-000069	2024-07-06 06:21:00	62	INTAKE	IN_PERSON	5	1
S00-000070	2024-08-05 02:37:00	20	RESUME	IN_PERSON	5	0
S00-000071	2023-09-08 12:27:00	67	RESUME	IN_PERSON	4	0
S00-000072	2024-03-28 12:26:00	52	INTERVIEW	IN_PERSON	5	0
S00-000073	2024-01-27 15:33:00	69	FOLLOWUP	VIDEO	4	0
S00-000074	2024-07-26 06:33:00	92	WORKSHOP	ASYNC	3	0
S00-000075	2024-04-05 06:09:00	53	WORKSHOP	IN_PERSON	5	0
S00-000076	2024-02-06 22:41:00	42	NETWORK	IN_PERSON	3	0
S00-000077	2024-06-07 07:11:00	62	NETWORK	IN_PERSON	5	0
S00-000078	2024-01-18 12:33:00	65	INTERVIEW	IN_PERSON	4	0
S00-000079	2024-04-30 23:47:00	34	WORKSHOP	VIDEO	4	0
S00-000080	2024-01-27 01:52:00	76	NETWORK	VIDEO	5	0
S00-000081	2023-12-26 20:17:00	52	RESUME	IN_PERSON	4	0
S00-000082	2024-05-05 15:36:00	75	INTAKE	PHONE	5	1
S00-000083	2024-03-19 16:44:00	35	WORKSHOP	IN_PERSON	4	0
S00-000084	2024-07-11 01:40:00	36	INTERVIEW	IN_PERSON	3	0
S00-000085	2024-02-25 19:09:00	65	NETWORK	PHONE	4	0
S00-000086	2024-07-22 13:06:00	20	RESUME	VIDEO	3	0
S00-000087	2024-05-03 01:37:00	54	NETWORK	IN_PERSON	3	0
S00-000088	2023-11-11 23:46:00	75	INTERVIEW	IN_PERSON	5	1
S00-000089	2023-11-05 14:58:00	52	RESUME	IN_PERSON	3	0
S00-000090	2023-10-26 00:45:00	66	WORKSHOP	VIDEO	3	0
S00-000091	2023-12-23 21:36:00	54	RESUME	VIDEO	2	0
S00-000092	2023-12-06 20:58:00	70	NETWORK	VIDEO	3	0
S00-000093	2024-03-28 08:08:00	59	INTERVIEW	VIDEO	5	0
S00-000094	2023-12-02 17:16:00	69	INTAKE	VIDEO	5	0
S00-000095	2024-01-08 10:49:00	25	INTAKE	PHONE	3	0
S00-000096	2023-10-21 23:22:00	43	INTERVIEW	VIDEO	3	1
S00-000097	2024-05-09 19:28:00	35	FOLLOWUP	ASYNC	5	0
S00-000098	2023-12-27 03:52:00	33	FOLLOWUP	IN_PERSON	5	0
S00-000099	2023-11-24 07:36:00	33	RESUME	VIDEO	3	0
S00-000100	2024-03-02 06:03:00	64	WORKSHOP	PHONE	5	0
