session_id	session_ts	minutes_logged	session_type	modality	rating_1_5	no_show
S04-000000	2023-11-07 10:49:00	73	WORKSHOP	IN_PERSON	3	0
S04-000001	2024-06-10 09:35:00	89	INTERVIEW	IN_PERSON	4	0
S04-000002	2023-09-18 21:06:00	32	NETWORK	ASYNC	5	0
S04-000003	2023-09-14 01:06:00	71	FOLLOWUP	IN_PERSON	4	0
S04-000004	2024-08-25 19:53:00	20	RESUME	IN_PERSON	5	0
S04-000005	2023-11-04 09:10:00	50	RESUME	IN_PERSON	4	0
S04-000006	2023-09-06 21:05:00	42	INTERVIEW	IN_PERSON	4	0
S04-000007	2024-05-13 11:14:00	66	RESUME	IN_PERSON	4	0
S04-000008	2024-06-16 16:51:00	87	WORKSHOP	IN_PERSON	3	0
S04-000009	2024-05-01 03:08:00	44	INTAKE	IN_PERSON	5	0
S04-000010	2024-06-28 21:41:00	41	INTERVIEW	VIDEO	4	0
S04-000011	2023-10-12 13:36:00	46	INTAKE	VIDEO	5	0
S04-000012	2024-03-20 23:37:00	67	FOLLOWUP	IN_PERSON	5	0
S04-000013	2023-09-30 15:41:00	31	NETWORK	PHONE	5	0
S04-000014	2024-01-21 19:05:00	20	NETWORK	VIDEO	5	0
S04-000015	2023-09-05 16:51:00	60	WORKSHOP	ASYNC	3	0
S04-000016	2024-01-02 02:16:00	73	INTERVIEW	IN_PERSON	2	0
S04-000017	2024-07-12 22:40:00	31	INTAKE	IN_PERSON	3	0
S04-000018	2024-06-17 17:59:00	68	RESUME	IN_PERSON	5	0
S04-000019	2024-06-03 16:38:00	67	WORKSHOP	ASYNC	4	0
S04-000020	2024-01-14 09:29:00	54	WORKSHOP	VIDEO	3	0
S04-000021	2024-01-30 15:55:00	35	INTERVIEW	VIDEO	5	0
S04-000022	2024-06-06 15:03:00	84	NETWORK	IN_PERSON	3	0
S04-000023	2024-04-22 02:17:00	62	RESUME	VIDEO	4	0
S04-000024	2024-08-09 13:03:00	40	INTERVIEW	IN_PERSON	5	0
S04-000025	2024-03-03 04:52:00	58	FOLLOWUP	IN_PERSON	5	0
S04-000026	2023-10-12 15:06:00	74	RESUME	IN_PERSON	5	0
S04-000027	2024-07-08 13:06:00	21	NETWORK	VIDEO	3	0
S04-000028	2023-09-26 03:41:00	64	RESUME	IN_PERSON	3	0
S04-000029	2024-08-13 11:47:00	26	WORKSHOP	ASYNC	5	0
