session_id	session_ts	minutes_logged	session_type	modality	rating_1_5	no_show
S01-000000	2024-07-09 07:31:00	65	FOLLOWUP	VIDEO	5	0
S01-000001	2024-01-01 08:53:00	76	NETWORK	VIDEO	3	0
S01-000002	2024-04-16 04:27:00	85	FOLLOWUP	IN_PERSON	5	0
S01-000003	2023-12-16 10:31:00	66	NETWORK	VIDEO	4	0
S01-000004	2023-10-20 09:30:00	85	INTAKE	VIDEO	5	0
S01-000005	2024-05-14 13:55:00	33	FOLLOWUP	IN_PERSON	2	0
S01-000006	2023-09-26 15:27:00	92	WORKSHOP	IN_PERSON	2	0
S01-000007	2024-03-31 06:06:00	89	INTERVIEW	IN_PERSON	3	0
S01-000008	2023-10-26 07:18:00	75	FOLLOWUP	IN_PERSON	4	0
S01-000009	2023-09-19 03:37:00	66	INTERVIEW	IN_PERSON	5	0
S01-000010	2024-08-30 20:00:00	60	NETWORK	IN_PERSON	3	0
S01-000011	2023-11-11 05:09:00	54	INTERVIEW	IN_PERSON	5	0
S01-000012	2023-10-10 09:21:00	76	INTERVIEW	IN_PERSON	5	0
S01-000013	2023-10-27 00:15:00	55	INTERVIEW	VIDEO	4	0
S01-000014	2024-05-18 13:09:00	24	INTAKE	VIDEO	5	0
S01-000015	2024-03-26 00:41:00	38	INTERVIEW	IN_PERSON	5	0
S01-000016	2024-08-21 05:05:00	58	WORKSHOP	VIDEO	3	0
S01-000017	2024-01-10 03:15:00	34	WORKSHOP	IN_PERSON	4	0
S01-000018	2023-10-06 11:20:00	58	FOLLOWUP	IN_PERSON	5	0
S01-000019	2024-01-02 17:28:00	72	INTAKE	IN_PERSON	4	0
S01-000020	2024-07-05 04:30:00	88	NETWORK	VIDEO	5	0
S01-000021	2023-10-11 21:52:00	60	FOLLOWUP	IN_PERSON	3	0
S01-000022	2024-07-04 03:11:00	84	NETWORK	VIDEO	5	0
S01-000023	2023-10-15 01:21:00	34	FOLLOWUP	IN_PERSON	3	0
S01-000024	2024-03-06 11:01:00	37	WORKSHOP	IN_PERSON	5	1
S01-000025	2024-01-18 12:38:00	65	INTERVIEW	VIDEO	3	0
S01-000026	2024-03-05 01:20:00	74	NETWORK	ASYNC	3	0
S01-000027	2023-12-31 04:33:00	51	FOLLOWUP	ASYNC	3	0
S01-000028	2024-03-11 10:18:00	92	NETWORK	ASYNC	3	0
S01-000029	2024-02-22 04:17:00	73	WORKSHOP	IN_PERSON	4	0
S01-000030	2023-10-08 09:04:00	83	WORKSHOP	VIDEO	3	0
S01-000031	2024-03-18 13:47:00	58	INTERVIEW	IN_PERSON	3	0
S01-000032	2024-02-16 06:01:00	24	RESUME	IN_PERSON	3	0
S01-000033	2023-09-15 18:03:00	90	INTERVIEW	VIDEO	5	0
S01-000034	2024-01-16 03:57:00	81	INTERVIEW	ASYNC	4	0
S01-000035	2024-06-24 00:12:00	84	FOLLOWUP	ASYNC	4	0
S01-000036	2024-01-10 11:10:00	37	INTERVIEW	IN_PERSON	4	0
S01-000037	2024-05-11 05:30:00	64	WORKSHOP	VIDEO	4	1
S01-000038	2023-09-08 11:55:00	24	NETWORK	IN_PERSON	4	0
S01-000039	2024-07-04 05:24:00	93	INTERVIEW	ASYNC	4	0
S01-000040	2023-12-20 19:15:00	45	FOLLOWUP	VIDEO	3	1
S01-000041	2023-12-11 04:16:00	58	NETWORK	IN_PERSON	4	0
S01-000042	2023-10-14 06:58:00	48	WORKSHOP	VIDEO	4	0
S01-000043	2024-03-10 21:45:00	71	RESUME	IN_PERSON	3	0
S01-000044	2024-04-19 15:23:00	80	WORKSHOP	IN_PERSON	5	0
S01-000045	2024-07-02 23:46:00	35	INTAKE	IN_PERSON	2	0
S01-000046	2023-10-22 11:22:00	39	NETWORK	VIDEO	2	0
S01-000047	2023-10-30 04:29:00	23	INTERVIEW	IN_PERSON	3	0
S01-000048	2024-01-28 07:02:00	45	FOLLOWUP	VIDEO	4	0
S01-000049	2023-09-15 07:04:00	21	NETWORK	ASYNC	4	0
S01-000050	2024-03-10 01:30:00	31	FOLLOWUP	IN_PERSON	5	0
S01-000051	2024-04-23 22:59:00	35	FOLLOWUP	IN_PERSON	4	0
S01-000052	2024-07-20 17:43:00	30	WORKSHOP	IN_PERSON	5	0
S01-000053	2024-07-27 13:59:00	80	INTERVIEW	IN_PERSON	4	0
S01-000054	2023-12-22 18:55:00	21	NETWORK	VIDEO	5	0
S01-000055	2024-04-19 07:47:00	87	WORKSHOP	IN_PERSON	2	0
S01-000056	2024-06-28 14:05:00	73	WORKSHOP	IN_PERSON	2	0
S01-000057	2024-04-04 14:24:00	91	FOLLOWUP	VIDEO	5	0
S01-000058	2024-05-05 18:49:00	84	INTAKE	IN_PERSON	4	0
S01-000059	2024-04-14 07:37:00	89	NETWORK	IN_PERSON	2	0
S01-000060	2024-06-08 19:32:00	86	INTERVIEW	VIDEO	3	0
S01-000061	2023-10-01 08:00:00	74	RESUME	VIDEO	4	0
S01-000062	2023-11-29 22:35:00	34	NETWORK	VIDEO	5	0
S01-000063	2023-09-23 03:10:00	35	WORKSHOP	VIDEO	5	0
S01-000064	2024-08-22 18:07:00	62	INTERVIEW	IN_PERSON	5	0
S01-000065	2023-09-03 07:46:00	34	WORKSHOP	ASYNC	4	0
S01-000066	2024-07-28 14:57:00	87	NETWORK	IN_PERSON	3	0
S01-000067	2023-11-18 15:03:00	21	NETWORK	VIDEO	4	0
S01-000068	2023-10-28 19:41:00	88	WORKSHOP	PHONE	5	0
S01-000069	2023-09-15 17:02:00	92	INTERVIEW	VIDEO	5	0
S01-000070	2024-05-07 02:52:00	44	NETWORK	IN_PERSON	5	0
S01-000071	2024-03-18 13:55:00	46	FOLLOWUP	IN_PERSON	5	1
S01-000072	2023-11-29 18:13:00	24	INTAKE	VIDEO	3	0
S01-000073	2024-08-09 03:19:00	39	INTERVIEW	IN_PERSON	5	0
S01-000074	2024-03-26 06:04:00	37	RESUME	ASYNC	2	0
S01-000075	2024-06-14 23:31:00	40	NETWORK	VIDEO	5	0
S01-000076	2024-03-22 14:10:00	24	INTERVIEW	ASYNC	4	0
S01-000077	2024-04-06 08:42:00	80	WORKSHOP	VIDEO	3	0
S01-000078	2023-12-11 15:34:00	29	WORKSHOP	IN_PERSON	2	0
S01-000079	2024-07-05 21:01:00	84	FOLLOWUP	IN_PERSON	5	0
S01-000080	2024-04-25 22:20:00	72	FOLLOWUP	IN_PERSON	3	0
S01-000081	2024-05-29 13:26:00	84	WORKSHOP	VIDEO	3	0
S01-000082	2024-08-22 09:22:00	36	INTERVIEW	VIDEO	3	0
S01-000083	2024-05-12 13:50:00	88	INTAKE	VIDEO	2	1
S01-000084	2024-02-01 21:47:00	51	NETWORK	VIDEO	4	0
S01-000085	2023-11-10 22:35:00	46	RESUME	VIDEO	5	0
S01-000086	2023-09-08 03:04:00	68	FOLLOWUP	VIDEO	4	0
S01-000087	2024-04-30 07:48:00	91	FOLLOWUP	VIDEO	2	0
S01-000088	2024-06-24 07:18:00	24	INTERVIEW	VIDEO	4	0
S01-000089	2024-03-16 12:53:00	49	NETWORK	IN_PERSON	4	0
S01-000090	2023-09-03 15:01:00	42	FOLLOWUP	IN_PERSON	2	0
S01-000091	2023-11-02 08:40:00	74	INTAKE	PHONE	5	0
S01-000092	2024-03-19 03:23:00	81	NETWORK	VIDEO	5	0
S01-000093	2024-01-09 11:22:00	71	INTERVIEW	VIDEO	2	0
S01-000094	2024-04-08 11:54:00	40	FOLLOWUP	IN_PERSON	4	0
S01-000095	2023-10-29 07:10:00	83	RESUME	IN_PERSON	5	0
S01-000096	2024-07-18 23:19:00	47	FOLLOWUP	IN_PERSON	2	0
S01-000097	2023-11-21 13:07:00	89	WORKSHOP	IN_PERSON	5	0
S01-000098	2024-06-03 08:15:00	37	NETWORK	PHONE	3	0
S01-000099	2024-05-23 22:35:00	59	RESUME	VIDEO	3	0
S01-000100	2024-01-02 16:02:00	62	FOLLOWUP	VIDEO	2	0
S01-000101	2024-06-06 23:30:00	88	INTERVIEW	VIDEO	5	0
S01-000102	2023-09-29 10:57:00	42	NETWORK	PHONE	3	0
S01-000103	2024-08-19 20:04:00	41	INTAKE	IN_PERSON	5	0
S01-000104	2024-01-07 18:06:00	89	WORKSHOP	IN_PERSON	4	0
S01-000105	2024-05-11 14:11:00	28	WORKSHOP	IN_PERSON	2	0
S01-000106	2024-01-27 17:24:00	75	FOLLOWUP	VIDEO	5	0
S01-000107	2023-12-19 19:00:00	73	FOLLOWUP	ASYNC	4	0
S01-000108	2024-02-27 01:50:00	93	RESUME	IN_PERSON	4	0
S01-000109	2023-10-30 19:10:00	81	INTERVIEW	PHONE	4	0
S01-000110	2024-07-31 06:30:00	81	WORKSHOP	IN_PERSON	2	0
S01-000111	2024-04-18 13:41:00	86	NETWORK	IN_PERSON	5	0
S01-000112	2024-02-27 13:09:00	88	WORKSHOP	IN_PERSON	3	0
S01-000113	2024-08-06 01:37:00	43	FOLLOWUP	IN_PERSON	3	1
S01-000114	2024-03-23 10:56:00	77	INTERVIEW	IN_PERSON	5	0
S01-000115	2024-05-28 10:09:00	32	FOLLOWUP	ASYNC	2	0
S01-000116	2023-12-02 10:21:00	44	WORKSHOP	VIDEO	5	0
S01-000117	2024-01-07 12:30:00	57	NETWORK	PHONE	4	0
S01-000118	2023-10-22 12:22:00	32	INTERVIEW	ASYNC	5	0
S01-000119	2024-01-10 23:40:00	39	INTAKE	IN_PERSON	4	0
S01-000120	2024-05-11 14:29:00	20	WORKSHOP	VIDEO	4	0
S01-000121	2023-12-04 07:59:00	20	NETWORK	IN_PERSON	2	1
S01-000122	2024-01-16 22:15:00	60	INTAKE	IN_PERSON	3	0
S01-000123	2024-03-22 23:23:00	56	NETWORK	VIDEO	3	0
S01-000124	2024-02-26 20:41:00	51	RESUME	VIDEO	4	0
S01-000125	2024-06-06 18:26:00	90	RESUME	IN_PERSON	4	0
S01-000126	2023-12-04 21:38:00	70	FOLLOWUP	IN_PERSON	3	0
S01-000127	2024-05-25 00:20:00	49	WORKSHOP	VIDEO	4	0
S01-000128	2024-07-08 05:45:00	39	RESUME	VIDEO	4	0
S01-000129	2023-11-01 10:18:00	81	WORKSHOP	VIDEO	4	0
S01-000130	2024-01-23 19:28:00	28	FOLLOWUP	VIDEO	4	0
S01-000131	2024-03-11 20:42:00	50	INTAKE	IN_PERSON	4	0
S01-000132	2024-08-07 11:56:00	62	NETWORK	PHONE	3	0
S01-000133	2024-04-11 06:05:00	30	FOLLOWUP	VIDEO	5	1
S01-000134	2024-05-14 23:10:00	94	FOLLOWUP	VIDEO	5	0
S01-000135	2024-06-15 10:20:00	47	INTAKE	ASYNC	3	0
S01-000136	2024-03-10 07:51:00	91	FOLLOWUP	VIDEO	5	0
S01-000137	2024-07-18 15:41:00	41	WORKSHOP	IN_PERSON	5	0
S01-000138	2024-06-08 05:02:00	78	INTAKE	PHONE	3	0
S01-000139	2024-03-02 03:48:00	77	NETWORK	VIDEO	5	1
S01-000140	2023-10-30 05:02:00	27	RESUME	IN_PERSON	3	0
S01-000141	2023-10-31 16:29:00	77	RESUME	VIDEO	3	0
S01-000142	2024-05-12 08:21:00	29	INTAKE	IN_PERSON	3	0
S01-000143	2023-11-29 07:44:00	86	INTERVIEW	IN_PERSON	5	0
S01-000144	2023-12-01 06:01:00	41	FOLLOWUP	VIDEO	4	0
S01-000145	2024-01-02 14:05:00	39	RESUME	IN_PERSON	5	0
S01-000146	2024-05-29 03:45:00	27	RESUME	VIDEO	4	0
S01-000147	2024-01-07 21:05:00	91	RESUME	VIDEO	3	0
S01-000148	2024-03-03 09:33:00	35	RESUME	VIDEO	2	1
