student_id,cohort,aid_received,annual_aid_amount,disbursement_fall,disbursement_spring
S201500001,2015,1,6183,2015-08-16,2016-01-15
S201500002,2015,1,5216,2015-08-23,2016-01-16
S201500003,2015,0,0,,
S201500004,2015,1,6394,2015-08-26,2016-01-11
S201500005,2015,0,0,,
S201500006,2015,1,6266,2015-08-16,2016-01-15
S201500007,2015,1,5137,2015-08-16,2016-01-08
S201500008,2015,1,6710,2015-08-25,2016-01-11
S201500009,2015,0,0,,
S201500010,2015,0,0,,
S201500011,2015,1,8234,2015-08-18,2016-01-12
S201500012,2015,0,0,,
S201500013,2015,1,4925,2015-08-16,2016-01-13
S201500014,2015,1,5766,2015-08-17,2016-01-13
S201500015,2015,1,5878,2015-08-17,2016-01-15
S201500016,2015,0,0,,
S201500017,2015,1,3434,2015-08-20,2016-01-08
S201500018,2015,0,0,,
S201500019,2015,1,5364,2015-08-19,2016-01-17
S201500020,2015,0,0,,
S201500021,2015,1,8473,2015-08-25,2016-01-09
S201500022,2015,1,6013,2015-08-17,2016-01-14
S201500023,2015,0,0,,
S201500024,2015,0,0,,
S201500025,2015,1,8840,2015-08-21,2016-01-13
S201500026,2015,1,6058,2015-08-17,2016-01-14
S201500027,2015,1,5027,2015-08-26,2016-01-08
S201500028,2015,0,0,,
S201500029,2015,0,0,,
S201500030,2015,1,7645,2015-08-17,2016-01-09
S201500031,2015,0,0,,
S201500032,2015,0,0,,
S201500033,2015,0,0,,
S201500034,2015,0,0,,
S201500035,2015,1,7152,2015-08-16,2016-01-15
S201500036,2015,0,0,,
S201500037,2015,0,0,,
S201500038,2015,1,5727,2015-08-23,2016-01-09
S201500039,2015,1,6728,2015-08-24,2016-01-11
S201500040,2015,1,5871,2015-08-19,2016-01-12
S201500041,2015,1,5826,2015-08-22,2016-01-16
S201500042,2015,1,3629,2015-08-25,2016-01-09
S201500043,2015,1,7101,2015-08-23,2016-01-14
S201500044,2015,0,0,,
S201500045,2015,1,6285,2015-08-25,2016-01-14
S201500046,2015,0,0,,
S201500047,2015,0,0,,
S201500048,2015,1,4775,2015-08-26,2016-01-16
S201500049,2015,1,9137,2015-08-25,2016-01-11
S201500050,2015,0,0,,
S201500051,2015,1,6764,2015-08-20,2016-01-14
S201500052,2015,1,6451,2015-08-23,2016-01-17
S201500053,2015,1,4932,2015-08-24,2016-01-11
S201500054,2015,1,6168,2015-08-27,2016-01-12
S201500055,2015,0,0,,
S201500056,2015,1,5633,2015-08-17,2016-01-08
S201500057,2015,0,0,,
S201500058,2015,1,7326,2015-08-19,2016-01-14
S201500059,2015,0,0,,
S201500060,2015,1,3559,2015-08-15,2016-01-16
S201500061,2015,0,0,,
S201500062,2015,1,7223,2015-08-19,2016-01-17
S201500063,2015,0,0,,
S201500064,2015,0,0,,
S201500065,2015,0,0,,
S201500066,2015,0,0,,
S201500067,2015,0,0,,
S201500068,2015,0,0,,
S201500069,2015,1,9136,2015-08-27,2016-01-17
S201500070,2015,1,6300,2015-08-22,2016-01-16
S201500071,2015,1,4193,2015-08-17,2016-01-09
S201500072,2015,1,6337,2015-08-27,2016-01-12
S201500073,2015,0,0,,
S201500074,2015,0,0,,
S201500075,2015,1,6323,2015-08-21,2016-01-15
S201500076,2015,0,0,,
S201500077,2015,0,0,,
S201500078,2015,1,5342,2015-08-27,2016-01-11
S201500079,2015,0,0,,
S201500080,2015,1,6462,2015-08-17,2016-01-11
S201500081,2015,0,0,,
S201500082,2015,1,6878,2015-08-27,2016-01-09
S201500083,2015,1,6294,2015-08-26,2016-01-12
S201500084,2015,0,0,,
S201500085,2015,0,0,,
S201500086,2015,0,0,,
S201500087,2015,1,7913,2015-08-15,2016-01-17
S201500088,2015,1,4805,2015-08-20,2016-01-10
S201500089,2015,1,5076,2015-08-15,2016-01-08
S201500090,2015,0,0,,
S201500091,2015,1,5451,2015-08-17,2016-01-11
S201500092,2015,1,8305,2015-08-19,2016-01-16
S201500093,2015,1,2487,2015-08-18,2016-01-14
S201500094,2015,1,5064,2015-08-15,2016-01-12
S201500095,2015,0,0,,
S201500096,2015,1,4897,2015-08-23,2016-01-13
S201500097,2015,1,5288,2015-08-24,2016-01-08
S201500098,2015,1,4269,2015-08-16,2016-01-16
S201500099,2015,0,0,,
S201500100,2015,1,4175,2015-08-27,2016-01-12
S201500101,2015,1,3466,2015-08-23,2016-01-08
S201500102,2015,0,0,,
S201500103,2015,0,0,,
S201500104,2015,1,3873,2015-08-16,2016-01-10
S201500105,2015,1,4792,2015-08-26,2016-01-17
S201500106,2015,0,0,,
S201500107,2015,1,8189,2015-08-23,2016-01-13
S201500108,2015,1,5334,2015-08-25,2016-01-14
S201500109,2015,0,0,,
S201500110,2015,1,4643,2015-08-23,2016-01-08
S201500111,2015,1,4155,2015-08-16,2016-01-09
S201500112,2015,0,0,,
S201500113,2015,1,7964,2015-08-20,2016-01-14
S201500114,2015,1,6132,2015-08-16,2016-01-10
S201500115,2015,1,3503,2015-08-17,2016-01-14
S201500116,2015,0,0,,
S201500117,2015,1,8506,2015-08-20,2016-01-12
S201500118,2015,1,4238,2015-08-20,2016-01-08
S201500119,2015,1,6366,2015-08-16,2016-01-12
S201500120,2015,1,5291,2015-08-17,2016-01-17
S201500121,2015,1,5265,2015-08-21,2016-01-15
S201500122,2015,0,0,,
S201500123,2015,0,0,,
S201500124,2015,0,0,,
S201500125,2015,1,4313,2015-08-16,2016-01-14
S201500126,2015,0,0,,
S201500127,2015,1,4016,2015-08-21,2016-01-11
S201500128,2015,0,0,,
S201500129,2015,0,0,,
S201500130,2015,0,0,,
S201500131,2015,1,5920,2015-08-25,2016-01-08
S201500132,2015,0,0,,
S201500133,2015,1,7608,2015-08-15,2016-01-15
S201500134,2015,1,6067,2015-08-26,2016-01-10
S201500135,2015,1,4764,2015-08-21,2016-01-11
S201500136,2015,1,6208,2015-08-20,2016-01-11
S201500137,2015,1,5947,2015-08-18,2016-01-14
S201500138,2015,1,5056,2015-08-25,2016-01-16
S201500139,2015,1,7048,2015-08-27,2016-01-15
S201500140,2015,1,3505,2015-08-25,2016-01-17
S201500141,2015,0,0,,
S201500142,2015,1,3138,2015-08-25,2016-01-16
S201500143,2015,1,6289,2015-08-20,2016-01-15
S201500144,2015,0,0,,
S201500145,2015,1,6262,2015-08-27,2016-01-09
S201500146,2015,1,5454,2015-08-27,2016-01-11
S201500147,2015,1,7332,2015-08-26,2016-01-09
S201500148,2015,0,0,,
S201500149,2015,1,4667,2015-08-26,2016-01-14
S201500150,2015,1,4741,2015-08-16,2016-01-17
S201500151,2015,1,4873,2015-08-20,2016-01-15
S201500152,2015,1,5490,2015-08-24,2016-01-15
S201500153,2015,0,0,,
S201500154,2015,1,6608,2015-08-25,2016-01-17
S201500155,2015,1,4464,2015-08-19,2016-01-17
S201500156,2015,1,5661,2015-08-21,2016-01-14
S201500157,2015,1,6366,2015-08-20,2016-01-14
S201500158,2015,1,4966,2015-08-15,2016-01-15
S201500159,2015,0,0,,
S201500160,2015,1,6450,2015-08-24,2016-01-17
S201500161,2015,0,0,,
S201500162,2015,1,5420,2015-08-21,2016-01-11
S201500163,2015,1,7531,2015-08-27,2016-01-17
S201500164,2015,1,3202,2015-08-27,2016-01-09
S201500165,2015,1,6103,2015-08-26,2016-01-12
S201500166,2015,0,0,,
S201500167,2015,1,6246,2015-08-27,2016-01-08
S201500168,2015,0,0,,
S201500169,2015,1,6211,2015-08-25,2016-01-10
S201500170,2015,1,7005,2015-08-24,2016-01-13
S201500171,2015,1,4414,2015-08-23,2016-01-17
S201500172,2015,1,4553,2015-08-26,2016-01-13
S201500173,2015,1,5418,2015-08-16,2016-01-10
S201500174,2015,1,6300,2015-08-18,2016-01-14
S201500175,2015,0,0,,
S201500176,2015,0,0,,
S201500177,2015,1,5776,2015-08-20,2016-01-13
S201500178,2015,0,0,,
S201500179,2015,1,5606,2015-08-26,2016-01-15
S201500180,2015,1,4466,2015-08-20,2016-01-12
S201500181,2015,1,7316,2015-08-19,2016-01-16
S201500182,2015,1,4993,2015-08-22,2016-01-17
S201500183,2015,1,6126,2015-08-19,2016-01-09
S201500184,2015,1,6063,2015-08-21,2016-01-09
S201500185,2015,1,5785,2015-08-21,2016-01-11
S201500186,2015,0,0,,
S201500187,2015,1,6106,2015-08-26,2016-01-14
S201500188,2015,1,7827,2015-08-27,2016-01-11
S201500189,2015,1,7328,2015-08-23,2016-01-09
S201500190,2015,0,0,,
S201500191,2015,1,5522,2015-08-27,2016-01-11
S201500192,2015,0,0,,
S201500193,2015,1,8179,2015-08-20,2016-01-16
S201500194,2015,1,6404,2015-08-26,2016-01-11
S201500195,2015,1,2502,2015-08-23,2016-01-08
S201500196,2015,1,4102,2015-08-22,2016-01-15
S201500197,2015,0,0,,
S201500198,2015,1,2875,2015-08-26,2016-01-17
S201500199,2015,0,0,,
S201500200,2015,1,6803,2015-08-25,2016-01-16
S201500201,2015,1,3501,2015-08-24,2016-01-10
S201500202,2015,0,0,,
S201500203,2015,1,4665,2015-08-26,2016-01-10
S201500204,2015,1,5920,2015-08-19,2016-01-15
S201500205,2015,0,0,,
S201500206,2015,1,5678,2015-08-25,2016-01-13
S201500207,2015,1,3910,2015-08-23,2016-01-10
S201500208,2015,1,2886,2015-08-21,2016-01-10
S201500209,2015,1,5461,2015-08-25,2016-01-08
S201500210,2015,0,0,,
S201500211,2015,1,4370,2015-08-15,2016-01-10
S201500212,2015,0,0,,
S201500213,2015,1,7486,2015-08-24,2016-01-08
S201500214,2015,0,0,,
S201500215,2015,1,7564,2015-08-20,2016-01-14
S201500216,2015,1,7489,2015-08-15,2016-01-09
S201500217,2015,0,0,,
S201500218,2015,0,0,,
S201500219,2015,1,7725,2015-08-22,2016-01-11
S201500220,2015,0,0,,
S201500221,2015,0,0,,
S201500222,2015,1,3162,2015-08-23,2016-01-10
S201500223,2015,0,0,,
S201500224,2015,1,8569,2015-08-24,2016-01-09
S201500225,2015,1,3144,2015-08-23,2016-01-10
S201500226,2015,0,0,,
S201500227,2015,1,6964,2015-08-23,2016-01-09
S201500228,2015,1,7726,2015-08-17,2016-01-10
S201500229,2015,1,2379,2015-08-25,2016-01-17
S201500230,2015,1,9045,2015-08-22,2016-01-15
S201500231,2015,1,1740,2015-08-24,2016-01-12
S201500232,2015,1,7811,2015-08-15,2016-01-13
S201500233,2015,1,6918,2015-08-20,2016-01-15
S201500234,2015,0,0,,
S201500235,2015,1,4634,2015-08-24,2016-01-11
S201500236,2015,1,5037,2015-08-26,2016-01-15
S201500237,2015,0,0,,
S201500238,2015,0,0,,
S201500239,2015,0,0,,
S201500240,2015,1,4482,2015-08-20,2016-01-08
S201500241,2015,0,0,,
S201500242,2015,1,5907,2015-08-20,2016-01-14
S201500243,2015,0,0,,
S201500244,2015,1,2062,2015-08-23,2016-01-14
S201500245,2015,1,5643,2015-08-17,2016-01-16
S201500246,2015,1,7937,2015-08-16,2016-01-09
S201500247,2015,1,7086,2015-08-20,2016-01-09
S201500248,2015,1,8058,2015-08-26,2016-01-10
S201500249,2015,0,0,,
S201500250,2015,0,0,,
S201500251,2015,0,0,,
S201500252,2015,0,0,,
