student_id,cohort,aid_received,annual_aid_amount,disbursement_fall,disbursement_spring
S201400001,2014,1,7010,2014-08-19,2015-01-11
S201400002,2014,0,0,,
S201400003,2014,1,7371,2014-08-23,2015-01-15
S201400004,2014,0,0,,
S201400005,2014,1,4720,2014-08-24,2015-01-09
S201400006,2014,1,4218,2014-08-21,2015-01-15
S201400007,2014,0,0,,
S201400008,2014,0,0,,
S201400009,2014,0,0,,
S201400010,2014,1,6991,2014-08-15,2015-01-09
S201400011,2014,1,4799,2014-08-22,2015-01-09
S201400012,2014,1,5966,2014-08-23,2015-01-12
S201400013,2014,1,5658,2014-08-25,2015-01-12
S201400014,2014,1,6487,2014-08-26,2015-01-14
S201400015,2014,1,5806,2014-08-15,2015-01-11
S201400016,2014,1,4417,2014-08-17,2015-01-17
S201400017,2014,0,0,,
S201400018,2014,1,4394,2014-08-20,2015-01-17
S201400019,2014,1,4946,2014-08-15,2015-01-08
S201400020,2014,1,1943,2014-08-16,2015-01-09
S201400021,2014,1,6798,2014-08-25,2015-01-13
S201400022,2014,1,7400,2014-08-17,2015-01-08
S201400023,2014,0,0,,
S201400024,2014,1,5154,2014-08-18,2015-01-16
S201400025,2014,0,0,,
S201400026,2014,1,6047,2014-08-21,2015-01-14
S201400027,2014,0,0,,
S201400028,2014,0,0,,
S201400029,2014,1,6955,2014-08-21,2015-01-14
S201400030,2014,1,5913,2014-08-26,2015-01-09
S201400031,2014,1,5550,2014-08-18,2015-01-11
S201400032,2014,0,0,,
S201400033,2014,1,5184,2014-08-16,2015-01-08
S201400034,2014,0,0,,
S201400035,2014,1,6327,2014-08-20,2015-01-09
S201400036,2014,1,6882,2014-08-23,2015-01-10
S201400037,2014,1,5564,2014-08-22,2015-01-15
S201400038,2014,1,3118,2014-08-26,2015-01-13
S201400039,2014,1,5510,2014-08-21,2015-01-15
S201400040,2014,1,7893,2014-08-27,2015-01-14
S201400041,2014,0,0,,
S201400042,2014,1,7365,2014-08-23,2015-01-13
S201400043,2014,1,5420,2014-08-26,2015-01-17
S201400044,2014,1,5714,2014-08-26,2015-01-16
S201400045,2014,0,0,,
S201400046,2014,1,7614,2014-08-15,2015-01-15
S201400047,2014,0,0,,
S201400048,2014,1,5151,2014-08-18,2015-01-08
S201400049,2014,1,10794,2014-08-25,2015-01-15
S201400050,2014,1,5215,2014-08-20,2015-01-09
S201400051,2014,1,7031,2014-08-21,2015-01-11
S201400052,2014,1,4819,2014-08-23,2015-01-15
S201400053,2014,1,5838,2014-08-18,2015-01-15
S201400054,2014,1,8447,2014-08-25,2015-01-12
S201400055,2014,1,6375,2014-08-15,2015-01-13
S201400056,2014,0,0,,
S201400057,2014,1,6473,2014-08-26,2015-01-10
S201400058,2014,1,6182,2014-08-17,2015-01-12
S201400059,2014,0,0,,
S201400060,2014,1,7653,2014-08-23,2015-01-08
S201400061,2014,1,6061,2014-08-26,2015-01-17
S201400062,2014,1,5313,2014-08-27,2015-01-11
S201400063,2014,0,0,,
S201400064,2014,1,3859,2014-08-24,2015-01-09
S201400065,2014,1,6654,2014-08-22,2015-01-13
S201400066,2014,0,0,,
S201400067,2014,0,0,,
S201400068,2014,1,4783,2014-08-15,2015-01-11
S201400069,2014,1,3794,2014-08-19,2015-01-12
S201400070,2014,1,4314,2014-08-18,2015-01-15
S201400071,2014,0,0,,
S201400072,2014,0,0,,
S201400073,2014,1,5491,2014-08-22,2015-01-09
S201400074,2014,0,0,,
S201400075,2014,0,0,,
S201400076,2014,0,0,,
S201400077,2014,1,3854,2014-08-22,2015-01-08
S201400078,2014,1,4134,2014-08-20,2015-01-17
S201400079,2014,1,6539,2014-08-25,2015-01-10
S201400080,2014,0,0,,
S201400081,2014,1,10179,2014-08-24,2015-01-14
S201400082,2014,1,3393,2014-08-27,2015-01-17
S201400083,2014,0,0,,
S201400084,2014,1,5082,2014-08-20,2015-01-16
S201400085,2014,1,5342,2014-08-15,2015-01-08
S201400086,2014,0,0,,
S201400087,2014,1,4323,2014-08-26,2015-01-14
S201400088,2014,0,0,,
S201400089,2014,1,6722,2014-08-21,2015-01-13
S201400090,2014,1,3115,2014-08-24,2015-01-10
S201400091,2014,1,2760,2014-08-17,2015-01-11
S201400092,2014,1,4225,2014-08-17,2015-01-15
