student_id,cohort,aid_received,annual_aid_amount,disbursement_fall,disbursement_spring
S201300001,2013,1,5553,2013-08-21,2014-01-12
S201300002,2013,1,4522,2013-08-24,2014-01-12
S201300003,2013,1,4566,2013-08-26,2014-01-13
S201300004,2013,1,7550,2013-08-18,2014-01-13
S201300005,2013,0,0,,
S201300006,2013,0,0,,
S201300007,2013,1,4152,2013-08-21,2014-01-09
S201300008,2013,1,7725,2013-08-26,2014-01-10
S201300009,2013,1,5787,2013-08-26,2014-01-09
S201300010,2013,0,0,,
S201300011,2013,0,0,,
S201300012,2013,1,3826,2013-08-21,2014-01-12
S201300013,2013,0,0,,
S201300014,2013,0,0,,
S201300015,2013,1,6896,2013-08-24,2014-01-13
S201300016,2013,1,6110,2013-08-22,2014-01-15
S201300017,2013,0,0,,
S201300018,2013,0,0,,
S201300019,2013,0,0,,
S201300020,2013,1,5011,2013-08-18,2014-01-16
S201300021,2013,0,0,,
S201300022,2013,0,0,,
S201300023,2013,1,6413,2013-08-20,2014-01-08
S201300024,2013,1,5050,2013-08-18,2014-01-08
S201300025,2013,0,0,,
S201300026,2013,1,7508,2013-08-24,2014-01-08
S201300027,2013,0,0,,
S201300028,2013,1,4609,2013-08-18,2014-01-13
S201300029,2013,1,5502,2013-08-18,2014-01-13
S201300030,2013,1,3270,2013-08-18,2014-01-13
S201300031,2013,1,5823,2013-08-18,2014-01-17
S201300032,2013,1,7565,2013-08-18,2014-01-09
S201300033,2013,0,0,,
S201300034,2013,1,5231,2013-08-17,2014-01-12
S201300035,2013,1,4576,2013-08-22,2014-01-08
S201300036,2013,0,0,,
S201300037,2013,0,0,,
S201300038,2013,0,0,,
S201300039,2013,0,0,,
S201300040,2013,1,5607,2013-08-20,2014-01-12
S201300041,2013,0,0,,
S201300042,2013,1,5123,2013-08-19,2014-01-16
S201300043,2013,1,6549,2013-08-25,2014-01-17
S201300044,2013,1,7378,2013-08-22,2014-01-09
S201300045,2013,0,0,,
S201300046,2013,1,7592,2013-08-25,2014-01-11
S201300047,2013,0,0,,
S201300048,2013,0,0,,
S201300049,2013,1,4394,2013-08-25,2014-01-16
S201300050,2013,1,5446,2013-08-21,2014-01-10
S201300051,2013,0,0,,
S201300052,2013,1,6932,2013-08-25,2014-01-11
S201300053,2013,1,6527,2013-08-23,2014-01-10
S201300054,2013,1,6915,2013-08-27,2014-01-11
S201300055,2013,1,7551,2013-08-20,2014-01-17
