student_id,cohort,aid_received,annual_aid_amount,disbursement_fall,disbursement_spring
S201700001,2017,1,6836,2017-08-16,2018-01-14
S201700002,2017,1,4704,2017-08-25,2018-01-14
S201700003,2017,1,4586,2017-08-18,2018-01-08
S201700004,2017,1,7210,2017-08-22,2018-01-08
S201700005,2017,1,4864,2017-08-26,2018-01-08
S201700006,2017,1,5775,2017-08-21,2018-01-13
S201700007,2017,1,6543,2017-08-16,2018-01-17
S201700008,2017,0,0,,
S201700009,2017,1,3877,2017-08-22,2018-01-08
S201700010,2017,1,4786,2017-08-16,2018-01-11
S201700011,2017,1,6053,2017-08-26,2018-01-13
S201700012,2017,0,0,,
S201700013,2017,0,0,,
S201700014,2017,1,9207,2017-08-19,2018-01-12
S201700015,2017,1,6776,2017-08-17,2018-01-15
S201700016,2017,1,2895,2017-08-16,2018-01-09
S201700017,2017,1,6748,2017-08-18,2018-01-15
S201700018,2017,1,3931,2017-08-24,2018-01-15
S201700019,2017,1,6842,2017-08-23,2018-01-09
S201700020,2017,1,4951,2017-08-17,2018-01-10
S201700021,2017,1,3608,2017-08-22,2018-01-12
S201700022,2017,1,3478,2017-08-17,2018-01-12
S201700023,2017,1,4063,2017-08-18,2018-01-17
S201700024,2017,1,5661,2017-08-23,2018-01-08
S201700025,2017,1,6007,2017-08-27,2018-01-09
S201700026,2017,0,0,,
S201700027,2017,1,4170,2017-08-19,2018-01-10
S201700028,2017,0,0,,
S201700029,2017,1,6789,2017-08-25,2018-01-15
S201700030,2017,0,0,,
S201700031,2017,1,6281,2017-08-26,2018-01-12
S201700032,2017,1,9365,2017-08-21,2018-01-13
S201700033,2017,1,7212,2017-08-20,2018-01-09
S201700034,2017,0,0,,
S201700035,2017,1,5525,2017-08-18,2018-01-17
S201700036,2017,1,6481,2017-08-17,2018-01-08
S201700037,2017,0,0,,
S201700038,2017,1,6855,2017-08-19,2018-01-16
S201700039,2017,1,5998,2017-08-25,2018-01-10
S201700040,2017,1,6455,2017-08-17,2018-01-11
S201700041,2017,1,3321,2017-08-26,2018-01-15
S201700042,2017,0,0,,
S201700043,2017,1,4977,2017-08-23,2018-01-08
S201700044,2017,0,0,,
S201700045,2017,0,0,,
S201700046,2017,1,6678,2017-08-26,2018-01-12
S201700047,2017,0,0,,
S201700048,2017,1,6464,2017-08-24,2018-01-11
S201700049,2017,1,5575,2017-08-20,2018-01-15
S201700050,2017,0,0,,
S201700051,2017,0,0,,
S201700052,2017,0,0,,
S201700053,2017,1,8990,2017-08-21,2018-01-09
S201700054,2017,1,5661,2017-08-22,2018-01-10
S201700055,2017,1,6629,2017-08-15,2018-01-12
S201700056,2017,1,7137,2017-08-15,2018-01-11
S201700057,2017,1,5049,2017-08-20,2018-01-09
S201700058,2017,1,5627,2017-08-20,2018-01-12
S201700059,2017,1,5448,2017-08-15,2018-01-08
S201700060,2017,1,4920,2017-08-27,2018-01-12
S201700061,2017,1,3808,2017-08-26,2018-01-08
S201700062,2017,1,6198,2017-08-25,2018-01-14
S201700063,2017,0,0,,
S201700064,2017,1,8186,2017-08-15,2018-01-12
S201700065,2017,0,0,,
S201700066,2017,1,9601,2017-08-15,2018-01-13
S201700067,2017,1,5366,2017-08-23,2018-01-15
S201700068,2017,0,0,,
S201700069,2017,1,6211,2017-08-22,2018-01-16
S201700070,2017,1,7649,2017-08-22,2018-01-17
S201700071,2017,1,8570,2017-08-19,2018-01-17
S201700072,2017,1,6503,2017-08-23,2018-01-13
S201700073,2017,1,9789,2017-08-25,2018-01-13
S201700074,2017,0,0,,
S201700075,2017,0,0,,
S201700076,2017,1,5133,2017-08-15,2018-01-11
S201700077,2017,1,4926,2017-08-21,2018-01-17
S201700078,2017,1,8157,2017-08-25,2018-01-15
S201700079,2017,1,4003,2017-08-17,2018-01-13
S201700080,2017,1,5471,2017-08-17,2018-01-15
S201700081,2017,1,8197,2017-08-17,2018-01-15
S201700082,2017,1,4840,2017-08-17,2018-01-08
