rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
1,8860458,5001,0.13194,0.03229,6.7049,0.5106,0.25365,0.04434,11.834,16.906,0.4609,triangular,baseline,1
2,1766649,5001,0.11336,0.03634,7.049,0.5947,0.2185,0.03956,14.455,18.619,0.4771,triangular,baseline,1
3,5697064,4999,0.20429,0.03605,7.6005,0.6412,0.14218,0.04434,14.27,18.538,0.4464,triangular,baseline,1
4,2454471,5001,0.17591,0.03709,6.2204,0.6481,0.14777,0.04325,13.137,17.362,0.4275,triangular,baseline,1
5,6512450,5000,0.14763,0.03052,6.0901,0.6039,0.19051,0.04356,14.343,18.973,0.4546,triangular,baseline,1
6,6673840,5000,0.14558,0.03262,7.2196,0.5487,0.20932,0.03953,12.896,19.456,0.4567,triangular,baseline,1
7,8294844,4999,0.16061,0.04095,6.2512,0.574,0.17822,0.03876,14.153,16.125,0.4298,triangular,baseline,1
8,2935202,5000,0.13765,0.0384,7.4301,0.5836,0.16207,0.04372,13.119,18.68,0.4431,triangular,baseline,1
9,1793193,5001,0.24157,0.03805,7.0328,0.6391,0.08725,0.03867,12.768,18.499,0.4392,triangular,baseline,0
10,2655718,5000,0.15592,0.03686,7.1996,0.5203,0.15638,0.04477,11.807,16.684,0.4683,triangular,baseline,1
11,8933487,5000,0.16955,0.04051,7.1324,0.5216,0.2278,0.04549,11.91,16.685,0.4133,triangular,baseline,1
12,2513687,5001,0.15555,0.03999,6.8489,0.5241,0.17446,0.04327,11.843,17.181,0.422,triangular,baseline,1
13,6683387,5001,0.13486,0.0403,6.1841,0.625,0.16656,0.04579,14.467,19.408,0.477,triangular,baseline,1
14,2656721,5001,0.1142,0.0353,7.0211,0.6312,0.23634,0.04506,12.262,16.655,0.4292,triangular,baseline,1
15,5150296,5000,0.13527,0.03392,7.2757,0.6274,0.21853,0.04538,13.419,16.254,0.4917,triangular,baseline,1
16,6333531,5001,0.13348,0.03472,6.4977,0.5306,0.09473,0.04123,14.488,18.964,0.463,triangular,baseline,1
17,6907037,5000,0.17689,0.03358,6.4851,0.5228,0.16725,0.04239,13.056,16.8,0.4287,triangular,baseline,1
18,7815120,5001,0.13704,0.03307,7.3731,0.5432,0.15194,0.04345,12.355,17.167,0.4487,triangular,baseline,1
19,1998624,5001,0.15656,0.03432,6.5842,0.5915,0.20608,0.04588,14.424,18.587,0.4503,triangular,baseline,1
20,3279220,5000,0.17225,0.03743,7.1692,0.5131,0.10459,0.04076,12.866,17.74,0.5056,triangular,baseline,1
21,4285305,4998,0.14456,0.03694,6.1949,0.5345,0.18019,0.04026,11.696,19.194,0.4475,triangular,baseline,1
22,1414122,5000,0.16361,0.03297,6.8058,0.5766,0.10205,0.04084,13.778,17.793,0.4483,triangular,baseline,1
23,5200281,4998,0.13071,0.03173,7.4882,0.5407,0.16454,0.04364,12.33,19.163,0.4844,triangular,baseline,1
24,5446551,5000,0.22176,0.03809,6.5437,0.6002,0.18394,0.04522,13.945,18.536,0.4358,triangular,baseline,1
25,2777443,5001,0.12391,0.04051,6.7205,0.5365,0.1519,0.04138,11.521,19.229,0.4516,triangular,baseline,1
26,2309858,4998,0.10921,0.03261,6.9054,0.5562,0.16954,0.04053,12.936,17.578,0.4564,triangular,baseline,1
27,730552,5001,0.16804,0.03448,6.5699,0.5403,0.20716,0.03981,13.972,18.117,0.4744,triangular,baseline,1
28,652407,5000,0.15705,0.03281,7.0935,0.6022,0.17188,0.04234,13.429,18.089,0.4504,triangular,baseline,1
29,7585363,5000,0.12895,0.03141,6.6214,0.5692,0.11768,0.04163,14.247,17.946,0.441,triangular,baseline,1
30,2070464,5000,0.23947,0.03588,6.875,0.5994,0.11407,0.04066,12.485,16.432,0.4625,triangular,baseline,0
31,150653,4999,0.1592,0.03413,7.0857,0.5489,0.14836,0.0418,14.04,16.99,0.4582,triangular,baseline,1
32,5369426,5000,0.13976,0.03638,6.5107,0.5862,0.19615,0.04598,13.303,16.68,0.4229,triangular,baseline,1
33,8729090,4999,0.09519,0.03145,7.3388,0.5729,0.15559,0.04397,12.196,17.088,0.4417,triangular,baseline,0
34,217206,4998,0.17434,0.03488,6.3635,0.6376,0.13688,0.04101,13.915,16.765,0.467,triangular,baseline,1
35,7156106,4999,0.20768,0.03021,6.7826,0.581,0.16159,0.04472,13.313,17.169,0.4562,triangular,baseline,1
36,1175921,5000,0.18459,0.03375,7.9256,0.5168,0.18308,0.03977,11.815,17.784,0.4739,triangular,baseline,1
37,7812300,4999,0.15169,0.04019,8.1565,0.6253,0.1432,0.03868,13.376,18.245,0.4906,triangular,baseline,1
38,7527131,5000,0.18,0.0321,7.1381,0.5182,0.17681,0.04175,11.755,16.349,0.4523,triangular,baseline,1
39,6618136,5000,0.08002,0.03221,7.5425,0.6003,0.20977,0.04573,14.146,18.785,0.4436,triangular,baseline,0
40,495391,5000,0.17445,0.03837,8.1189,0.5877,0.21365,0.04005,13.165,17.897,0.4154,triangular,baseline,1
41,5011666,5000,0.16254,0.03456,6.0167,0.5929,0.18144,0.04337,12.741,16.518,0.4744,triangular,baseline,1
42,4587761,5000,0.18247,0.03535,7.1467,0.6354,0.18538,0.04443,13.884,16.345,0.4252,triangular,baseline,1
43,5937619,5000,0.19966,0.03075,7.3832,0.5881,0.11213,0.04411,13.046,17.849,0.4426,triangular,baseline,1
44,4235472,5000,0.22488,0.03291,6.8809,0.6175,0.18532,0.04278,11.627,19.459,0.4605,triangular,baseline,0
45,8382340,5001,0.22922,0.04051,7.7787,0.6364,0.20313,0.04071,13.584,17.402,0.4375,triangular,baseline,1
