graduate_id,institution_id,cohort_year,field_of_study,cum_gpa,first_gen,rural_origin
G2018000002,U05,2022,HUM,2.508,1,0
G2018000004,U04,2022,SOC,2.793,0,0
G2018000008,U05,2022,BUS,3.25,0,0
G2018000009,U03,2022,SOC,3.147,0,1
G2018000010,U01,2022,HUM,2.865,0,0
G2018000036,U05,2022,STEM,1.837,1,0
G2018000040,U02,2022,STEM,2.602,0,0
G2018000043,U07,2022,STEM,2.935,0,0
G2018000045,U07,2022,BUS,3.013,0,0
G2018000053,U03,2022,EDU,4.0,1,1
G2018000056,U07,2022,BUS,3.828,1,0
G2018000062,U01,2022,HUM,2.872,1,0
G2018000082,U07,2022,BUS,3.772,0,0
G2018000085,U08,2022,SOC,2.919,1,0
G2018000087,U03,2022,HUM,3.17,0,0
G2018000089,U01,2022,STEM,2.21,0,1
G2018000094,U04,2022,SOC,2.847,1,1
G2018000097,U06,2022,HLT,3.15,0,0
G2018000098,U02,2022,BUS,3.953,0,1
G2018000108,U08,2022,BUS,3.083,1,0
G2018000114,U07,2022,HUM,2.749,0,0
G2018000119,U03,2022,HUM,3.067,0,0
G2018000121,U01,2022,SOC,2.893,0,0
G2018000126,U07,2022,SOC,3.452,0,0
G2018000129,U08,2022,SOC,2.994,1,0
G2018000133,U03,2022,HUM,2.351,0,0
G2018000135,U08,2022,STEM,3.277,1,0
G2018000140,U08,2022,STEM,2.477,1,0
G2018000141,U02,2022,HUM,3.622,0,0
G2018000143,U08,2022,STEM,2.691,0,0
G2018000144,U06,2022,BUS,3.766,0,1
G2018000145,U01,2022,HUM,2.55,0,0
G2018000146,U07,2022,STEM,3.301,0,0
G2018000152,U05,2022,STEM,3.277,0,1
G2018000153,U05,2022,SOC,3.404,0,0
G2018000155,U03,2022,BUS,2.586,0,1
G2018000166,U01,2022,HLT,2.697,1,0
G2018000169,U01,2022,STEM,4.0,1,0
G2018000178,U03,2022,EDU,3.438,1,0
G2018000180,U04,2022,STEM,3.125,0,0
G2018000181,U07,2022,STEM,3.307,0,0
G2018000184,U01,2022,STEM,3.077,1,0
G2018000191,U05,2022,HLT,2.748,1,0
G2018000193,U05,2022,STEM,3.323,0,0
G2018000201,U02,2022,STEM,3.313,0,0
G2018000202,U08,2022,EDU,3.787,0,0
G2018000206,U03,2022,SOC,2.511,1,0
G2018000218,U02,2022,BUS,2.679,0,0
G2018000223,U08,2022,STEM,3.314,0,0
G2018000234,U06,2022,STEM,2.553,1,0
G2018000242,U03,2022,EDU,2.824,0,1
