graduate_id	risk_score	eligible_z	enrolled_d
G2018000002	41.336	0	0
G2018000004	9.871	0	0
G2018000008	46.675	0	0
G2018000009	14.525	0	0
G2018000010	35.366	0	0
G2018000036	19.874	0	1
G2018000040	44.146	0	0
G2018000043	18.214	0	0
G2018000045	30.578	0	0
G2018000053	23.534	0	0
G2018000056	21.241	0	0
G2018000062	37.358	0	1
G2018000082	25.807	0	0
G2018000085	11.98	0	1
G2018000087	18.723	0	1
G2018000089	35.201	0	1
G2018000094	15.452	0	0
G2018000097	60.997	0	0
G2018000098	16.471	0	0
G2018000108	29.38	0	0
G2018000114	63.695	0	0
G2018000119	75.639	1	1
G2018000121	35.484	0	0
G2018000126	44.801	0	0
G2018000129	3.226	0	0
G2018000133	14.727	0	1
G2018000135	5.577	0	0
G2018000140	9.531	0	0
G2018000141	0.1	0	0
G2018000143	22.369	0	0
G2018000144	37.453	0	0
G2018000145	8.464	0	0
G2018000146	10.184	0	0
G2018000152	26.614	0	0
G2018000153	11.664	0	0
G2018000155	8.491	0	0
G2018000166	42.748	0	0
G2018000169	34.64	0	0
G2018000178	15.469	0	0
G2018000180	8.037	0	0
G2018000181	29.125	0	0
G2018000184	4.805	0	0
G2018000191	14.735	0	0
G2018000193	32.205	0	0
G2018000201	39.754	0	1
G2018000202	10.586	0	1
G2018000206	53.774	0	1
G2018000218	47.107	0	0
G2018000223	34.477	0	0
G2018000234	24.797	0	0
G2018000242	3.406	0	0
G2018000251	10.971	0	0
G2018000258	4.258	0	1
G2018000259	21.694	0	0
G2018000261	32.66	0	1
G2018000269	20.904	0	0
G2018000270	4.947	0	0
G2018000275	31.552	0	0
G2018000279	23.94	0	0
G2018000281	61.375	0	0
G2018000286	8.006	0	0
G2018000290	19.251	0	0
G2018000292	9.576	0	1
G2018000306	42.634	0	0
G2018000308	22.12	0	1
G2018000315	16.993	0	1
G2018000316	30.576	0	0
G2018000318	1.893	0	0
G2018000326	11.992	0	0
G2018000332	35.052	0	1
G2018000333	37.264	0	0
G2018000337	16.274	0	0
G2018000339	17.041	0	0
G2018000340	24.813	0	1
G2018000341	23.943	0	0
G2018000356	3.427	0	0
G2018000360	11.676	0	1
G2018000367	23.211	0	0
G2018000371	55.169	0	0
G2018000373	47.969	0	1
G2018000380	12.151	0	0
G2018000385	31.542	0	1
G2018000391	39.948	0	0
G2018000395	26.359	0	0
G2018000396	74.588	0	0
G2018000402	12.839	0	1
G2018000406	15.435	0	0
G2018000412	28.388	0	0
G2018000423	19.046	0	1
G2018000435	11.403	0	1
G2018000436	52.049	0	0
G2018000437	39.929	0	0
G2018000441	39.95	0	1
G2018000444	53.512	0	1
G2018000446	12.441	0	0
G2018000451	26.565	0	0
G2018000452	33.169	0	0
G2018000459	30.593	0	0
G2018000472	12.472	0	1
G2018000478	37.981	0	0
G2018000489	41.111	0	0
G2018000506	57.788	0	1
G2018000519	61.911	0	0
G2018000523	44.038	0	0
G2018000529	33.771	0	1
G2018000544	42.478	0	1
G2018000552	7.203	0	1
G2018000557	52.072	0	0
G2018000560	9.794	0	0
G2018000561	51.524	0	0
G2018000562	57.314	0	0
G2018000573	36.913	0	0
G2018000578	31.451	0	0
G2018000579	22.484	0	1
G2018000582	23.856	0	0
G2018000593	34.149	0	0
G2018000594	4.832	0	0
G2018000595	14.645	0	1
G2018000598	44.239	0	0
G2018000601	4.006	0	0
G2018000604	27.348	0	0
G2018000613	35.263	0	1
G2018000615	27.842	0	0
G2018000616	54.404	0	1
G2018000617	28.639	0	1
G2018000618	10.125	0	0
G2018000622	20.181	0	0
G2018000628	11.784	0	0
G2018000630	51.13	0	0
G2018000631	36.59	0	1
G2018000637	35.154	0	0
G2018000639	21.752	0	0
G2018000640	14.561	0	0
G2018000645	10.967	0	0
G2018000647	33.011	0	0
G2018000648	18.47	0	1
G2018000655	12.463	0	0
G2018000657	29.547	0	0
G2018000659	11.344	0	0
G2018000666	22.321	0	0
G2018000668	28.139	0	0
G2018000672	20.657	0	1
G2018000674	6.502	0	0
G2018000676	35.604	0	0
G2018000678	17.523	0	1
G2018000680	12.705	0	1
G2018000682	20.929	0	0
G2018000683	44.675	0	0
G2018000684	15.412	0	0
G2018000685	22.421	0	1
G2018000689	43.412	0	0
G2018000692	28.161	0	0
G2018000709	7.535	0	0
G2018000713	38.333	0	1
G2018000714	40.623	0	0
G2018000715	29.077	0	0
G2018000727	32.819	0	0
G2018000739	35.997	0	1
G2018000745	51.237	0	0
G2018000750	23.614	0	0
G2018000764	69.097	0	0
G2018000768	37.345	0	0
G2018000771	84.108	1	0
G2018000772	42.979	0	1
G2018000804	30.895	0	0
G2018000805	42.246	0	0
G2018000806	47.459	0	0
G2018000820	34.028	0	0
G2018000824	3.105	0	0
G2018000829	28.318	0	1
G2018000833	8.379	0	0
G2018000834	31.266	0	0
G2018000841	41.427	0	1
G2018000843	13.868	0	0
G2018000846	27.863	0	0
G2018000850	7.507	0	0
G2018000860	30.142	0	0
G2018000886	67.805	0	0
G2018000895	23.645	0	0
G2018000899	56.434	0	0
G2018000909	14.918	0	0
G2018000911	25.754	0	1
G2018000920	2.612	0	0
G2018000935	14.568	0	0
G2018000937	41.28	0	1
G2018000939	31.522	0	0
G2018000948	27.229	0	0
G2018000949	12.225	0	0
G2018000954	45.924	0	0
G2018000962	29.25	0	0
G2018000966	14.416	0	0
G2018000969	44.313	0	0
G2018000976	42.304	0	1
G2018000979	14.853	0	0
G2018000981	13.378	0	1
G2018000982	41.298	0	0
G2018000983	18.88	0	1
G2018000985	7.38	0	0
G2018000987	50.39	0	0
G2018000997	19.501	0	1
G2018000999	11.481	0	0
G2018001004	6.576	0	0
G2018001006	24.047	0	0
G2018001015	36.71	0	0
G2018001018	16.494	0	0
G2018001020	31.64	0	0
G2018001027	6.496	0	0
G2018001037	24.992	0	1
G2018001041	32.843	0	0
G2018001046	0.1	0	0
G2018001054	62.667	0	1
G2018001057	15.023	0	0
G2018001066	21.635	0	0
G2018001067	32.614	0	1
G2018001070	5.294	0	0
G2018001075	24.614	0	1
G2018001079	20.748	0	0
G2018001083	11.545	0	0
G2018001085	47.993	0	0
G2018001090	23.884	0	0
G2018001105	41.157	0	0
G2018001107	22.396	0	0
G2018001108	17.013	0	0
G2018001111	48.196	0	0
G2018001116	31.239	0	0
G2018001126	40.392	0	0
G2018001134	32.86	0	0
G2018001140	13.947	0	0
G2018001155	67.045	0	0
G2018001156	19.335	0	0
G2018001158	5.069	0	1
G2018001166	31.384	0	1
G2018001174	51.341	0	0
G2018001175	53.829	0	0
G2018001176	13.286	0	0
G2018001178	17.865	0	0
G2018001183	9.765	0	0
G2018001187	37.605	0	1
G2018001199	42.974	0	0
G2018001204	35.611	0	0
G2018001225	3.24	0	1
G2018001227	3.453	0	0
G2018001230	10.119	0	0
G2018001234	10.318	0	1
G2018001239	58.182	0	0
G2018001240	20.174	0	0
G2018001245	34.968	0	1
G2018001253	45.343	0	0
G2018001263	38.427	0	1
G2018001265	24.499	0	0
G2018001267	31.261	0	0
G2018001278	45.399	0	0
G2018001289	2.944	0	0
G2018001293	58.43	0	0
G2018001300	11.697	0	0
G2018001301	13.847	0	0
G2018001306	61.007	0	0
G2018001315	29.125	0	0
G2018001318	1.089	0	0
G2018001323	25.373	0	0
G2018001329	41.012	0	1
G2018001331	51.697	0	0
G2018001332	22.717	0	0
G2018001333	1.811	0	0
G2018001340	34.788	0	0
G2018001349	29.549	0	0
G2018001356	29.333	0	0
G2018001362	37.953	0	1
G2018001364	12.31	0	1
G2018001370	9.95	0	1
G2018001376	50.002	0	1
G2018001386	39.268	0	0
G2018001396	37.022	0	0
G2018001404	11.992	0	0
G2018001409	25.482	0	0
G2018001417	13.265	0	0
G2018001418	23.13	0	0
G2018001420	18.869	0	0
G2018001430	17.266	0	0
G2018001435	35.168	0	1
G2018001452	21.346	0	0
G2018001454	35.444	0	0
G2018001464	51.853	0	0
G2018001466	13.696	0	0
G2018001468	28.292	0	0
G2018001469	0.1	0	0
G2018001474	22.919	0	1
G2018001477	31.941	0	0
G2018001478	9.333	0	0
G2018001483	24.4	0	0
G2018001490	50.417	0	1
G2018001494	56.859	0	0
G2018001499	20.541	0	0
G2018001506	22.054	0	0
G2018001523	39.975	0	0
G2018001535	12.796	0	0
G2018001537	1.768	0	0
G2018001547	30.427	0	0
G2018001554	7.421	0	0
G2018001556	26.674	0	0
G2018001558	33.044	0	0
G2018001562	27.556	0	0
G2018001565	65.719	0	0
G2018001577	41.708	0	0
G2018001581	32.392	0	0
G2018001583	11.143	0	1
G2018001586	8.741	0	0
G2018001587	24.019	0	1
G2018001591	13.48	0	0
G2018001600	25.912	0	0
G2018001606	36.703	0	1
G2018001608	11.125	0	0
G2018001617	5.845	0	0
G2018001618	15.327	0	1
G2018001619	29.076	0	0
G2018001628	39.249	0	0
G2018001629	44.588	0	0
G2018001631	42.763	0	0
G2018001641	37.457	0	0
G2018001644	77.885	1	1
G2018001649	23.455	0	1
G2018001660	25.761	0	1
G2018001662	19.428	0	0
G2018001663	6.309	0	0
G2018001666	16.722	0	0
G2018001679	19.861	0	0
G2018001680	12.245	0	0
G2018001684	14.647	0	0
G2018001687	54.613	0	0
G2018001690	28.749	0	0
G2018001705	2.442	0	0
G2018001706	17.578	0	0
G2018001713	35.559	0	0
G2018001716	37.395	0	0
G2018001719	55.16	0	0
G2018001727	53.55	0	1
G2018001736	24.29	0	0
G2018001740	17.014	0	0
G2018001748	14.189	0	0
G2018001757	40.886	0	1
G2018001768	39.187	0	1
G2018001772	19.229	0	0
G2018001779	58.423	0	1
G2018001784	31.966	0	0
G2018001788	18.306	0	1
G2018001789	21.338	0	0
G2018001791	7.784	0	1
G2018001792	55.432	0	0
G2018001800	42.79	0	0
G2018001804	14.934	0	0
G2018001806	17.963	0	0
G2018001824	10.424	0	1
G2018001829	17.811	0	0
G2018001830	20.987	0	0
G2018001837	3.137	0	0
G2018001838	37.998	0	0
G2018001843	48.39	0	0
G2018001845	23.302	0	1
G2018001847	16.196	0	0
G2018001850	16.781	0	0
G2018001851	0.306	0	0
G2018001853	14.682	0	0
G2018001865	18.575	0	1
G2018001872	28.71	0	0
G2018001878	42.233	0	0
G2018001890	26.877	0	0
G2018001893	50.515	0	0
G2018001896	38.343	0	0
G2018001911	10.665	0	0
G2018001913	31.447	0	0
G2018001914	11.6	0	0
G2018001916	44.635	0	1
G2018001919	17.425	0	0
G2018001926	21.435	0	0
G2018001934	21.971	0	0
G2018001936	42.296	0	0
G2018001937	50.035	0	1
G2018001938	46.708	0	1
G2018001943	24.935	0	1
G2018001949	11.886	0	0
G2018001952	35.576	0	0
G2018001953	38.659	0	0
G2018001955	39.309	0	0
G2018001960	33.431	0	1
G2018001962	32.632	0	1
G2018001965	2.11	0	0
G2018001966	35.486	0	0
G2018001979	35.752	0	0
G2018001980	12.908	0	0
G2018001981	20.359	0	0
G2018001996	7.331	0	0
G2018001997	18.878	0	0
G2018001999	40.476	0	0
G2018002004	17.823	0	0
G2018002005	29.162	0	0
G2018002014	35.575	0	0
G2018002016	0.557	0	1
G2018002020	30.558	0	0
G2018002025	30.921	0	0
G2018002036	8.445	0	0
G2018002038	14.662	0	0
G2018002042	20.212	0	0
G2018002044	47.18	0	0
G2018002046	10.644	0	0
G2018002048	10.519	0	1
G2018002049	4.603	0	0
G2018002053	20.176	0	0
G2018002062	38.2	0	0
G2018002073	43.828	0	0
G2018002078	11.702	0	0
G2018002085	26.347	0	1
G2018002087	17.62	0	0
G2018002094	15.181	0	1
G2018002095	10.952	0	0
G2018002104	21.928	0	0
G2018002117	10.774	0	1
G2018002120	11.529	0	1
G2018002122	28.536	0	0
G2018002123	4.809	0	0
G2018002135	21.023	0	0
G2018002144	20.309	0	0
G2018002149	43.717	0	0
G2018002170	23.318	0	0
G2018002173	8.744	0	1
G2018002176	26.64	0	0
G2018002177	3.075	0	1
G2018002189	19.753	0	0
G2018002224	6.557	0	0
G2018002232	15.782	0	1
G2018002235	26.535	0	0
G2018002248	22.981	0	0
G2018002256	14.107	0	0
G2018002260	9.829	0	0
G2018002263	62.911	0	0
G2018002264	17.085	0	1
G2018002268	48.432	0	0
G2018002271	24.928	0	1
G2018002272	42.969	0	0
G2018002276	6.511	0	0
G2018002280	2.251	0	0
G2018002286	40.495	0	0
G2018002287	59.145	0	0
G2018002290	8.927	0	0
G2018002293	70.424	0	0
G2018002295	57.283	0	0
G2018002296	10.954	0	0
G2018002298	21.818	0	0
G2018002305	11.849	0	1
G2018002309	6.233	0	1
G2018002312	22.272	0	0
G2018002332	21.484	0	0
G2018002337	46.873	0	0
G2018002343	15.377	0	0
G2018002344	31.599	0	0
G2018002349	32.662	0	0
G2018002352	42.181	0	0
G2018002360	59.654	0	1
G2018002362	15.817	0	0
G2018002363	29.413	0	0
G2018002367	23.526	0	1
G2018002369	44.733	0	1
G2018002370	2.608	0	0
G2018002374	8.456	0	1
G2018002395	17.969	0	1
G2018002404	26.971	0	0
G2018002407	34.162	0	0
G2018002408	30.212	0	0
G2018002410	12.947	0	0
G2018002412	21.581	0	1
G2018002414	23.809	0	0
G2018002418	68.344	0	0
G2018002419	17.399	0	1
G2018002424	25.171	0	1
G2018002427	61.723	0	0
G2018002435	14.007	0	0
G2018002439	51.527	0	1
G2018002443	32.073	0	0
G2018002453	56.638	0	0
G2018002454	26.007	0	0
G2018002476	19.238	0	0
G2018002478	57.717	0	0
G2018002480	22.9	0	0
G2018002499	44.102	0	0
G2018002500	39.908	0	0
G2018002508	6.459	0	1
G2018002509	17.993	0	0
G2018002513	17.353	0	0
G2018002516	64.218	0	0
G2018002518	30.037	0	0
G2018002520	49.409	0	0
G2018002522	47.438	0	1
G2018002524	36.487	0	0
G2018002526	27.895	0	0
G2018002547	24.88	0	0
G2018002570	61.02	0	0
G2018002574	13.073	0	0
G2018002580	34.023	0	0
G2018002587	41.365	0	0
G2018002593	65.384	0	0
G2018002594	11.759	0	0
G2018002600	15.403	0	0
G2018002602	31.814	0	0
G2018002606	12.034	0	0
G2018002622	3.135	0	0
G2018002626	78.042	1	1
G2018002628	14.414	0	1
G2018002645	39.554	0	0
G2018002653	20.724	0	0
G2018002660	17.701	0	1
G2018002662	29.242	0	0
G2018002667	6.599	0	0
G2018002668	12.697	0	0
G2018002672	13.248	0	0
G2018002676	42.209	0	0
G2018002680	16.856	0	0
G2018002687	2.66	0	0
G2018002693	49.715	0	0
G2018002696	30.719	0	0
G2018002702	15.502	0	1
G2018002708	52.64	0	0
G2018002709	38.621	0	0
G2018002710	53.584	0	0
G2018002712	35.157	0	0
G2018002713	7.882	0	0
G2018002722	11.636	0	1
G2018002725	43.016	0	0
G2018002726	23.841	0	0
G2018002730	9.768	0	1
G2018002754	50.891	0	0
G2018002755	15.491	0	0
G2018002768	55.144	0	0
G2018002771	48.966	0	1
G2018002775	15.793	0	0
G2018002780	15.5	0	0
G2018002783	30.306	0	0
G2018002785	32.106	0	0
G2018002788	47.576	0	1
G2018002792	8.361	0	0
G2018002793	41.847	0	0
G2018002797	41.363	0	0
G2018002798	26.204	0	0
G2018002802	17.309	0	1
G2018002805	27.274	0	1
G2018002815	36.29	0	0
G2018002816	62.018	0	1
G2018002818	35.495	0	0
G2018002828	13.931	0	0
G2018002829	18.492	0	0
G2018002846	40.726	0	1
G2018002852	38.492	0	0
G2018002857	9.16	0	1
G2018002858	4.212	0	0
G2018002864	60.246	0	0
G2018002865	22.122	0	1
G2018002867	34.205	0	0
G2018002872	51.246	0	0
G2018002874	40.438	0	0
G2018002876	8.798	0	0
G2018002878	45.806	0	0
G2018002888	24.352	0	0
G2018002889	23.631	0	0
G2018002892	13.453	0	0
G2018002897	49.597	0	0
G2018002907	15.346	0	0
G2018002917	44.954	0	0
G2018002918	43.982	0	0
G2018002932	23.143	0	0
G2018002934	26.312	0	0
G2018002940	36.713	0	0
G2018002941	7.829	0	0
G2018002943	22.805	0	0
G2018002950	18.814	0	1
G2018002958	8.434	0	1
G2018002974	33.511	0	0
G2018002975	46.401	0	0
G2018002981	30.112	0	1
G2018002985	43.143	0	0
G2018002992	27.043	0	0
G2018002993	44.573	0	0
G2018002998	40.77	0	0
G2018002999	53.691	0	1
G2018003001	30.506	0	1
G2018003027	16.736	0	0
G2018003031	15.089	0	1
G2018003032	7.766	0	0
G2018003044	36.859	0	0
G2018003054	14.23	0	0
G2018003075	9.273	0	1
G2018003076	38.206	0	0
G2018003097	21.945	0	0
G2018003100	25.461	0	0
G2018003115	25.79	0	1
G2018003121	53.823	0	0
G2018003123	29.605	0	1
G2018003135	30.459	0	0
G2018003139	33.525	0	1
G2018003141	32.574	0	0
G2018003143	23.526	0	0
G2018003150	18.982	0	0
G2018003152	65.058	0	0
G2018003153	14.625	0	1
G2018003160	33.333	0	0
G2018003172	37.845	0	0
G2018003176	14.472	0	0
G2018003180	6.031	0	0
G2018003181	65.13	0	0
G2018003183	41.686	0	0
G2018003186	42.13	0	1
G2018003191	0.1	0	0
G2018003192	21.283	0	0
G2018003194	7.133	0	0
G2018003200	14.844	0	0
G2018003207	16.459	0	0
G2018003224	13.478	0	1
G2018003227	20.645	0	0
G2018003232	8.741	0	0
G2018003236	21.299	0	0
G2018003237	7.328	0	0
G2018003238	41.877	0	0
G2018003240	16.035	0	0
G2018003245	16.886	0	1
G2018003246	7.002	0	0
G2018003249	14.734	0	1
G2018003250	42.434	0	0
G2018003254	46.325	0	1
G2018003255	27.73	0	0
G2018003257	20.617	0	1
G2018003272	4.64	0	0
G2018003286	22.04	0	0
G2018003295	10.312	0	0
G2018003296	21.475	0	0
G2018003301	34.96	0	0
G2018003303	22.303	0	0
G2018003306	12.922	0	0
G2018003314	23.409	0	0
G2018003319	10.85	0	1
G2018003323	66.967	0	1
G2018003333	43.42	0	0
G2018003334	55.458	0	0
G2018003347	4.865	0	0
G2018003354	31.415	0	1
G2018003355	16.195	0	0
G2018003356	30.327	0	0
G2018003369	32.44	0	0
G2018003371	59.704	0	0
G2018003376	8.902	0	1
G2018003377	18.063	0	0
G2018003378	18.475	0	1
G2018003381	19.966	0	1
G2018003394	52.847	0	0
G2018003398	50.503	0	0
G2018003405	46.024	0	0
G2018003406	15.801	0	0
G2018003427	19.205	0	0
G2018003431	6.983	0	0
G2018003432	40.35	0	0
G2018003435	31.924	0	0
G2018003436	45.65	0	1
G2018003440	33.946	0	1
G2018003442	37.288	0	0
G2018003463	13.976	0	1
G2018003472	26.151	0	0
G2018003474	9.273	0	0
G2018003482	14.867	0	0
G2018003501	5.637	0	0
G2018003502	48.112	0	0
G2018003505	26.909	0	0
G2018003513	63.884	0	1
G2018003515	17.323	0	1
G2018003518	12.629	0	0
G2018003535	23.024	0	0
G2018003545	8.229	0	0
G2018003551	38.96	0	0
G2018003554	37.381	0	0
G2018003556	31.583	0	0
G2018003559	39.925	0	0
G2018003563	22.221	0	0
G2018003571	30.741	0	0
G2018003573	12.201	0	0
G2018003589	61.804	0	0
G2018003614	33.581	0	0
G2018003620	32.674	0	1
